Platform	Author	Publish Time	URL	Content	Thumbnail	Metrics
Twitter	Rachel O'Neill	published on 09/01/20 at 4:50 PM	http://twitter.com/ronronzo/status/1300898851646300164	Everyone in Dublin on Hinge, Bumble and Tinder appears to work in Accenture and yet I still am no clearer as to what Accenture actually does.		"42Retweets
1.5KTwitter Likes
4.1KTwitter Followers"
Twitter	Paul Daugherty	published on 09/17/20 at 10:48 AM	http://twitter.com/pauldaugh/status/1306606037731074048	Announcing @Accenture Cloud First, a new team of 70,000 backed by $3B investment - bringing our clients the full set of capabilities they need to become cloud leaders at speed and scale. accntu.re/2ZIsGmV		"198Retweets
615Twitter Likes
25.1KTwitter Followers"
Twitter	Bhavika	published on 08/26/20 at 4:15 AM	http://twitter.com/BhavikaKapoor5/status/1298534604186386432	Arguably the most powerful man on the planet is creating unbelievable prosperity for youngsters in India.  Modi...Modi..Modi...  Accenture Layoffs India: Accenture to lay off thousands of employees in India | India Business News - Times of India timesofindia.indiatimes.com/business/india…		"239Retweets
358Twitter Likes
42.8KTwitter Followers"
Twitter	Valerie Thomas	published on 09/08/20 at 8:01 PM	http://twitter.com/hacktress09/status/1303483565037047809	Companies who rejected me in the past 12 months for roles that I was highly qualified for: Amazon Tenable HID Tesla Rapid7 KnowBe4 Accenture MITRE Bottom line: Rejection happens to those w/experience too. Don't let anyone else determine your worth #Infosecjobs		"38Retweets
496Twitter Likes
6.2KTwitter Followers"
Twitter	Harry	published on 09/18/20 at 9:13 AM	http://twitter.com/harrisonelueme/status/1306944375382044675	I just got hired by Accenture as a Digital Account Executive, don’t ever doubt God have faith and pray consistently. This is a job I didn’t even apply for, always trust God in everything you do.  Mark 11:23		"66Retweets
417Twitter Likes
344Twitter Followers"
Twitter	Armaan	published on 09/15/20 at 4:07 AM	http://twitter.com/Mehboobp1/status/1305780148327780354	Accenture has sacked 25K people so far, mostly in India and the company will n sacking more employees in coming days . #राष्ट्रीयबेरोजगारदिवस		"168Retweets
271Twitter Likes
7.5KTwitter Followers"
Twitter	Mr.C	published on 09/22/20 at 9:01 AM	http://twitter.com/BabaCugs/status/1308390969121832960	Bank Of England Signs Accenture For RTGS Renewal London Is Ready ukauthority.com/articles/bank-…		"58Retweets
288Twitter Likes
16.9KTwitter Followers"
Twitter	Dr. Bohra. MD AIRD	published on 09/18/20 at 6:22 PM	http://twitter.com/Vasheegaran/status/1307082675665207296	I just met a person in a Mall at Mendoza named Deepak who works in Accenture. His father was affected by COVID (Father’s name is Panchatcharam). His father is from Kanchipuram. He was literally helpless because he couldn’t travel to India when his father was affected (1/3)		"103Retweets
207Twitter Likes
3.8KTwitter Followers"
Twitter	Antonio Grasso	published on 09/10/20 at 2:00 PM	http://twitter.com/antgrasso/status/1304117443816755201	An @Accenture research finds that most managers consider the Internet of Things a strategic factor in improving products, increasing revenues, and optimizing human resources effectiveness. #Infographic by @antgrasso via @antgrasso_IT #IoT #IIoT #FutureofWork #Automation pic.twitter.com/4xp1ODkcZr	http://twitter.com/antgrasso/status/1304117443816755201	"130Retweets
170Twitter Likes
160KTwitter Followers"
Twitter	Alpesh	published on 08/30/20 at 4:41 AM	http://twitter.com/india21st/status/1299990708300984320	This is where #IOTA is heading guys. community.nasscom.in/communities/in… NASSCOM, is the apex body for the 180 billion dollar IT BPM industry in India and its 2800+ members consists of giants like Microsoft,IBM,Google,Amazon,Alibaba, Accenture,TATA. They specifically mentioned IOTA only		"69Retweets
210Twitter Likes
87Twitter Followers"
Twitter	Linda Grasso	published on 08/30/20 at 5:00 AM	http://twitter.com/LindaGrass0/status/1299995396945653760	An AI roadmap to maximize the value of AI. A start-to-end model to help realize and multiply the value from AI projects. Link >> accntu.re/3cst6lT @Accenture @antgrasso via @LindaGrass0 #AI #DigitalStrategy #DigitalTransformation #Tech pic.twitter.com/dd61E34kMt	http://twitter.com/LindaGrass0/status/1299995396945653760	"121Retweets
131Twitter Likes
70.9KTwitter Followers"
Twitter	Kirti Deolekar	published on 08/26/20 at 2:02 PM	http://twitter.com/kirti_sd/status/1298682271063408641	Accenture to lay off 25,000 employees, Indians set to lose jobs.		"68Retweets
176Twitter Likes
6.7KTwitter Followers"
Twitter	IronNet	published on 09/02/20 at 5:21 PM	http://twitter.com/IronNet/status/1301268920356220932	Indirect attacks against weak links in the #SupplyChain now account for 40% of security breaches according to @Accenture. So, how secure is your #SupplyChain? Here are the 5 most common #SupplyChain attacks and how best to defend against them.bit.ly/31KQ1G2		"13Retweets
221Twitter Likes
2.7KTwitter Followers"
Twitter	Antonio Grasso	published on 09/12/20 at 10:00 PM	http://twitter.com/antgrasso/status/1304963035312926724	Technology alone is not the magic bullet. To achieve a step-change in business performance, organizations need to integrate business process expertise, technology transformation, and talent. Source @Accenture Link >>> accntu.re/32bfZmm via @antgrasso #DigitalStrategy pic.twitter.com/DMbSJfQ1ir	http://twitter.com/antgrasso/status/1304963035312926724	"97Retweets
131Twitter Likes
160.2KTwitter Followers"
Twitter	Uncle Sola	published on 09/16/20 at 4:45 PM	http://twitter.com/solaadio/status/1306333464191524864	The power of a BIG name on your CV. in 2016, I got called by an Accenture manager who saw 6 years KPMG on my LinkedIn and who offered me a top tier client facing role without even sighting me, within 5mins. She said she had no doubt if I had 6 yrs KPMG, so see you on Monday.		"43Retweets
157Twitter Likes
57.1KTwitter Followers"
Twitter	FORTUNE	published on 09/17/20 at 9:59 AM	http://twitter.com/FortuneMagazine/status/1306593582304964609	Why Accenture thinks the ‘Henry Ford moment of the digital era’ is coming bit.ly/35RoFQK		"57Retweets
139Twitter Likes
2.3MTwitter Followers"
Twitter	Daily Xrp News	published on 09/05/20 at 4:18 AM	http://twitter.com/Dailyxrp_news/status/1302159158414684160	*BRICS TO DROP SWIFT* Ripple/XRP Strategy Shift Plays Into BRICS Hands & Accenture Paving The Way dailyxrpnews.com/brics-to-drop-… #XRP #xrpcommmunity #xrpthestandard #xrpnews #Crypto #crypto pic.twitter.com/HxpUduGB4B	http://twitter.com/Dailyxrp_news/status/1302159158414684160	"51Retweets
145Twitter Likes
2.3KTwitter Followers"
Twitter	Ky the kid.	published on 09/11/20 at 12:21 PM	http://twitter.com/_thekenyatta/status/1304455030481850368	I’ve officially signed my contract with Accenture. I’m a full time shawty!!!! *Cue Pop Bottles by Birdman* 		"14Retweets
170Twitter Likes
987Twitter Followers"
Twitter	Annette P Rippert	published on 09/17/20 at 12:29 PM	http://twitter.com/APRippert/status/1306631358886936576	Great announcement! Backed by a $3 billion investment and a team of 70K #Cloud professionals, @Accenture Cloud First will transform businesses and talent—helping our clients build the skills they require to achieve the value they need in the cloud. cnbc.com/video/2020/09/…		"33Retweets
149Twitter Likes
960Twitter Followers"
Twitter	Antonio Grasso	published on 09/16/20 at 10:00 AM	http://twitter.com/antgrasso/status/1306231572669050881	Six imperatives Industry X.0 businesses must address to become smarter, connected, living, and learning. Source @Accenture Link >> accntu.re/2WTSP12 via @antgrasso @antgrasso_IT #Innovation #4IR #Industry40 #DigitalTransformation pic.twitter.com/zr627eCecj	http://twitter.com/antgrasso/status/1306231572669050881	"77Retweets
104Twitter Likes
161.5KTwitter Followers"
