url	indexed	published	search_indexed	title_snippet	content_snippet	title	content	root_url	domain_url	host_url	parent_url	lang	porn_level	fluency_level	spam_level	sentiment	source_type	post_type	cluster_id	meta_cluster_id	tags_internal	tags_marking	tags_customer	entity_urls	images.url	images.width	images.height	images.legend	videos.url	videos.width	videos.height	videos.legend	pagemonitoring_sitemon_siteid	matched_profile	article_extended_attributes.facebook_shares	article_extended_attributes.facebook_likes	article_extended_attributes.twitter_retweets	article_extended_attributes.url_views	article_extended_attributes.pinterest_likes	article_extended_attributes.pinterest_pins	article_extended_attributes.pinterest_repins	article_extended_attributes.youtube_views	article_extended_attributes.youtube_likes	article_extended_attributes.youtube_dislikes	article_extended_attributes.instagram_likes	article_extended_attributes.twitter_shares	article_extended_attributes.num_comments	source_extended_attributes.alexa_pageviews	source_extended_attributes.facebook_followers	source_extended_attributes.twitter_followers	source_extended_attributes.instagram_followers	source_extended_attributes.pinterest_followers	extra_article_attributes.world_data.continent	extra_article_attributes.world_data.country	extra_article_attributes.world_data.country_code	extra_article_attributes.world_data.region	extra_article_attributes.world_data.city	extra_article_attributes.world_data.longitude	extra_article_attributes.world_data.latitude	extra_author_attributes.id	extra_author_attributes.type	extra_author_attributes.name	extra_author_attributes.birthdate.date	extra_author_attributes.birthdate.resolution	extra_author_attributes.gender	extra_author_attributes.image_url	extra_author_attributes.short_name	extra_author_attributes.url	extra_author_attributes.world_data.continent	extra_author_attributes.world_data.country	extra_author_attributes.world_data.country_code	extra_author_attributes.world_data.region	extra_author_attributes.world_data.city	extra_author_attributes.world_data.longitude	extra_author_attributes.world_data.latitude	extra_source_attributes.world_data.continent	extra_source_attributes.world_data.country	extra_source_attributes.world_data.country_code	extra_source_attributes.world_data.region	extra_source_attributes.world_data.city	extra_source_attributes.world_data.longitude	extra_source_attributes.world_data.latitude	engagement	reach	provider	generator.type	source_extended_attributes.alexa_unique_visitors	article_extended_attributes.twitter_likes	extra_author_attributes.description	article_extended_attributes.linkedin_shares	extra_source_attributes.name	word_count	rating
https://www.barandbench.com/columns/35-recent-judgments-passed-by-indian-courts-on-arbitration	08/27/20 8:36:23 AM	08/27/20 8:16:28 AM	08/29/20 8:06:45 AM	35 recent judgments passed by Indian Courts on Arbitration	...court. Further, it was held that paragraph 27(vi) of Afcons and paragraph 36(i) of Booz Allen, must now be read subject to the rider that the same set of facts may lead to civil and criminal proceedings and if it is clear that a civil dispute...	35 recent judgments passed by Indian Courts on Arbitration	Section 4 of Arbitration and Conciliation Act  . 1. When respondent waives right to raise a jurisdictional objection  . Quippo Construction Equipment Limited v. Janardan Nirman Pvt. Limited [Judgment dated 29.04.2020]  The Supreme Court held that sin...	https://www.barandbench.com/	http://barandbench.com/	http://www.barandbench.com/	https://www.barandbench.com/columns/35-recent-judgments-passed-by-indian-courts-on-arbitration	en	0	90	0	0	ONLINENEWS,ONLINENEWS_OTHER	TEXT	https://www.barandbench.com/columns/35-recent-judgments-passed-by-indian-courts-on-arbitration		isClusterMainDoc,isEdited,isNewsHost,isQuestion			"[{""url"":""https://indiankanoon.org/doc/135634305/""},{""url"":""https://www.legitquest.com/case/blue-coast-infrastructure-development-pvt-ltd-v-blue-coast-hotels-ltd-anr/1b4089""},{""url"":""https://indiankanoon.org/doc/13734910/""},{""url"":""https://indiankanoon.org/doc/52650140/""},{""url"":""https://indiankanoon.org/doc/31621011/""},{""url"":""https://main.sci.gov.in/supremecourt/2019/13391/13391_2019_32_1505_21906_Judgement_29-Apr-2020.pdf""},{""url"":""https://indiankanoon.org/doc/175178091/""},{""url"":""https://main.sci.gov.in/supremecourt/2008/7009/7009_2008_33_1501_22029_Judgement_11-May-2020.pdf""},{""url"":""https://images.assettype.com/barandbench/2020-06/2493f93a-a32e-4faf-8a23-ac523cfbc032/GIAG_Delhi_High_Court_judgment.pdf""},{""url"":""https://www.casemine.com/judgement/in/5eed0fad9fca1922dd3db21d""},{""url"":""https://indiankanoon.org/doc/78410822/""},{""url"":""https://indiankanoon.org/doc/84840520/""},{""url"":""https://www.barandbench.com/news/litigation/orders-passed-in-pending-arbitration-proceedings-cannot-be-challenged-in-high-court-under-articles-226227-of-the-constitution-gujarat-hc""},{""url"":""https://indiankanoon.org/doc/97706612/""},{""url"":""https://indiankanoon.org/doc/37862511/""},{""url"":""https://drive.google.com/file/d/1_f8ugC6WgVevmivL5jzj0lZ7NYTRaFpx/view""},{""url"":""https://indiankanoon.org/doc/198256130/""},{""url"":""https://indiankanoon.org/doc/194111348/""},{""url"":""https://main.sci.gov.in/supremecourt/2014/28591/28591_2014_34_1501_23471_Judgement_19-Aug-2020.pdf""},{""url"":""https://indiankanoon.org/doc/15284174/""},{""url"":""https://indiankanoon.org/doc/2551175/""},{""url"":""https://indiankanoon.org/doc/20009507/""},{""url"":""https://main.sci.gov.in/supremecourt/2004/19375/19375_2004_34_1501_22350_Judgement_02-Jun-2020.pdf""},{""url"":""https://indiankanoon.org/doc/114798745/""},{""url"":""https://indiankanoon.org/doc/9006751/""},{""url"":""https://www.legitquest.com/case/ms-b-n-enterprises-v-ms-blendz-foods-private-limited/19d595""},{""url"":""https://main.sci.gov.in/supremecourt/2015/16545/16545_2015_34_1502_23471_Judgement_19-Aug-2020.pdf""},{""url"":""https://indiankanoon.org/doc/6971295/""},{""url"":""https://main.sci.gov.in/supremecourt/2020/577/577_2020_35_1_22163_Judgement_22-May-2020.pdf""},{""url"":""https://indiankanoon.org/doc/95111828/""},{""url"":""https://indiankanoon.org/doc/191602740/""},{""url"":""https://indiankanoon.org/doc/143184125/""},{""url"":""https://main.sci.gov.in/supremecourt/2010/37543/37543_2010_31_1503_21810_Judgement_22-Apr-2020.pdf""},{""url"":""https://indiankanoon.org/doc/44552128/""},{""url"":""https://images.assettype.com/barandbench/2020-05/5538e565-024d-4e10-a73e-88be6e78cfb7/GTPL_Hathway_Ltd__v__Strategic_Markering_Pvt__Ltd.pdf""},{""url"":""https://indiankanoon.org/doc/149097059/""},{""url"":""https://main.sci.gov.in/supremecourt/2019/28531/28531_2019_5_1501_19225_Judgement_17-Dec-2019.pdf""},{""url"":""https://indiankanoon.org/doc/46013780/""},{""url"":""https://indiankanoon.org/doc/192087827/?type=print""}]"		0	0			0	0			SEARCH / Competitors / Booz Allen Hamilton	59	304	0	0	0	0	0	0	0	0	0	7	10	970000	0	0	0	0						0.0	0.0	ex:www.barandbench.com-1766695171		tariq khan	0	DAY	MALE									0.0	0.0	Asia	India	in	Karnataka	Bangalore	77.5579833984375	12.97210693359375	380	388000			388000	0		0	www.barandbench.com	2872	
https://www.executivegov.com/2020/08/usaf-awards-booz-allen-spot-on-950m-contract-to-support-abms-development-khalid-syed-quoted/	08/31/20 4:40:37 PM	08/31/20 1:23:59 PM	08/31/20 5:01:11 PM	USAF Awards Booz Allen Spot on $950M Contract to Support ABMS Development; Khalid Syed Quoted	...Force awarded Booz Allen Hamilton a spot on the $950 million indefinite-delivery, indefinite-quantity (IDIQ) contract to support development of the Advanced Battle Management System (ABMS), the company reported on Monday. Booz Allen has been...	USAF Awards Booz Allen Spot on $950M Contract to Support ABMS Development; Khalid Syed Quoted	The U.S. Air Force awarded Booz Allen Hamilton a spot on the $950 million indefinite-delivery, indefinite-quantity (IDIQ) contract to support development of the Advanced Battle Management System (ABMS), the company reported on Monday. Booz Allen has ...	https://www.executivegov.com/	http://executivegov.com/	http://www.executivegov.com/	https://www.executivegov.com/2020/08/usaf-awards-booz-allen-spot-on-950m-contract-to-support-abms-development-khalid-syed-quoted/	en	0	100	0	0	ONLINENEWS,ONLINENEWS_OTHER	TEXT	https://romesentinel.com/stories/src-receives-air-force-pact-for-up-to-950m,103102		containsImage,hasImage,isEdited,isNewsHost			[]	https://executivegov-media.s3.amazonaws.com/2020/08/31/47/d1/04/66/83/90/66/84/khalid-syed.jpeg	0	0			0	0			SEARCH / Competitors / Booz Allen Hamilton	0	0	0	0	0	0	0	0	0	0	0	3	0	30000	0	0	0	0						0.0	0.0	ex:www.executivegov.com-1903007712		sarah sybert	0	DAY	FEMALE									0.0	0.0	North America	United States	us	Washington, D.C.	Washington, D.C.	-77.0086669921875	38.89984130859375	3	30000			30000	0		0	www.executivegov.com	417	
https://www.consulting.us/news/4791/kirk-waldrop-joins-operations-practice-of-grant-thornton	08/28/20 7:30:28 AM	08/28/20 7:30:23 AM	08/28/20 11:24:16 AM	Kirk Waldrop joins operations practice of Grant Thornton	In the role, he led operational strategy and implementation engagements.  Before that, Waldrop spent more than 12 years at Booz Allen Hamilton, where he was a senior associate and led the space and homeland security supply chain/logistics business...	Kirk Waldrop joins operations practice of Grant Thornton	Grant Thornton US has hired veteran supply chain consultant Kirk Waldrop as a managing director in its operations transformation practice.  Waldrop will be based in the firm’s Atlanta office and will focus on advising private equity clients on supply...	https://www.consulting.us/	http://consulting.us/	http://www.consulting.us/	https://www.consulting.us/news/4791/kirk-waldrop-joins-operations-practice-of-grant-thornton	en	0	100	0	0	ONLINENEWS,ONLINENEWS_OTHER	TEXT	https://www.consulting.us/news/4791/kirk-waldrop-joins-operations-practice-of-grant-thornton		containsImage,hasImage,isClusterMainDoc,isEdited,isNewsHost			[]	https://www.consulting.us/illustrations/news/spotlight/2020-08-28-103514996-Kirk-Waldrop.jpg	546	312			0	0			SEARCH / Competitors / Booz Allen Hamilton	0	0	0	0	0	0	0	0	0	0	0	2	0	30000	0	0	0	0						0.0	0.0	ex:www.consulting.us-1846027498		consulting.us	0	DAY	UNKNOWN									0.0	0.0	North America	United States	us	Washington, D.C.	Washington, D.C.	-77.0086669921875	38.89984130859375	2	30000			30000	0		0	www.consulting.us	334	
https://wtop.com/business-finance/2020/09/montgomery-county-schools-tops-local-list-on-forbes-best-employers-for-women/	09/03/20 12:53:41 PM	09/03/20 5:15:31 AM	09/03/20 12:56:29 PM	Montgomery County Public Schools tops Forbes’ local list of best employers for women	...300 companies:  No. 32: Montgomery County Public Schools No. 33: SAIC No. 43: Booz Allen Hamilton No. 99: Marriott International No. 128: NASA No. 135: Mars No. 166: Geico No. 184: Hilton No. 236: Lockheed Martin.  The highest ranked large employers...	Montgomery County Public Schools tops Forbes’ local list of best employers for women	Forbes Magazine’s third-annual America’s Best Employers for Women list ranks Montgomery County Public Schools highest in the D.C. region for female employees.  Forbes’ rankings this year are based on surveys of 75,000 Americans, 45,000 of which were ...	https://wtop.com/	http://wtop.com/	http://wtop.com/	https://wtop.com/business-finance/2020/09/montgomery-county-schools-tops-local-list-on-forbes-best-employers-for-women/	en	0	55	0	0	ONLINENEWS,ONLINENEWS_TVRADIO	TEXT	https://www.boerse.de/nachrichten/Consumers-Energy-Recognized-by-Forbes-Magazine-as-Best-Employer-for-Women-in-Utility-Sector/30228260		isEdited,isNewsHost			"[{""url"":""https://www.forbes.com/best-employers-women/#1e78bfe57de9""},{""url"":""https://www.forbes.com/best-employers-women/#2cae20ac7de9""}]"		0	0			0	0			SEARCH / Competitors / Booz Allen Hamilton	0	0	0	0	0	0	0	0	0	0	0	2	0	1500000	0	0	0	0						0.0	0.0	ex:wtop.com-464326305		jeff clabaugh @wtopclabaugh	0	DAY	MALE									0.0	0.0	North America	United States	us	Washington, D.C.	Washington, D.C.	-77.0086669921875	38.89984130859375	2	1153846			1153846	0		0	wtop.com	257	
https://www.satellitetoday.com/government-military/2020/08/27/ball-aerospace-awarded-us-dod-system-integrator-contract/	08/27/20 4:14:52 PM	08/27/20 4:04:09 PM	08/30/20 9:59:46 AM	Ball Aerospace Awarded US DoD System Integrator Contract	Ball Aerospace, teamed with Booz Allen Hamilton, was awarded a contract by the U.S. Space Rapid Capabilities Office (SpRCO) to serve as the prime system integrator for the SpRCO Ground Command, Control...	Ball Aerospace Awarded US DoD System Integrator Contract	Ball Aerospace, teamed with Booz Allen Hamilton, was awarded a contract by the U.S. Space Rapid Capabilities Office (SpRCO) to serve as the prime system integrator for the SpRCO Ground Command, Control and Communications (GC3) system. GC3 will integr...	https://www.satellitetoday.com/	http://satellitetoday.com/	http://www.satellitetoday.com/	https://www.satellitetoday.com/government-military/2020/08/27/ball-aerospace-awarded-us-dod-system-integrator-contract/	en	0	80	0	0	ONLINENEWS,ONLINENEWS_OTHER	TEXT	https://uk.advfn.com/stock-market/NYSE/BLL/share-news/Ball-Aerospace-Selected-for-Space-RCO-Tactical-Gro/83142751		containsImage,hasImage,isEdited,isNewsHost			"[{""url"":""https://www.satellitetoday.com/wp-content/uploads/2017/08/120213-f-mg591-256.jpg""}]"	https://www.satellitetoday.com/wp-content/uploads/2017/08/120213-f-mg591-256.jpg	0	0			0	0			SEARCH / Competitors / Booz Allen Hamilton	0	0	0	0	0	0	0	0	0	0	0	2	0	70000	0	0	0	0						0.0	0.0	ex:www.satellitetoday.com-1326047684		Annamarie Nyirady	0	DAY	FEMALE									0.0	0.0	North America	United States	us	Washington, D.C.	Washington, D.C.	-77.0086669921875	38.89984130859375	2	70000			70000	0		0	www.satellitetoday.com	159	
https://www.businesswire.com/news/home/20200917005508/en/Booz-Allen-Foundation-Awards-1M-in-Innovation-Fund-Grants-to-Support-COVID-19-Solutions	09/17/20 8:38:02 AM	09/17/20 8:37:00 AM	09/18/20 10:57:48 PM	Booz Allen Foundation Awards $1M in Innovation Fund Grants to Support COVID-19 Solutions	...COVID-19. On April 1, 2020, the Booz Allen Foundation and Booz Allen Hamilton launched a coordinated philanthropic ... and nursing homes.   About The Booz Allen Foundation  The Booz Allen Foundation was formed in 2017 as an independent...	Booz Allen Foundation Awards $1M in Innovation Fund Grants to Support COVID-19 Solutions	WASHINGTON--( The Booz Allen Foundation, a 501(c)(3) organization dedicated to convening diverse stakeholders to solve challenging social issues,  today announced the recipients of nearly $1 million in grants from the Booz Allen Foundation Innovation...	https://www.businesswire.com/	http://businesswire.com/	http://www.businesswire.com/	https://www.businesswire.com/news/home/20200917005508/en/Booz-Allen-Foundation-Awards-1M-in-Innovation-Fund-Grants-to-Support-COVID-19-Solutions	en	0	95	0	0	ONLINENEWS,ONLINENEWS_PRESSRELEASES	TEXT	https://www.finanzen.ch/nachrichten/aktien/six-canadian-covid-19-innovations-receive-$1m-funding-boosts-1029586600		isEdited,isNewsHost			"[{""url"":""https://boozallenfoundation.org""},{""url"":""https://cts.businesswire.com/ct/CT?id=smartlink&amp;url=https%3A%2F%2Fgocopia.com%2F&amp;esheet=52288901&amp;newsitemid=20200917005508&amp;lan=en-US&amp;anchor=Copia&amp;index=17&amp;md5=1c4b009ef9ea35fca5c91e5b3131652c""},{""url"":""https://cts.businesswire.com/ct/CT?id=bwnews&amp;sty=20200917005508r1&amp;sid=web02&amp;distro=nx&amp;lang=en""},{""url"":""https://cts.businesswire.com/ct/CT?id=smartlink&amp;url=https%3A%2F%2Fcnasimvr.com%2F&amp;esheet=52288901&amp;newsitemid=20200917005508&amp;lan=en-US&amp;anchor=CNA+Simulations+VR&amp;index=16&amp;md5=ee198b4872a8530c60ea8ec2cf75ffbf""},{""url"":""https://cts.businesswire.com/ct/CT?id=smartlink&amp;url=http%3A%2F%2Fwww.metcaresfoundation.org%2F&amp;esheet=52288901&amp;newsitemid=20200917005508&amp;lan=en-US&amp;anchor=Met+Cares+Foundation&amp;index=12&amp;md5=ea45c2ad3c9787397b39b23342030af7""}]"		0	0			0	0			SEARCH / Competitors / Booz Allen Hamilton	0	0	0	0	0	0	0	0	0	0	0	3	0	4970000	0	0	0	0						0.0	0.0	ex:www.businesswire.com-0			0	DAY	UNKNOWN									0.0	0.0	North America	United States	us	Washington, D.C.	Washington, D.C.	-77.0086669921875	38.89984130859375	3	3313333			3313333	0		0	www.businesswire.com	1615	
https://searcherp.techtarget.com/feature/5-supply-chain-cybersecurity-risks-and-best-practices	09/18/20 4:22:08 PM	09/18/20 8:01:53 AM	09/18/20 4:51:46 PM	5 supply chain cybersecurity risks and best practices	"...said Beau Oliver, vice president at Booz Allen Hamilton.  That's a mistake.  To truly secure its supply chain, a company has ... networks. Beau OliverVice president, Booz Allen Hamilton  ""Remote employees are now using their work devices to surf the..."	5 supply chain cybersecurity risks and best practices	The rise of supply chain cyberthreats in the wake of COVID-19 have made a solid risk management plan even more essential than it always has been.  Supply chain cyberattacks put organizations at significant risk -- risk that can disrupt their operatio...	https://searcherp.techtarget.com/	http://techtarget.com/	http://searcherp.techtarget.com/	https://searcherp.techtarget.com/feature/5-supply-chain-cybersecurity-risks-and-best-practices	en	0	100	0	0	ONLINENEWS,ONLINENEWS_OTHER	TEXT	https://searcherp.techtarget.com/feature/5-supply-chain-cybersecurity-risks-and-best-practices		isClusterMainDoc,isEdited,isNewsHost			"[{""url"":""https://www.gartner.com/en/documents/3953757/deploy-effective-supply-chain-strategies-to-fortify-cybe""},{""url"":""https://internetofthingsagenda.techtarget.com/blog/IoT-Agenda/Securing-your-supply-chain-is-as-important-as-securing-your-devices""},{""url"":""https://searcherp.techtarget.com/feature/7-techniques-to-build-supply-chain-resilience""},{""url"":""https://searcherp.techtarget.com/feature/How-to-address-security-issues-with-working-remotely""},{""url"":""https://searcherp.techtarget.com/tip/Why-companies-should-make-ERP-security-a-top-priority""},{""url"":""https://searcherp.techtarget.com/feature/7-supply-chain-management-best-practices-in-a-COVID-19-world""}]"	https://cdn.ttgtmedia.com/rms/onlineImages/rosencrance_linda.jpg	0	0			0	0			SEARCH / Competitors / Booz Allen Hamilton	4	0	0	0	0	0	0	0	0	0	0	31	0	282000	0	0	0	0						0.0	0.0	ex:searcherp.techtarget.com-1469461063		linda rosencrance published	0	DAY	FEMALE									0.0	0.0	North America	Mexico	mx	Mexico City	Mexico City	-99.1351318359375	19.44305419921875	35	218604			218604	0		0	searcherp.techtarget.com	1654	
https://www.theglobeandmail.com/investing/investment-ideas/article-twenty-tech-stocks-set-for-outsized-profit-growth-plus-why-this/	09/23/20 12:57:57 PM	09/23/20 12:31:24 PM	09/23/20 1:04:03 PM	Twenty tech stocks set for outsized profit growth. Plus, why this month’s market selloff isn’t over	Keysight Technologies Inc., Epam Systems Inc., CDW Corp., Zebra Technologies Corp. and consultancy Booz Allen Hamilton.  In general, Credit Suisse views technology stocks as deserving of their expensive stock valuation multiples because of their...	Twenty tech stocks set for outsized profit growth. Plus, why this month’s market selloff isn’t over	An in-depth research report by Credit Suisse analysts John Talbott and Sarah Sprole uncovered 20 technology stock ideas well positioned to generate outsized profit growth. The stock screening method focuses on a proprietary valuation multiple – cash ...	https://www.theglobeandmail.com/	http://theglobeandmail.com/	http://www.theglobeandmail.com/	https://www.theglobeandmail.com/investing/investment-ideas/article-twenty-tech-stocks-set-for-outsized-profit-growth-plus-why-this/	en	0	100	0	0	ONLINENEWS,ONLINENEWS_OTHER	TEXT	https://www.theglobeandmail.com/investing/investment-ideas/article-twenty-tech-stocks-set-for-outsized-profit-growth-plus-why-this/		containsImage,hasImage,isClusterMainDoc,isNewsHost,isQuestion			"[{""url"":""https://www.theglobeandmail.com/investing/globe-advisor/""},{""url"":""https://twitter.com/globeinvestor""},{""url"":""Amazon.com""},{""url"":""https://www.theglobeandmail.com/newsletters/?utm_source=Arcnewsletter&amp;utm_medium=onsite&amp;utm_campaign=fixed_positions&amp;utm_term=signuppage&amp;utm_content=investing_promo#newsletter-group-3""},{""url"":""https://www.theglobeandmail.com/investing/markets/inside-the-market/article-does-the-weak-outlook-for-bonds-mean-you-should-avoid-balanced-etfs/""},{""url"":""www.globeadvisor.com""},{""url"":""http://amazon.com/""}]"	https://www.theglobeandmail.com/resizer/rA38kHiLJPpGeA0MCVjqBTWZzXs=/1200x0/filters:quality(80)/cloudfront-us-east-1.images.arcpublishing.com/tgam/RYBWBGFNTRPZXBNOV5MTIDRXCQ.jpg	1200	819			0	0			SEARCH / Competitors / Booz Allen Hamilton	1	0	0	0	0	0	0	0	0	0	0	3	0	7040000	0	0	0	0						0.0	0.0	ex:www.theglobeandmail.com-2047647732		us on twitter	0	DAY	UNKNOWN									0.0	0.0	North America	Canada	ca	Ontario	Ottawa	-75.7012939453125	45.41473388671875	4	4141176			4141176	0		0	www.theglobeandmail.com	1548	
https://www.denverpost.com/2020/09/08/top-workplaces-2020-the-150-winners/	09/08/20 2:25:08 PM	09/08/20 2:24:08 PM	09/08/20 6:28:33 PM	Top Workplaces 2020: The 150 winners – The Denver Post	Zillow Group  8. Keysight Technologies  9. Pinnacol Assurance  10. Gusto  11. Booz Allen Hamilton  12. Craig Hospital  13. Greystar  14. Fidelity Investments  15. OnDeck Capital Inc.  16. Charles Schwab & Co.  17. Saunders Construction Inc.  18...	Top Workplaces 2020: The 150 winners – The Denver Post	Small Company Winners  1. Booyah Advertising  2. Anderson Mason Dale Architects  3. Ave Maria Catholic School  4. Live Urban Real Estate  5. West + Main Homes  6. Footers Catering  7. Bloom Healthcare  8. Home Mortgage Alliance LLC  9. Integrity Locu...	https://www.denverpost.com/	http://denverpost.com/	http://www.denverpost.com/	https://www.denverpost.com/2020/09/08/top-workplaces-2020-the-150-winners/	en	0	0	0	0	ONLINENEWS,ONLINENEWS_NEWSPAPER	TEXT	https://www.denverpost.com/2020/09/08/top-workplaces-2020-the-150-winners/		containsImage,hasImage,isClusterMainDoc,isEdited,isNewsHost			"[{""url"":""https://i1.wp.com/www.denverpost.com/wp-content/uploads/2020/05/TWP_Denver_Portrait_2020_AW.jpg?fit=620%2C9999px&amp;ssl=1""}]"	https://i1.wp.com/www.denverpost.com/wp-content/uploads/2020/05/TWP_Denver_Portrait_2020_AW.jpg	542	1000			0	0			SEARCH / Competitors / Booz Allen Hamilton	15	13	0	0	0	0	0	0	0	0	0	9	3	2800000	0	0	0	0						0.0	0.0	ex:www.denverpost.com-584167063		Donovan Henderson	0	DAY	MALE									0.0	0.0	North America	United States	us	Colorado	Denver	-104.9798583984375	39.74029541015625	40	1750000			1750000	0		0	www.denverpost.com	583	
https://dailycaller.com/2020/08/28/peter-debbins-gru-ikar-lesnikov/	08/28/20 5:12:10 PM	08/28/20 5:08:53 PM	08/28/20 5:16:30 PM	Ex-Green Beret’s First Act Of Collusion With Russian Spies Involved American Nuns	  He was a Russian cyber analyst from April 2014 to December 2015 for the Defense Intelligence Agency (DIA) through Booz Allen Hamilton, a major defense contractor. The position required a TS/SCI security clearance, the highest level clearance in...	Ex-Green Beret’s First Act Of Collusion With Russian Spies Involved American Nuns	US Ex-Green Beret’s First Act Of Collusion With Russian Spies Involved American Nuns  (YouTube Screen capture/Ukrainian-American Concordia University)  Chuck Ross  Investigative Reporter  A former Army Green Beret told the FBI last year of repeated c...	https://dailycaller.com/	http://dailycaller.com/	http://dailycaller.com/	https://dailycaller.com/2020/08/28/peter-debbins-gru-ikar-lesnikov/	en	0	100	0	0	ONLINENEWS,ONLINENEWS_OTHER	TEXT	https://dailycaller.com/2020/08/28/peter-debbins-gru-ikar-lesnikov/		containsImage,hasImage,isClusterMainDoc,isEdited,isNewsHost			"[{""url"":""https://dailycaller.com/2020/08/22/peter-debbins-russia-ikar-lesnikov-booz-allen-hamilton/""},{""url"":""https://images.dailycaller.com/image/width=960""},{""url"":""https://www.scribd.com/document/474003211/Peter-Debbins-court-filing""},{""url"":""https://cdn01.dailycaller.com/wp-content/uploads/2020/08/Debbins.jpeg""},{""url"":""https://dailycaller.com/2018/07/13/mueller-indicts-russians-democratic-email-hacking/""},{""url"":""https://abcnews.go.com/US/wireStory/judge-refuses-free-green-beret-accused-espionage-72659239""},{""url"":""https://dailycaller.com/2020/08/21/russia-spy-peter-debbins-ikar-lesnikov/""},{""url"":""https://cdn01.dailycaller.com/wp-content/uploads/2020/06/shutterstock_1468367888-e1592424591440.jpg""},{""url"":""http://www.twitter.com/chuckrossdc""}]"	https://cdn01.dailycaller.com/wp-content/uploads/2020/08/Debbins.jpeg	0	0			0	0			SEARCH / Competitors / Booz Allen Hamilton	27	30	0	0	0	0	0	0	0	0	0	115	925	4060000	0	0	0	0						0.0	0.0	ex:dailycaller.com-1538604901		Chuck Ross	0	DAY	MALE									0.0	0.0	North America	United States	us	Washington, D.C.	Washington, D.C.	-77.0086669921875	38.89984130859375	1097	1691666			1691666	0		0	dailycaller.com	968	
