Platform	Author	Publish Time	URL	Content	Thumbnail	Metrics
Twitter	Final Salute Inc.	published on 09/21/20 at 11:36 AM	http://twitter.com/FinalSaluteInc/status/1308067539306471424	The 2020 Ms. Veteran America competition, presented by @CACIIntl will be streamed live this year on Oct 11th. This is our signature event, honoring women veterans, their service and sacrifice. Tickets via mva2020.eventbrite.com pic.twitter.com/WK8YFjcxAS	http://twitter.com/FinalSaluteInc/status/1308067539306471424	"9Retweets
9Twitter Likes
3.5KTwitter Followers"
Twitter	Mark Singleton	published on 09/03/20 at 9:09 AM	http://twitter.com/M4rkSingleton/status/1301507625444614144	So proud to be able to share some of @WWLNHS recent work at the following events, but i'm even prouder that there's so much good work being produced by the team each event will be a different success story! #nhs #healthcare #data #analytics #qlik @Qlik_UK @catalyst_IT_ @CACIIntl pic.twitter.com/dYf42wi89X	http://twitter.com/M4rkSingleton/status/1301507625444614144	"15Twitter Likes
697Twitter Followers"
Twitter	Ms. Veteran America	published on 09/21/20 at 3:40 PM	http://twitter.com/MSVETAMERICA/status/1308128981095510017	This year, the @MSVETAMERICA 2020 finale will be virtual. With @CACIIntl as our presenting sponsor - we hope you'll join us in highlighting the #WomenBeyondtheUniform. @FinalSaluteInc Get your tickets here! Tickets via mva2020.eventbrite.com pic.twitter.com/SXtPrW5lhH	http://twitter.com/MSVETAMERICA/status/1308128981095510017	"7Retweets
7Twitter Likes
2.2KTwitter Followers"
Twitter	Jas Boothe Speaks	published on 09/21/20 at 11:45 AM	http://twitter.com/JasBoothe1/status/1308069974531997698	The 2020 @MSVETAMERICA competition, presented by @CACIIntl will be streamed live this year on Oct 11th. This is a @FinalSaluteInc signature event, honoring women veterans, their service and sacrifice. Tickets via mva2020.eventbrite.com pic.twitter.com/6PikakCQDU	http://twitter.com/JasBoothe1/status/1308069974531997698	"5Retweets
9Twitter Likes
3.2KTwitter Followers"
Twitter	Mike Rogers	published on 08/28/20 at 12:33 PM	http://twitter.com/RepMikeRogers/status/1299384654991101958	Looking forward to speaking at @CACIIntl's 13th Asymmetric Threat Symposium on the 8th of October.		"3Retweets
4Twitter Likes
19.3KTwitter Followers"
Twitter	Kat Wagner, Ms Veteran America 2019, 1st Runner Up	published on 09/21/20 at 4:30 PM	http://twitter.com/MVA1RU2019/status/1308141555274969089	The 2020 @MSVETAMERICA competition, presented by @CACIIntl will be streamed live this year on Oct 11th. This is our signature event, honoring women veterans, their service and sacrifice. Tickets via mva2020.eventbrite.com pic.twitter.com/VHlpkJmLnv	http://twitter.com/MVA1RU2019/status/1308141555274969089	"2Retweets
4Twitter Likes
133Twitter Followers"
Twitter	Denyse Gordon Watts	published on 09/21/20 at 3:37 PM	http://twitter.com/MsVetAmerica1/status/1308128145384574976	This year, the @MSVETAMERICA 2020 finale will be virtual. With @CACIIntl as our presenting sponsor - we hope you'll join us in highlighting the #WomenBeyondtheUnfiorm. @FinalSaluteInc Get your tickets here! Tickets via mva2020.eventbrite.com pic.twitter.com/plTi6hWz0B	http://twitter.com/MsVetAmerica1/status/1308128145384574976	"2Retweets
4Twitter Likes
1.6KTwitter Followers"
Twitter	michael ....All Chocolate Matters	published on 09/05/20 at 11:52 PM	http://twitter.com/Merlotmike/status/1302454713787457536	She owns a Casi clinic franchise in Havelock North. I see her LinkedIn profile is disabled. I'm feeling all virtuous now after emailing @CACIIntl NZ about one of their team members.		"2Retweets
3Twitter Likes
955Twitter Followers"
Twitter	ESGR	published on 09/01/20 at 1:00 PM	http://twitter.com/ESGR/status/1300840846573498369	From generous pay differential policies to personalized attention to its #GuardandReserve families during deployments, CACI International’s military support is constantly on display. Help us congratulate @CACIIntl as one of this year’s 15 #SecDefFreedomAward recipients! pic.twitter.com/u0GMCh8hF4	http://twitter.com/ESGR/status/1300840846573498369	"2Retweets
3Twitter Likes
8.5KTwitter Followers"
Twitter	Trajectory Magazine	published on 09/14/20 at 4:15 PM	http://twitter.com/TrajectoryMag/status/1305600986392735747	Weekly #GEOINT Community News: @BallAerospace Completes Critical Design Review of MethaneSAT & more from @CACIIntl @planetlabs @here @RiversideRsch & @leidos ow.ly/1I0G50Bqvrg pic.twitter.com/NqD1wHNNvz	http://twitter.com/TrajectoryMag/status/1305600986392735747	"1Retweets
2Twitter Likes
3.8KTwitter Followers"
