Platform	Author	Publish Time	URL	Content	Thumbnail	Metrics
Twitter	Hettie O'Brien	published on 09/21/20 at 6:37 AM	http://twitter.com/hettieveronica/status/1307992224593063936	if you’d told me six months ago that we’d be in the same place six months later because this government paid Deloitte and Serco millions for a testing and tracing system that doesn’t work, headed by one of their mates, i’d probably be like.... sounds about right		"12KRetweets
51.8KTwitter Likes
8.8KTwitter Followers"
Twitter	Lewis Goodall	published on 09/23/20 at 7:26 AM	http://twitter.com/lewis_goodall/status/1308729461219655681	Worth remembering that when PM says everyone should support NHS Track and Trace- many elements are not run by the NHS. They’re outsourced to Deloitte, Serco, Mitie, G4S, Sodexo, Boots, Randox and the like...		"7.5KRetweets
18.6KTwitter Likes
185.1KTwitter Followers"
Twitter	Paul Mason	published on 09/17/20 at 7:35 AM	http://twitter.com/paulmasonnews/status/1306557293245411328	Dido Harding has a job - to provide a Test and Trace service. She's failed. Serco has failed. Deloitte has failed. In a real free-market economy they would lose their contracts and their jobs. But Covid has created a social-welfare economy where only the elite can take part.		"5.8KRetweets
16.6KTwitter Likes
622KTwitter Followers"
Twitter	Akanni Of Lagos 	published on 09/15/20 at 7:09 PM	http://twitter.com/2muchAkanni/status/1306007269788835840	God bless the writer . Crash Deloitte! #LayconGoingNowhere #BBNaija pic.twitter.com/LlqFSpGzLf	http://twitter.com/2muchAkanni/status/1306007269788835840	"2.4KRetweets
7.1KTwitter Likes
21.7KTwitter Followers"
Twitter	Amazon Web Services	published on 08/26/20 at 7:23 PM	http://twitter.com/awscloud/status/1298763137685090304	See how AWS Partner @Deloitte transformed Pekin Insurance’s business while decreasing development time by months: go.aws/3hrvdbU pic.twitter.com/vbqd5Ey2Go		"292Retweets
9.2KTwitter Likes
1.8MTwitter Followers"
Twitter	Baroness Hussein-Ece	published on 09/21/20 at 7:55 AM	http://twitter.com/meralhece/status/1308012036236996608	Who knew six months ago that we’d be in the same place six months later because this government paid Deloitte & Serco millions for a testing & tracing system that doesn’t work, that would be headed up by one of their mates...? Nothing should surprise us after this.		"2KRetweets
7KTwitter Likes
15.6KTwitter Followers"
Twitter	Kevin Maguire	published on 09/23/20 at 8:06 AM	http://twitter.com/Kevin_Maguire/status/1308739440882388992	Serco, Deloitte, G4S, Sodexo, Randox, other companies and Tory chumocracy peer Dido Harding are trashing the NHS brand. The “NHS Track and Trace” system is ruined by profit-hungry operators when unfairly maligned Public Health England and local authorities now do a better job		"1.9KRetweets
5.1KTwitter Likes
242.7KTwitter Followers"
Twitter	Salesforce	published on 09/16/20 at 1:45 PM	http://twitter.com/salesforce/status/1306288032010719233	Join @Deloitte’s CEO @DHelfrich21 on #LeadingThroughChange and learn how he is using Salesforce technology  to keep his teams aligned to drive customer success. Set a reminder  sforce.co/3mmfCx8		"558Retweets
6.4KTwitter Likes
520.6KTwitter Followers"
Twitter	Maj Manik M Jolly,SM	published on 09/02/20 at 1:39 PM	http://twitter.com/Manik_M_Jolly/status/1301213095684169729	You don’t know me, don’t get there! I’m Ex World Bank, Director Deloitte and created financial models for investment into South Asia. Co Author of Global energy report. Innovation champion of India along with 3 other scientists. 3 fellowships, 2 in US. Consultant to UNDP.. twitter.com/iyervval/statu…		"1.5KRetweets
5.5KTwitter Likes
9KTwitter Followers"
Twitter	Carole Cadwalladr	published on 09/12/20 at 7:26 AM	http://twitter.com/carolecadwalla/status/1304743159067541504	This is an extraordinary mess. Rhondda council stepping in to do testing because Deloitte will only do 60 tests a day in a town on the edge of lockdown		"2.4KRetweets
4.3KTwitter Likes
561.1KTwitter Followers"
Twitter	Akanni Of Lagos 	published on 09/14/20 at 5:11 PM	http://twitter.com/2muchAkanni/status/1305615287874711552	If you’re an ICON and you live in Lekki-Ajah Axis, kindly send me a DM now. We’ve got a lot of things to run on the island together. Crash Deloitte! #VoteLayconToFinal #BBNaija		"829Retweets
4.6KTwitter Likes
18.3KTwitter Followers"
Twitter	Gabriel Scally	published on 09/12/20 at 4:19 AM	http://twitter.com/GabrielScally/status/1304696062259666944	Just had my ‘flu vaccine. Brilliantly organised effort by my GP surgery @111PembrokeRd It used a church and took less than 60 secs from arrival. Food for thought on how much better ‘NHS Test & Trace’ would be if it was actually run by the #NHS rather than Deloitte.		"1.3KRetweets
4KTwitter Likes
22.7KTwitter Followers"
Twitter	Laycon’s small body	published on 08/31/20 at 3:48 PM	http://twitter.com/PossyOge/status/1300520742904307713	This is just the reason I wanted him to win that HOH. He is always tensed and I hate to see him this way Guyyyyssss!! We VOTE LIKE BEASTS!! Let’s shake Deloitte!! The code is VOTE Laycon to 32052 NO DULLING!!! #Bbnaija pic.twitter.com/PIb48T8rY3	http://twitter.com/PossyOge/status/1300520742904307713	"694Retweets
3.5KTwitter Likes
1.4KTwitter Followers"
Twitter	Mark Cockerton	published on 09/22/20 at 9:25 AM	http://twitter.com/CockertonMark/status/1308397060442525697	Who’d have guessed that a Test & Trace system run by Serco & Deloitte then contracted out to Sitel, Mitie, G4S, Sodexo, Boots etc. and many other companies would deliver a fragmented, inefficient, unfit-for-purpose service whilst raking in huge profits? Err, almost everyone...		"1.1KRetweets
2.8KTwitter Likes
17KTwitter Followers"
Twitter	Akanni Of Lagos 	published on 09/17/20 at 7:27 AM	http://twitter.com/2muchAkanni/status/1306555422871097345	Please look for a better YORUBA Translator biko . Truly, this is people’s movement and its ordained by God! Fire down guys and VOTE Laycon like rapture was about to occur. This is Laycon’s @itsLaycon season.  Crash Deloitte! #VOTELayconToFinal pic.twitter.com/WdTZTwmlZ1	http://twitter.com/2muchAkanni/status/1306555422871097345	"834Retweets
2.6KTwitter Likes
21.7KTwitter Followers"
Twitter	Akanni Of Lagos 	published on 09/14/20 at 4:43 PM	http://twitter.com/2muchAkanni/status/1305608203556847618	Crash Deloitte! mylinks.ng/itslaycon/ #VOTELayconToFinal #BBNaija pic.twitter.com/yv43Gh9CcN	http://twitter.com/2muchAkanni/status/1305608203556847618	"703Retweets
2.7KTwitter Likes
22.3KTwitter Followers"
Twitter	Abdulrosaq | Laycon’s iCon Commander 	published on 09/14/20 at 3:52 PM	http://twitter.com/rasrap21/status/1305595377001865216	Last two weeks they said Deloitte system malfunctioned Can we repeat history ICONs VOTE Laycon to 32052 @itsLaycon  iCONS SHALL WE #BeLikeLaycon #VOTELayconToFinal #BBNaira pic.twitter.com/Ca1oaopMu5	http://twitter.com/rasrap21/status/1305595377001865216	"636Retweets
2.6KTwitter Likes
2KTwitter Followers"
Twitter	Akanni Of Lagos 	published on 09/15/20 at 5:17 PM	http://twitter.com/2muchAkanni/status/1305979166848962563	Laycon @itsLaycon and Ozo Won their task. Greatness! Purnish him with VOTES and Crash Deloitte. #VoteLayconToFinal		"439Retweets
2.8KTwitter Likes
15.5KTwitter Followers"
Twitter	Akanni Of Lagos 	published on 09/14/20 at 5:30 PM	http://twitter.com/2muchAkanni/status/1305620010950430722	If you’re a true ICON and you live around Abule-Egba, Iyana-Ipaja, Ipaja, Command axis kindly send a DM to @moteelorlar NOW!  We have something to run there. Crash Deloitte! #VOTELayconToFinal #BBNaija		"661Retweets
2.6KTwitter Likes
20.1KTwitter Followers"
Twitter	Akanni Of Lagos 	published on 09/16/20 at 1:49 AM	http://twitter.com/2muchAkanni/status/1306108016169750529	Good morning ICONs, This is a subtle reminder that VOTING Lines closes tomorrow. Fix everything up now cos time never wait for nobody. Just do it. God bless everyone doing this. Crash Deloitte! #VOTELayconToFinal #BBNaija		"589Retweets
2.6KTwitter Likes
18.3KTwitter Followers"
Twitter	Michael Govern Ready	published on 09/10/20 at 2:53 AM	http://twitter.com/mikegove12/status/1303949643567558656	It's called Operation Moonshot because giving £100 billion, close to the entire budget of the NHS, to our friends at Deloitte and Serco, is our most audacious middle finger to the British public yet. Stay alert. bmj.com/content/370/bm…		"1KRetweets
1.9KTwitter Likes
58.1KTwitter Followers"
Twitter	dotun	published on 09/15/20 at 9:30 AM	http://twitter.com/ThisIsDotun/status/1305861560162750464	If the tweet isn’t about voting for Laycon, it’s not making sense. iCONs, I dare you all to crash Deloitte this week. #VOTELayconToFinal #BBNaija		"470Retweets
2.3KTwitter Likes
13.7KTwitter Followers"
Twitter	Akanni Of Lagos 	published on 09/15/20 at 2:17 PM	http://twitter.com/2muchAkanni/status/1305933747771125766	Crash Deloitte. Do not forget, slack or play with your goal ICON Armies! Are we clear......? #VOTELayconToFinal #BBNaija		"449Retweets
2.2KTwitter Likes
15.4KTwitter Followers"
Twitter	Akanni Of Lagos 	published on 09/14/20 at 5:06 PM	http://twitter.com/2muchAkanni/status/1305614026999820288	If you’re an ICON and you live around ISOLO, AGO and GATE please send @_effiizzy a DM now. We’ve got a center with him. Crash Deloitte! #VoteLayconToFinal #BBNaija		"517Retweets
2.1KTwitter Likes
18.9KTwitter Followers"
Twitter	Salesforce	published on 09/17/20 at 12:57 PM	http://twitter.com/salesforce/status/1306638309456740352	We're  LIVE on #LeadingThroughChange with @Deloitte Consulting’s CEO @DHelfrich21. Plus a performance by one of classic rock’s finest, @John_Fogerty. Tune in now: sforce.co/2FGTblL		"138Retweets
2.5KTwitter Likes
520.7KTwitter Followers"
