url	indexed	published	search_indexed	title_snippet	content_snippet	title	content	root_url	domain_url	host_url	parent_url	lang	porn_level	fluency_level	spam_level	sentiment	source_type	post_type	cluster_id	meta_cluster_id	tags_internal	tags_marking	tags_customer	entity_urls	images.url	images.width	images.height	images.legend	videos.url	videos.width	videos.height	videos.legend	pagemonitoring_sitemon_siteid	matched_profile	article_extended_attributes.facebook_shares	article_extended_attributes.facebook_likes	article_extended_attributes.twitter_retweets	article_extended_attributes.url_views	article_extended_attributes.pinterest_likes	article_extended_attributes.pinterest_pins	article_extended_attributes.pinterest_repins	article_extended_attributes.youtube_views	article_extended_attributes.youtube_likes	article_extended_attributes.youtube_dislikes	article_extended_attributes.instagram_likes	article_extended_attributes.twitter_shares	article_extended_attributes.num_comments	source_extended_attributes.alexa_pageviews	source_extended_attributes.facebook_followers	source_extended_attributes.twitter_followers	source_extended_attributes.instagram_followers	source_extended_attributes.pinterest_followers	extra_article_attributes.world_data.continent	extra_article_attributes.world_data.country	extra_article_attributes.world_data.country_code	extra_article_attributes.world_data.region	extra_article_attributes.world_data.city	extra_article_attributes.world_data.longitude	extra_article_attributes.world_data.latitude	extra_author_attributes.id	extra_author_attributes.type	extra_author_attributes.name	extra_author_attributes.birthdate.date	extra_author_attributes.birthdate.resolution	extra_author_attributes.gender	extra_author_attributes.image_url	extra_author_attributes.short_name	extra_author_attributes.url	extra_author_attributes.world_data.continent	extra_author_attributes.world_data.country	extra_author_attributes.world_data.country_code	extra_author_attributes.world_data.region	extra_author_attributes.world_data.city	extra_author_attributes.world_data.longitude	extra_author_attributes.world_data.latitude	extra_source_attributes.world_data.continent	extra_source_attributes.world_data.country	extra_source_attributes.world_data.country_code	extra_source_attributes.world_data.region	extra_source_attributes.world_data.city	extra_source_attributes.world_data.longitude	extra_source_attributes.world_data.latitude	engagement	reach	provider	generator.type	source_extended_attributes.alexa_unique_visitors	article_extended_attributes.twitter_likes	extra_author_attributes.description	article_extended_attributes.linkedin_shares	extra_source_attributes.name	word_count	rating
https://thefly.com/landingPageNews.php?headline=FIVE-Five-Below-price-target-raised-to--from--at-CraigHallum&id=3155585	09/03/20 9:02:53 AM	09/03/20 2:59:50 AM	09/03/20 9:04:15 AM	Five Below price target raised to $150 from $145 at Craig-Hallum FIVE	...ManTech upgraded to Overweight from Equal Weight at Wells Fargo  MANT ManTech$76.02 /  +1.045  (+1.39%)  07/29/20 ManTech ... ManTech reports Q2 EPS 84c, consensus 65c  04/29/20 ManTech sees FY20 EPS $2.95-$3.07, consensus $2.99  04/29/20 ManTech...	Five Below price target raised to $150 from $145 at Craig-Hallum FIVE	2020-09-03 08:59:50FIVEFive Below  $117.10 /  +2.68  (+2.34%)  08:5909/03/20  09/0308:59  09/03/2008:59  Five Below price target raised to $150 from $145 at Craig-Hallum  Craig-Hallum analyst Jeremy Hamblin raised the firm's price target on Five Belo...	https://thefly.com/	http://thefly.com/	http://thefly.com/	https://thefly.com/landingPageNews.php?headline=FIVE-Five-Below-price-target-raised-to--from--at-CraigHallum&id=3155585	en	0	0	0	0	ONLINENEWS,ONLINENEWS_OTHER	TEXT	https://thefly.com/landingPageNews.php?headline=FIVE-Five-Below-price-target-raised-to--from--at-Morgan-Stanley&id=3155382		isNewsHost			"[{""url"":""https://thefly.com/permalinks/entry.php/id3155585/FIVE-Five-Below-price-target-raised-to--from--at-CraigHallum""},{""url"":""https://thefly.com/permalinks/entry.php/id3155573/-US-Q-productivity-was-revised-higher-to-a--pace-of-growth""},{""url"":""https://thefly.com/permalinks/entry.php/id3155580/CSLT-Castlight-Health-regains-compliance-with-NYSE-continued-listing-standards""},{""url"":""https://thefly.com/permalinks/entry.php/id3155564/CIEN-Ciena-saw-greater-than-expected-COVID-impacts-late-in-Q""},{""url"":""https://thefly.com/permalinks/entry.php/id3155571/-US-trade-deficit-widened--to--B-in-July""},{""url"":""https://thefly.com/permalinks/entry.php/id3155574/-UBS-healthcare-analysts-to-hold-an-analystindustry-conference-call""},{""url"":""https://thefly.com/permalinks/entry.php/id3155567/SIFY;CVLT-Sify-Technologies-partners-with-Commvault-for-unified-data-protection""},{""url"":""https://thefly.com/permalinks/entry.php/id3155565/MANT-ManTech-appoints-Kevin-Phillips-as-chairman-of-the-board""},{""url"":""https://thefly.com/permalinks/entry.php/id3155568/COST-Costco-price-target-raised-to--from--at-RBC-Capital""},{""url"":""https://thefly.com/permalinks/entry.php/id3155577/-Treasury-Action-there-wasnt-much-movement-in-the-markets""},{""url"":""https://thefly.com/permalinks/entry.php/id3155570/-FX-Action-The-dollar""},{""url"":""https://thefly.com/permalinks/entry.php/id3155578/AAPL;INTC;TSLA;SNAP-Notable-open-interest-changes-for-September-rd""},{""url"":""https://thefly.com/permalinks/entry.php/id3155572/-US-initial-jobless-claims-dropped-k-to-k-in-the-week-ended-August-""},{""url"":""https://thefly.com/permalinks/entry.php/id3155581/-UBS-to-hold-a-virtual-conference""},{""url"":""https://thefly.com/permalinks/entry.php/id3155576/CIEN-Ciena-CFO-sees-restrained-customer-spending-persisting-a-few-quarters""},{""url"":""https://thefly.com/permalinks/entry.php/id3155566/JAGX-Jaguar-Health-launches-mental-health-Entheogen-Therapeutics-Initiative""},{""url"":""https://thefly.com/permalinks/entry.php/id3155587/CIEN;INFN;JNPR-Ciena-sees-broad-service-provider-slowdown-to-be-felt-by-competitors""},{""url"":""https://thefly.com/permalinks/entry.php/id3155586/GWRE-Guidewire-price-target-raised-to--from--at-Needham""},{""url"":""https://thefly.com/permalinks/entry.php/id3155583/SPWH-Sportsmans-Warehouse-price-target-raised-to--from--at-CraigHallum""},{""url"":""https://thefly.com/permalinks/entry.php/id3155579/-UBS-aerospacetransport-analysts-to-hold-an-analystindustry-conference-call""},{""url"":""https://thefly.com/permalinks/entry.php/id3155582/CRTO-Criteo-appoints-Sarah-Glickman-as-CFO""},{""url"":""https://thefly.com/permalinks/entry.php/id3155569/CIEN-Ciena-sees-Q-revenue-MM-consensus-M""},{""url"":""https://thefly.com/permalinks/entry.php/id3155563/VVNT;CAPR;LODE;ESPR;BGFV;BLDP;TTOO;NAK;KODK;ALXN-Largest-borrow-rate-increases-among-liquid-names""},{""url"":""https://thefly.com/permalinks/entry.php/id3155584/-Deutsche-Bank-to-host-a-virtual-conference""},{""url"":""https://thefly.com/permalinks/entry.php/id3155575/QNST-QuinStreet-upgraded-to-Outperform-from-Market-Perform-at-Barrington""}]"		0	0			0	0			SEARCH / Competitors / ManTech	0	0	0	0	0	0	0	0	0	0	0	0	0	390000	0	0	0	0						0.0	0.0	ex:thefly.com-642260871		Ciena trading resumes	0	DAY	FEMALE									0.0	0.0	North America	United States	us	Washington, D.C.	Washington, D.C.	-77.0086669921875	38.89984130859375	0	300000			300000	0		0	thefly.com	8291	
https://www.cybercoders.com/technical-director-electronics-and-dod-perm-job-562899	08/27/20 1:01:48 PM	08/27/20 12:45:22 PM	08/27/20 1:03:50 PM	Technical Director - Electronics and DoD! PERM! - Technical Director - Experts...	...Clearance in the recent past and some -ManTech knowledge/familiarity is required.  -Base salary $140K - $160K, and depending ... Technical Leadership expertise.  -Knowledge of ManTech.  - Technical Director  - Electronics Manufacturing  - Electronics...	Technical Director - Electronics and DoD! PERM! - Technical Director - Experts...	If you are a Technical Electronics Director - Electronics and DoD with experience, please read on!  We are an innovative and established engineering services company growing through technical innovation! We are specializing in electronics manufacturi...	https://www.cybercoders.com/	http://cybercoders.com/	http://www.cybercoders.com/	https://www.cybercoders.com/technical-director-electronics-and-dod-perm-job-562899	en	0	100	0	5	ONLINENEWS,ONLINENEWS_OTHER	TEXT	https://www.builtinla.com/job/engineer/managerdirector-electrical-engineering/70117		isNewsHost			[]		0	0			0	0			SEARCH / Competitors / ManTech	0	0	0	0	0	0	0	0	0	0	0	0	0	850000	0	0	0	0						0.0	0.0	ex:www.cybercoders.com-848715978		privacy policy	0	DAY	UNKNOWN									0.0	0.0	North America	United States	us	Washington, D.C.	Washington, D.C.	-77.0086669921875	38.89984130859375	0	274193			274193	0		0	www.cybercoders.com	641	
http://networking.itbusinessnet.com/2020/08/national-best-for-vets-employers-list-includes-14-fairfax-county-based-firms/	08/31/20 5:11:14 PM	08/31/20 5:04:54 PM	08/31/20 5:12:41 PM	National 'Best for Vets' Employers List Includes 14 Fairfax County-based Firms	...Information Technology  Hilton  Leidos  ManTech International Corporation  MAXIMUS  Parsons Corporation  PenFed Credit Union ... Information Technology  Hilton  Leidos  ManTech International Corporation  MAXIMUS  Parsons Corporation  PenFed Credit Union...	National 'Best for Vets' Employers List Includes 14 Fairfax County-based Firms	FAIRFAX COUNTY, Va.–(BUSINESS WIRE)–Fourteen Fairfax County-headquartered companies ranked on Military Times’ 2020 “ Best for Vets: Employers” list, an annual ranking of the nation’s best employers and organizations with military-connected employment...	http://networking.itbusinessnet.com/	http://itbusinessnet.com/	http://networking.itbusinessnet.com/	http://networking.itbusinessnet.com/2020/08/national-best-for-vets-employers-list-includes-14-fairfax-county-based-firms/	en	0	30	0	5	ONLINENEWS,ONLINENEWS_OTHER	TEXT	https://uk.news.yahoo.com/national-best-vets-employers-list-201700967.html		isEdited,isNewsHost			"[{""url"":""https://cts.businesswire.com/ct/CT?id=smartlink&amp;url=https%3A%2F%2Fbestforvets2020.militarytimes.com%2F&amp;esheet=52276242&amp;newsitemid=20200831005722&amp;lan=en-US&amp;anchor=Best+for+Vets%3A+Employers&amp;index=1&amp;md5=23239eb9d9f3876ce2c16be24c""},{""url"":""https://cts.businesswire.com/ct/CT?id=smartlink&amp;url=http%3A%2F%2Fwww.novaeda.org%2F&amp;esheet=52276242&amp;newsitemid=20200831005722&amp;lan=en-US&amp;anchor=Northern+Virginia+Economic+Development+Alliance&amp;index=8&amp;md5=ca5f03441a45771a489c2201""}]"		0	0			0	0			SEARCH / Competitors / ManTech	0	0	0	0	0	0	0	0	0	0	0	0	0	4000	0	0	0	0						0.0	0.0	ex:networking.itbusinessnet.com-190270205		aapl chart by tradingview	0	DAY	UNKNOWN									0.0	0.0	North America	United States	us	Washington, D.C.	Washington, D.C.	-77.0086669921875	38.89984130859375	0	2000			2000	0		0	networking.itbusinessnet.com	634	
http://xitfilms.ru/kino/Cybersecurity+Tips,+Tools+and+Techniques+for+Your+Professional+Toolbag	09/07/20 7:30:28 PM	09/07/20 7:30:26 PM	09/07/20 7:31:58 PM	Cybersecurity Tips, Tools and Techniques for Your Professional Toolbag	Alan Paller, Research Director and Founder, SANS Institute Heather Mahalik, Director of Forensics Engineering at ManTech and Mobile Forensics Course ...     How much do you value your online privacy? Episode 2 of The Breakdown looks into our...	Cybersecurity Tips, Tools and Techniques for Your Professional Toolbag	Ron Woerner, President / Chief Trusted Advisor, RWX Security Solutions, LLC This rapid-fire presentation, an update from the hugely popular 2018 talk, will ...     Ron Woerner, President / Chief Trusted Advisor, RWX Security Solutions, LLC This rapid...	http://xitfilms.ru/	http://xitfilms.ru/	http://xitfilms.ru/	http://xitfilms.ru/kino/Cybersecurity+Tips,+Tools+and+Techniques+for+Your+Professional+Toolbag	en	0	45	0	0	ONLINENEWS,ONLINENEWS_OTHER	TEXT			isQuestion,isNewsHost			"[{""url"":""https://amzn.to/2O5dwzj""},{""url"":""http://xitfilms.ru/kino/Developing""},{""url"":""http://xitfilms.ru/online/MUppdUJ1ZWd0ZFU=""},{""url"":""https://i.ytimg.com/vi/1JiuBuegtdU/default.jpg""}]"		0	0			0	0			SEARCH / Competitors / ManTech	0	0	0	0	0	0	0	0	0	0	0	0	0	290000	0	0	0	0						0.0	0.0	ex:xitfilms.ru-0			0	DAY	UNKNOWN									0.0	0.0	Europe	Russia	ru	Moscow	Moscow	37.6116943359375	55.75286865234375	0	152631			152631	0		0	xitfilms.ru	344	
http://www.theusdaily.com/2020/08/national-best-for-vets-employers-list-includes-14-fairfax-county-based-firms/	08/31/20 5:07:30 PM	08/31/20 5:04:54 PM	08/31/20 5:09:33 PM	National 'Best for Vets' Employers List Includes 14 Fairfax County-based Firms	...Information Technology  Hilton  Leidos  ManTech International Corporation  MAXIMUS  Parsons Corporation  PenFed Credit Union ... Information Technology  Hilton  Leidos  ManTech International Corporation  MAXIMUS  Parsons Corporation  PenFed Credit Union...	National 'Best for Vets' Employers List Includes 14 Fairfax County-based Firms	FAIRFAX COUNTY, Va.–(BUSINESS WIRE)–Fourteen Fairfax County-headquartered companies ranked on Military Times’ 2020 “ Best for Vets: Employers” list, an annual ranking of the nation’s best employers and organizations with military-connected employment...	http://www.theusdaily.com/	http://theusdaily.com/	http://www.theusdaily.com/	http://www.theusdaily.com/2020/08/national-best-for-vets-employers-list-includes-14-fairfax-county-based-firms/	en	0	30	0	5	ONLINENEWS,ONLINENEWS_OTHER	TEXT	https://uk.news.yahoo.com/national-best-vets-employers-list-201700967.html		isEdited,isNewsHost			"[{""url"":""https://cts.businesswire.com/ct/CT?id=smartlink&amp;url=https%3A%2F%2Fbestforvets2020.militarytimes.com%2F&amp;esheet=52276242&amp;newsitemid=20200831005722&amp;lan=en-US&amp;anchor=Best+for+Vets%3A+Employers&amp;index=1&amp;md5=23239eb9d9f3876ce2c16be24c""},{""url"":""https://cts.businesswire.com/ct/CT?id=smartlink&amp;url=http%3A%2F%2Fwww.novaeda.org%2F&amp;esheet=52276242&amp;newsitemid=20200831005722&amp;lan=en-US&amp;anchor=Northern+Virginia+Economic+Development+Alliance&amp;index=8&amp;md5=ca5f03441a45771a489c2201""}]"		0	0			0	0			SEARCH / Competitors / ManTech	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0.0	0.0	ex:www.theusdaily.com-190270205		aapl chart by tradingview	0	DAY	UNKNOWN									0.0	0.0	North America	United States	us	Washington, D.C.	Washington, D.C.	-77.0086669921875	38.89984130859375	0	0			0	0		0	www.theusdaily.com	634	
http://internet.itbusinessnet.com/2020/08/national-best-for-vets-employers-list-includes-14-fairfax-county-based-firms/	09/01/20 5:21:36 AM	08/31/20 5:04:54 PM	09/01/20 5:23:39 AM	National 'Best for Vets' Employers List Includes 14 Fairfax County-based Firms	...Information Technology  Hilton  Leidos  ManTech International Corporation  MAXIMUS  Parsons Corporation  PenFed Credit Union ... Information Technology  Hilton  Leidos  ManTech International Corporation  MAXIMUS  Parsons Corporation  PenFed Credit Union...	National 'Best for Vets' Employers List Includes 14 Fairfax County-based Firms	FAIRFAX COUNTY, Va.–(BUSINESS WIRE)–Fourteen Fairfax County-headquartered companies ranked on Military Times’ 2020 “ Best for Vets: Employers” list, an annual ranking of the nation’s best employers and organizations with military-connected employment...	http://internet.itbusinessnet.com/	http://itbusinessnet.com/	http://internet.itbusinessnet.com/	http://internet.itbusinessnet.com/2020/08/national-best-for-vets-employers-list-includes-14-fairfax-county-based-firms/	en	0	30	0	5	ONLINENEWS,ONLINENEWS_OTHER	TEXT	https://uk.news.yahoo.com/national-best-vets-employers-list-201700967.html		isEdited,isNewsHost			"[{""url"":""https://cts.businesswire.com/ct/CT?id=smartlink&amp;url=https%3A%2F%2Fbestforvets2020.militarytimes.com%2F&amp;esheet=52276242&amp;newsitemid=20200831005722&amp;lan=en-US&amp;anchor=Best+for+Vets%3A+Employers&amp;index=1&amp;md5=23239eb9d9f3876ce2c16be24c""},{""url"":""https://cts.businesswire.com/ct/CT?id=smartlink&amp;url=http%3A%2F%2Fwww.novaeda.org%2F&amp;esheet=52276242&amp;newsitemid=20200831005722&amp;lan=en-US&amp;anchor=Northern+Virginia+Economic+Development+Alliance&amp;index=8&amp;md5=ca5f03441a45771a489c2201""}]"		0	0			0	0			SEARCH / Competitors / ManTech	0	0	0	0	0	0	0	0	0	0	0	0	0	4000	0	0	0	0						0.0	0.0	ex:internet.itbusinessnet.com-190270205		aapl chart by tradingview	0	DAY	UNKNOWN									0.0	0.0	North America	United States	us	Washington, D.C.	Washington, D.C.	-77.0086669921875	38.89984130859375	0	2000			2000	0		0	internet.itbusinessnet.com	634	
https://www.nasdaq.com/articles/controversial-data-company-palantir-goes-public-next-week:-what-you-need-to-know-2020-09	09/19/20 11:12:26 AM	09/19/20 10:49:00 AM	09/19/20 11:14:02 AM	Controversial Data Company Palantir Goes Public Next Week: What You Need to Know	  10 stocks we like better than ManTech International  for investors to buy right now... and ManTech International wasn't ... directors.  Lou Whiteman owns shares of ManTech International and PayPal Holdings. The Motley Fool owns shares of and...	Controversial Data Company Palantir Goes Public Next Week: What You Need to Know	Palantir Technologies, a Peter Thiel-backed data analytics company best known for working with government spy agencies, is preparing to trade on public markets for the first time on or around Sep. 23.  Palantir, though secretive, has attracted a lot ...	https://www.nasdaq.com/	http://nasdaq.com/	http://www.nasdaq.com/	https://www.nasdaq.com/articles/controversial-data-company-palantir-goes-public-next-week:-what-you-need-to-know-2020-09	en	0	100	0	0	ONLINENEWS,ONLINENEWS_OTHER	TEXT	https://www.finanzen.ch/nachrichten/aktien/controversial-data-company-palantir-goes-public-next-week-what-you-need-to-know-9312311		containsImage,hasImage,isNewsHost,isQuestion			"[{""url"":""https://www.fool.com/investing/2020/08/25/controversial-data-company-palantir-bashes-silicon/?utm_source=nasdaq&amp;utm_medium=feed&amp;utm_campaign=article&amp;referring_guid=1b760c94-bb87-41dd-b67d-71981e3a08d4""},{""url"":""https://g.foolcdn.com/image/?url=https%3A%2F%2Fg.foolcdn.com%2Feditorial%2Fimages%2F591939%2Fcyber-security-concept-secure-cloud-getty.jpg&amp;w=700""},{""url"":""https://www.fool.com/investing/2019/06/11/google-makes-a-big-move-salesforce-goes-bigger.aspx?utm_source=nasdaq&amp;utm_medium=feed&amp;utm_campaign=article&amp;referring_guid=1b760c94-bb87-41dd-b67d-71981e3a08d4""},{""url"":""https://g.foolcdn.com/image/?url=https%3A%2F%2Fg.foolcdn.com%2Feditorial%2Fimages%2F591939%2Fpentagon-from-the-air-source-getty.jpg&amp;w=700""},{""url"":""https://www.fool.com/knowledge-center/what-is-an-ipo-2.aspx?utm_source=nasdaq&amp;utm_medium=feed&amp;utm_campaign=article&amp;referring_guid=1b760c94-bb87-41dd-b67d-71981e3a08d4""},{""url"":""Salesforce.com""},{""url"":""https://www.fool.com/investing/2020/09/15/3-reasons-i-bought-mantech-international/?utm_source=nasdaq&amp;utm_medium=feed&amp;utm_campaign=article&amp;referring_guid=1b760c94-bb87-41dd-b67d-71981e3a08d4""},{""url"":""http://boards.fool.com/profile/TMFeldoubleu/info.aspx""},{""url"":""https://www.fool.com/investing/2020/08/25/controversial-data-company-palantir-bashes-silicon/""}]"	https://www.nasdaq.com/sites/acquia.prod/files/2019-05/0902-Q19%20Total%20Markets%20photos%20and%20gif_CC8.jpg?1789061264	1024	512			0	0			SEARCH / Competitors / ManTech	0	0	0	0	0	0	0	0	0	0	0	0	0	10600000	0	0	0	0						0.0	0.0	ex:www.nasdaq.com-41689976		Motley Fool	0	DAY	UNKNOWN									0.0	0.0	North America	United States	us	Washington, D.C.	Washington, D.C.	-77.0086669921875	38.89984130859375	0	5096154			5096154	0		0	www.nasdaq.com	1036	
https://ih.advfn.com/stock-market/NASDAQ/mantech-MANT/stock-news/83194068/current-report-filing-8-k	09/03/20 9:40:40 AM	09/03/20 3:01:00 AM	09/03/20 9:41:57 AM	MANT ManTech News	...earliest event reported): August 31, 2020  ManTech International Corporation  (Exact name of registrant as specified in its... 01  Other Events  On August 31, 2020, Mr. George J. Pedersen informed ManTech International Corporation (the Company) of his...	MANT ManTech News	UNITED STATES  SECURITIES AND EXCHANGE COMMISSION  WASHINGTON, D.C. 20549  FORM 8-K  CURRENT REPORT  Pursuant to Section 13 or 15(d)  of the Securities Exchange Act of 1934  Date of Report (Date of earliest event reported): August 31, 2020  ManTech I...	https://ih.advfn.com/	http://advfn.com/	http://ih.advfn.com/	https://ih.advfn.com/stock-market/NASDAQ/mantech-MANT/stock-news/83194068/current-report-filing-8-k	en	0	15	0	0	ONLINENEWS,ONLINENEWS_OTHER	TEXT			isNewsHost			[]		0	0			0	0			SEARCH / Competitors / ManTech	0	0	0	0	0	0	0	0	0	0	0	0	0	1251000	0	0	0	0						0.0	0.0	ex:ih.advfn.com-109257744		edgar (us regulatory)	0	DAY	MALE									0.0	0.0	Europe	United Kingdom	uk	Greater London	London	-0.1153564453125	51.50115966796875	0	266170			266170	0		0	ih.advfn.com	576	
https://www.investopedia.com/top-defense-stocks-5079150	09/24/20 4:24:12 PM	09/24/20 3:31:20 PM	09/24/20 4:26:01 PM	Top Defense Stocks for Q4 2020	...expenses and higher non-operating income compared to the year-ago quarter. ﻿﻿ ManTech International Corp.: ManTech International provides IT and technical services solutions to the U.S. federal government. It offers cyber security, software and...	Top Defense Stocks for Q4 2020	Defense stocks are best represented by the iShares U.S. Aerospace & Defense ETF ( ITA), even though ITA also includes companies in the aerospace industry that are not entirely based on defense. While it may not perfectly reflect the defense industry,...	https://www.investopedia.com/	http://investopedia.com/	http://www.investopedia.com/	https://www.investopedia.com/top-defense-stocks-5079150	en	0	80	0	5	ONLINENEWS,ONLINENEWS_OTHER	TEXT			containsImage,hasImage,isNewsHost,isEdited			"[{""url"":""https://www.investopedia.com/terms/p/price-earningsratio.asp""},{""url"":""https://www.investopedia.com/terms/f/fiscalyear.asp""},{""url"":""https://www.investopedia.com/markets/quote?tvwidgetsymbol=MRCY""},{""url"":""https://www.investopedia.com/markets/quote?tvwidgetsymbol=MANT""},{""url"":""https://www.investopedia.com/terms/e/eps.asp""},{""url"":""https://www.investopedia.com/markets/quote?tvwidgetsymbol=AAXN""},{""url"":""https://www.investopedia.com/markets/quote?tvwidgetsymbol=LDOS""},{""url"":""https://www.investopedia.com/markets/quote?tvwidgetsymbol=ITA""}]"	https://www.investopedia.com/thmb/ieQp8dPfie6q70TButx3TWHwNSU=/300x434/filters:fill(auto,1)/viet65-58b974155f9b58af5c48ac0d.jpg	0	0			0	0			SEARCH / Competitors / ManTech	0	0	0	0	0	0	0	0	0	0	0	1	0	78900000	0	0	0	0						0.0	0.0	ex:www.investopedia.com-587242213		matthew johnston	0	DAY	MALE									0.0	0.0	North America	United States	us	Washington, D.C.	Washington, D.C.	-77.0086669921875	38.89984130859375	1	48404908			48404908	0		0	www.investopedia.com	768	
http://enterpriseapps.itbusinessnet.com/2020/08/national-best-for-vets-employers-list-includes-14-fairfax-county-based-firms/	08/31/20 5:07:26 PM	08/31/20 5:04:54 PM	08/31/20 5:08:44 PM	National 'Best for Vets' Employers List Includes 14 Fairfax County-based Firms	...Information Technology  Hilton  Leidos  ManTech International Corporation  MAXIMUS  Parsons Corporation  PenFed Credit Union ... Information Technology  Hilton  Leidos  ManTech International Corporation  MAXIMUS  Parsons Corporation  PenFed Credit Union...	National 'Best for Vets' Employers List Includes 14 Fairfax County-based Firms	FAIRFAX COUNTY, Va.–(BUSINESS WIRE)–Fourteen Fairfax County-headquartered companies ranked on Military Times’ 2020 “ Best for Vets: Employers” list, an annual ranking of the nation’s best employers and organizations with military-connected employment...	http://enterpriseapps.itbusinessnet.com/	http://itbusinessnet.com/	http://enterpriseapps.itbusinessnet.com/	http://enterpriseapps.itbusinessnet.com/2020/08/national-best-for-vets-employers-list-includes-14-fairfax-county-based-firms/	en	0	30	0	5	ONLINENEWS,ONLINENEWS_OTHER	TEXT	https://uk.news.yahoo.com/national-best-vets-employers-list-201700967.html		isEdited,isNewsHost			"[{""url"":""https://cts.businesswire.com/ct/CT?id=smartlink&amp;url=https%3A%2F%2Fbestforvets2020.militarytimes.com%2F&amp;esheet=52276242&amp;newsitemid=20200831005722&amp;lan=en-US&amp;anchor=Best+for+Vets%3A+Employers&amp;index=1&amp;md5=23239eb9d9f3876ce2c16be24c""},{""url"":""https://cts.businesswire.com/ct/CT?id=smartlink&amp;url=http%3A%2F%2Fwww.novaeda.org%2F&amp;esheet=52276242&amp;newsitemid=20200831005722&amp;lan=en-US&amp;anchor=Northern+Virginia+Economic+Development+Alliance&amp;index=8&amp;md5=ca5f03441a45771a489c2201""}]"		0	0			0	0			SEARCH / Competitors / ManTech	0	0	0	0	0	0	0	0	0	0	0	0	0	3000	0	0	0	0						0.0	0.0	ex:enterpriseapps.itbusinessnet.com-190270205		aapl chart by tradingview	0	DAY	UNKNOWN									0.0	0.0	North America	United States	us	Washington, D.C.	Washington, D.C.	-77.0086669921875	38.89984130859375	0	1500			1500	0		0	enterpriseapps.itbusinessnet.com	634	
