Platform	Author	Publish Time	URL	Content	Thumbnail	Metrics
Twitter	Lou Whiteman	published on 09/17/20 at 7:43 AM	http://twitter.com/louwhiteman/status/1306559304410050563	I believe defense IT will hold up well as the Pentagon budget flattens, a reverse of what happened from 2012-15. Here's why. 3 Reasons I Bought ManTech International Stock @themotleyfool #stocks $MANT $CACI $LDOS $SAIC $BAH fool.com/investing/2020…		"2Retweets
2Twitter Likes
2.8KTwitter Followers"
Twitter	Purdue University Global	published on 09/17/20 at 2:51 PM	http://twitter.com/purdueglobal/status/1306666990740873216	Check out this awesome @Forbes article about how our programs are helping employees from top companies like @Disney and @ManTech earn their degrees. twitter.com/PurdueUnivNews…		"1Retweets
2Twitter Likes
29.8KTwitter Followers"
Twitter	Kathy Lam	published on 09/01/20 at 2:07 PM	http://twitter.com/kathlam/status/1300857713157697538	So Excited! We have @raquel_tamez @RazzledazzleC to share their strategies, experiences & the different ways they have applied #diversity to impact change in their organizations. @SHPE @ManTech @Nike @Polystream @CloudBees bit.ly/2QHbGZr pic.twitter.com/N87ChXXnK0	http://twitter.com/kathlam/status/1300857713157697538	"1Retweets
2Twitter Likes
475Twitter Followers"
Twitter	Billington Cyber	published on 09/09/20 at 2:10 PM	http://twitter.com/BillingtonCyber/status/1303757688732553216	"""When On March 18th, the perimeter in a lot of ways was gone""...but we were ready as had done some #zerotrust sprints, explains Mike Uster of @ManTech he talks on #ZeroTrust panel with @JulianaRVida @SplunkGov / Shane Barney @DHSgov / @gregory_touhill @AppgateSecurity"		"1Retweets
1Twitter Likes
1.3KTwitter Followers"
Twitter	DevOps World	published on 09/03/20 at 7:43 AM	http://twitter.com/devopsworldconf/status/1301485856277102598	Join us: In this panel, we bring together tech leaders from different backgrounds to share their strategies, experiences & the different ways they have applied #diversity to impact change in their organizations. @SHPE @ManTech @Nike @Polystream @CloudBees bit.ly/32X47Ud pic.twitter.com/DvNdBNLLCG	http://twitter.com/devopsworldconf/status/1301485856277102598	"1Retweets
1Twitter Likes
6.4KTwitter Followers"
Twitter	John J Balena	published on 09/01/20 at 12:01 PM	http://twitter.com/jjbalena/status/1300826022531735552	Join us: In this panel, we bring together tech leaders from different backgrounds to share their strategies, experiences & the different ways they have applied #diversity to impact change in their organizations. @SHPE @ManTech @Nike @Polystream @CloudBees bit.ly/32PKeOy pic.twitter.com/kZAlA0B2so	http://twitter.com/jjbalena/status/1300826022531735552	"1Retweets
1Twitter Likes
72Twitter Followers"
Twitter	Francois Dechery	published on 09/01/20 at 10:09 AM	http://twitter.com/francoisdechery/status/1300797861530042368	Join us: In this panel, we bring together tech leaders from different backgrounds to share their strategies, experiences & the different ways they have applied #diversity to impact change in their organizations. @SHPE @ManTech @Nike @Polystream @CloudBees bit.ly/3bgygkO pic.twitter.com/dcbFnID1Yd	http://twitter.com/francoisdechery/status/1300797861530042368	"1Retweets
1Twitter Likes
759Twitter Followers"
Twitter	CHAS Metro Chamber	published 4 hours ago	http://twitter.com/ChasChamber/status/1309159809527279616	This session's Leadership Discovery participants represent: @AudubonSc @BelkLucy @blackbaud @CharlestonDCA / @ManTech @GaillardCenter @CSUNIV @ChoateCo @domenergysc @EYnews Excel Real Estate - Charleston charlestonchamber.org/news/leadershi…		"1Retweets
10.1KTwitter Followers"
Twitter	The JDF	published on 09/23/20 at 5:38 PM	http://twitter.com/jdffeet/status/1308883566965723141	You’ll be amazed how we use our #Amazon #Smile #donations! Please make us your fav charity so we can keep helping families in need! Also #subscribe to our #Youtube channel! Thx! buff.ly/2FACmcp #WednesdayThoughts #WednesdayMotivation #WednesdayWisdom #HumpDay #Mantech pic.twitter.com/0gLgXlxbkm	http://twitter.com/jdffeet/status/1308883566965723141	"1Retweets
2.6KTwitter Followers"
Twitter	The JDF	published on 09/17/20 at 9:35 AM	http://twitter.com/jdffeet/status/1306587518645792768	We’re gonna’ keep giving! Please watch our quick #youtube #video & subscribe. Thx!  buff.ly/3hHaq3Z The #pandemic has kept us busy giving to those in need. #GoodNews #Mantech #GivingBack #thankfulthursday #thursdaymorning #ThursdayMotivation #ThursdayThoughts pic.twitter.com/bXUWHm9l7C	http://twitter.com/jdffeet/status/1306587518645792768	"1Retweets
2.6KTwitter Followers"
Twitter	IT Partners, INC	published on 09/14/20 at 6:58 AM	http://twitter.com/itpsapinc/status/1305460956982435840	ManTech, CACI report some shifts in business dynamic bit.ly/3iv27sP #itpsap pic.twitter.com/C2tULbzd45	http://twitter.com/itpsapinc/status/1305460956982435840	"1Retweets
4KTwitter Followers"
Twitter	Billington Cyber	published on 09/09/20 at 2:34 PM	http://twitter.com/BillingtonCyber/status/1303763671672385536	"Re: #zeroTrust, Shane Barney @DHSgov says, ""Getting control of your identity...a lot of moving pieces...that forms the basis of much of what's to come"" in his conversation with @JulianaRVida @SplunkGov / Mike Uster @ManTech / @gregory_touhill @AppgateSecurity pic.twitter.com/re30UDpGdZ"	http://twitter.com/BillingtonCyber/status/1303763671672385536	"1Retweets
1.3KTwitter Followers"
Twitter	Billington Cyber	published on 09/09/20 at 12:09 PM	http://twitter.com/BillingtonCyber/status/1303727304896581632	Impressive discussion with Kevin Cox, Program Manager, CDM, CISA @DHSgov, and Dan Smith, VP, Homeland Security Division @mantech re. their work helping agencies with cloud, mobile, and data solutions to deter future security threats. #BillingtonSummit pic.twitter.com/W9Yi1Gi011	http://twitter.com/BillingtonCyber/status/1303727304896581632	"1Retweets
1.3KTwitter Followers"
Twitter	The JDF	published on 09/09/20 at 5:42 AM	http://twitter.com/jdffeet/status/1303629820094488576	We’re at TheJDF playhouse! Take a peek at the fun b4 the giving start! Pls watch our #youtube #video & #subscribe .Thx! buff.ly/2F59jx4 #BirdiesForCharity #love #wednesdaymorning #WednesdayWorkout #WednesdayThoughts #WednesdayMotivation #WednesdayVibes #Mantech #GDIT pic.twitter.com/GiYadFIuuV	http://twitter.com/jdffeet/status/1303629820094488576	"1Retweets
2.6KTwitter Followers"
