Platform	Author	Publish Time	URL	Content	Thumbnail	Metrics
Twitter	Bridget Phillipson	published on 07/03/20 at 3:36 AM	http://twitter.com/bphillipsonMP/status/1278955801508556800	Job losses this week Upper Crust Up to 5,000 Bella Italia/Café Rouge 1,900 Airbus 1,700 EasyJet 1,300 crew, 727 pilots Accenture Up to 900 TM Lewin 600 Virgin Money 300 Every job lost is a tragedy. We need a Back to a Work Budget focused on jobs, jobs, jobs		"527Retweets
1.7KTwitter Likes
33KTwitter Followers"
Twitter	Simon Dolan #KBF	published on 07/03/20 at 4:58 AM	http://twitter.com/simondolan/status/1278976455834324992	Quick round up of major redundancies announced last month alone due to the Govt lockdown SSP 5,000 Airbus 1,700 Harrods 670 Arcadia 500 TM Lewin 600 BA 12,000 EasyJet 1,900 Rolls Royce 3,000 The Restaurant Group 3,000 Monsoon Accessorize 545 Accenture 900 Royal Mail 2,000		"402Retweets
527Twitter Likes
44KTwitter Followers"
Twitter	Howard Beckett	published on 07/07/20 at 3:51 AM	http://twitter.com/BeckettUnite/status/1280409072374710273	30,000+ job cuts in Tory Tsunami •5000 Upper Crust •700 Harrods •12000 BA •1000 Pret A Manger •200 Magellan •4700 Swissport •250 De La Rue •600 TM Lewin •900 Accenture •300 banking •2000 Royal Mail •1,700 Airbus •2,000 EasyJet We need a proper Jobs Retention Scheme		"237Retweets
413Twitter Likes
11.9KTwitter Followers"
Twitter	omar abbosh	published on 06/23/20 at 7:13 AM	http://twitter.com/omarabbosh/status/1275386427468103682	After 31 beautiful years I am finally closing my epic chapter @Accenture. I want to say thank you to all the leaders, clients and above all people of the company who taught me so much each and every day. And am also excited to announce what chapter 2 will bring shortly ..		"10Retweets
598Twitter Likes
6.3KTwitter Followers"
Twitter	Amazing Polly is FREE and will act like it	published on 07/11/20 at 11:46 AM	http://twitter.com/99freemind/status/1281978143939670016	"The swamp got involved w Wayfair out of the blue in 2019. Why? Accenture, for example, is paired with Bill Gates on ID2020. Bain & Gates do business. A Maxwell worked for McKinsey and even Vox says ""McKinsey infiltrated global health."" pic.twitter.com/kd0p2IXm0E"	http://pbs.twimg.com/media/Ecp_17uWkAE3Wy4.png	"232Retweets
286Twitter Likes
96.8KTwitter Followers"
Facebook	Golden State Warriors	published on 07/10/20 at 2:00 PM	http://www.facebook.com/permalink.php?id=47657117525&story_fbid=10159043922297526	...competed virtually in the 6th annual Warriors Math Hoops tournament, presented by Accenture US Students faced off by playing board games combining basketball and math...	https://scontent-frx5-1.xx.fbcdn.net/v/t15.5256-10/107868936_308523186986536_184353174969132252_n.jpg?_nc_cat=100&_nc_sid=ad6a45&_nc_ohc=sepT8GnDuI0AX9yZOZ3&_nc_ht=scontent-frx5-1.xx&oh=5e260e952d7ed1fdf9cb89d1d774b1fb&oe=5F3004D7	"12Facebook Shares
470Facebook Likes
10Comments
11.6MFacebook Followers"
Twitter	Lisa Abramowicz	published on 07/21/20 at 9:28 AM	http://twitter.com/lisaabramowicz1/status/1285567366244585473	About 61% of bank executives said they don’t expect all of their employees to be called back to the office, and more than 40% said they plan to reduce their real estate footprint going forward: Accenture survey bloomberg.com/news/articles/…		"128Retweets
260Twitter Likes
132KTwitter Followers"
Twitter	Antonio Grasso	published on 07/15/20 at 6:00 PM	http://twitter.com/antgrasso/status/1283521755533934593	Consulting firm @Accenture reports that AI could double annual economic growth rates by 2035 by “changing the nature of work and spawning a new relationship between man and machine.” Link >> bit.ly/32bQVfe @Datamation via @antgrasso #AI #ML #DigitalTransformation pic.twitter.com/2DtPPnZ748	http://pbs.twimg.com/media/Ec_8PA8WAAEZ_6J.png	"142Retweets
217Twitter Likes
148.4KTwitter Followers"
Twitter	Antonio Grasso	published on 07/08/20 at 10:00 PM	http://twitter.com/antgrasso/status/1281045493284507650	An AI roadmap to maximize the value of AI. A start-to-end model to help realize and multiply the value from AI projects. By @Accenture. Link > accntu.re/2VK2Htf via @antgrasso @antgrasso_IT #AI #DigitalStrategy #DigitalTransformation pic.twitter.com/DHHFTsbiSm	http://pbs.twimg.com/media/EccwFZzWsAEIjui.jpg	"139Retweets
184Twitter Likes
148.2KTwitter Followers"
Twitter	Julie Sweet	published on 06/26/20 at 2:00 PM	http://twitter.com/JulieSweet/status/1276576057915777027	Congratulations, leaders @Accenture! It was a pleasure to join you last week for your innovative managing director integration seminar and leadership development festival. I can’t wait to see what you accomplish for our people, clients and communities. pic.twitter.com/Eczot1z0PB	http://pbs.twimg.com/media/EbdO-PFXYAAnB6R.jpg	"15Retweets
294Twitter Likes
19KTwitter Followers"
