Platform	Author	Publish Time	URL	Content	Thumbnail	Metrics
Twitter	Mass for Shut-ins (is a podcast)	published on 09/03/20 at 3:25 PM	http://twitter.com/edburmila/status/1301602342953943043	Wow I can’t believe you’ve accomplished so much at 32, oh your mom is a full professor at Brandeis and your dad is a VP at Booz Allen ok		"266Retweets
6.5KTwitter Likes
28KTwitter Followers"
Twitter	Public Citizen	published on 09/15/20 at 9:48 AM	http://twitter.com/Public_Citizen/status/1305866199201394689	Here are some companies taking big money from ICE: GEO Group: $2.2B CoreCivic: $879M Deloitte: $249M Booz Allen Hamilton: $148M Dell: $52.9M Sprint: $43.1M US Bancorp: $37.5M McKinsey & Co: $26.3M Microsoft: $14.6M Pass it on. readsludge.com/2019/07/30/ice…		"506Retweets
554Twitter Likes
309.4KTwitter Followers"
Twitter	Taylor Hudak	published on 09/13/20 at 2:25 PM	http://twitter.com/_taylorhudak/status/1305211131674464256	The LinkedIn profile under my name that includes employment with Booz Allen Hamilton is NOT me. I have never worked for Booz Allen Hamilton or any defense contractor. The profile also includes a professional career dating back to a time when I was a teenager in high school.		"87Retweets
166Twitter Likes
7.3KTwitter Followers"
Twitter	Antonio Grasso	published on 09/03/20 at 12:00 PM	http://twitter.com/antgrasso/status/1301550707011661826	Through Analytics, companies can reduce overload, attrition, and other costs of collaboration — and increase their rewards. Source @mitsmr @BoozAllen Link >>> bit.ly/2WZbTdh via @antgrasso @antgrasso_IT #BigData #Analytics #DigitalStrategy pic.twitter.com/xYNNt8vTbH	http://twitter.com/antgrasso/status/1301550707011661826	"79Retweets
111Twitter Likes
158.9KTwitter Followers"
Twitter	Suzie Dawson	published on 09/02/20 at 8:04 PM	http://twitter.com/Suzi3D/status/1301310170375630850	1. Weapons manufacturers openly hold annual conferences about the development of this technology - and have for years. Such as Booz Allen Hamilton: pic.twitter.com/IqAcQoqgix	http://twitter.com/Suzi3D/status/1301310170375630850	"58Retweets
102Twitter Likes
32.1KTwitter Followers"
Twitter	Kirk Borne	published on 09/07/20 at 12:47 AM	http://twitter.com/KirkDBorne/status/1302830901827600385	The Power of #DataScience and #AI to inform & ignite social good opportunities and to inspire & drive #innovation: dy.si/oeydWg via @BoozAllen —————— #MachineLearning #BigData #OpenData #IoT #IoTPL #DataScientists #Data4Good #SDGs #AI4good #DataSciBowl #Observability pic.twitter.com/j53QaOlioD	http://twitter.com/KirkDBorne/status/1302830901827600385	"59Retweets
74Twitter Likes
268KTwitter Followers"
Twitter	Kirk Borne	published on 09/13/20 at 5:55 PM	http://twitter.com/KirkDBorne/status/1305263761276706816	The Power of #DataScience and #AI to inform & ignite social good opportunities and to inspire & drive #innovation: dy.si/oeydWg via @BoozAllen —————— #MachineLearning #BigData #OpenData #IoT #IoTPL #DataScientists #Data4Good #SDGs #AI4good #DataSciBowl #Observability pic.twitter.com/zVD40ZxIf6	http://twitter.com/KirkDBorne/status/1305263761276706816	"43Retweets
55Twitter Likes
268KTwitter Followers"
Twitter	Rodney Caston	published on 09/06/20 at 12:05 PM	http://twitter.com/RodneyCaston/status/1302638966622031874	2012: Quits Dell Job, takes pay cut for Booz Allen 2013: Continues to steal documents (2m+) 2013: [3/12] Clapper appears before select committee, Ed claims this is when he first got the idea to steal and leak documents. I just assume Ed has amnesia about the previous thefts. pic.twitter.com/3UorQZMPY7	http://twitter.com/RodneyCaston/status/1302638966622031874	"19Retweets
59Twitter Likes
8.2KTwitter Followers"
Twitter	Kirk Borne	published on 09/01/20 at 9:01 AM	http://twitter.com/KirkDBorne/status/1300780697678831628	I'm looking forward to speaking 9/15 at @Cognilytica FREE virtual conference #DataAIConf, with 50+ speakers & hundreds of sessions on-demand. Get more info and REGISTER here: dataconf.cognilytica.com/6ear ———— #BigData #DataScience #MachineLearning #DataStrategy #AIStrategy @BoozAllen pic.twitter.com/aJc6JzhhGJ	http://twitter.com/KirkDBorne/status/1300780697678831628	"28Retweets
30Twitter Likes
266.9KTwitter Followers"
Twitter	Rubiscape	published on 09/01/20 at 1:15 AM	http://twitter.com/rubiscape/status/1300663580304592896	The Power of #DataScience and #AI to inform & ignite social good opportunities and to inspire & drive #innovation: bit.ly/3l5xiMT via @BoozAllen #MachineLearning #BigData #OpenData #IoT #IoTPL #DataScientists #Data4Good #SDGs #AI4good #DataSciBowl #Observability pic.twitter.com/xQE2TpJmFf	http://twitter.com/rubiscape/status/1300663580304592896	"25Retweets
24Twitter Likes
509Twitter Followers"
Twitter	Kirk Borne	published on 08/29/20 at 9:37 PM	http://twitter.com/KirkDBorne/status/1299883787220729857	"I'm honored to be one of 50+ speakers at @Cognilytica FREE virtual conference #DataAIConf 9/14-9/18. Join me 9/15 as I present ""Intelligent Data Understanding for #AI"". Register: dataconf.cognilytica.com/6ear — #BigData #DataScience #MachineLearning #DataStrategy #AIStrategy @BoozAllen pic.twitter.com/Cx7P3hRjbA"	http://twitter.com/KirkDBorne/status/1299883787220729857	"20Retweets
21Twitter Likes
266.8KTwitter Followers"
