url	indexed	published	search_indexed	title_snippet	content_snippet	title	content	root_url	domain_url	host_url	parent_url	lang	porn_level	fluency_level	spam_level	sentiment	source_type	post_type	cluster_id	meta_cluster_id	tags_internal	tags_marking	tags_customer	entity_urls	images.url	images.width	images.height	images.legend	videos.url	videos.width	videos.height	videos.legend	pagemonitoring_sitemon_siteid	matched_profile	article_extended_attributes.facebook_shares	article_extended_attributes.facebook_likes	article_extended_attributes.twitter_retweets	article_extended_attributes.url_views	article_extended_attributes.pinterest_likes	article_extended_attributes.pinterest_pins	article_extended_attributes.pinterest_repins	article_extended_attributes.youtube_views	article_extended_attributes.youtube_likes	article_extended_attributes.youtube_dislikes	article_extended_attributes.instagram_likes	article_extended_attributes.twitter_shares	article_extended_attributes.num_comments	source_extended_attributes.alexa_pageviews	source_extended_attributes.facebook_followers	source_extended_attributes.twitter_followers	source_extended_attributes.instagram_followers	source_extended_attributes.pinterest_followers	extra_article_attributes.world_data.continent	extra_article_attributes.world_data.country	extra_article_attributes.world_data.country_code	extra_article_attributes.world_data.region	extra_article_attributes.world_data.city	extra_article_attributes.world_data.longitude	extra_article_attributes.world_data.latitude	extra_author_attributes.id	extra_author_attributes.type	extra_author_attributes.name	extra_author_attributes.birthdate.date	extra_author_attributes.birthdate.resolution	extra_author_attributes.gender	extra_author_attributes.image_url	extra_author_attributes.short_name	extra_author_attributes.url	extra_author_attributes.world_data.continent	extra_author_attributes.world_data.country	extra_author_attributes.world_data.country_code	extra_author_attributes.world_data.region	extra_author_attributes.world_data.city	extra_author_attributes.world_data.longitude	extra_author_attributes.world_data.latitude	extra_source_attributes.world_data.continent	extra_source_attributes.world_data.country	extra_source_attributes.world_data.country_code	extra_source_attributes.world_data.region	extra_source_attributes.world_data.city	extra_source_attributes.world_data.longitude	extra_source_attributes.world_data.latitude	engagement	reach	provider	generator.type	source_extended_attributes.alexa_unique_visitors	article_extended_attributes.twitter_likes	extra_author_attributes.description	article_extended_attributes.linkedin_shares	extra_source_attributes.name	word_count	rating
http://qatar.jobzed.com/quality-engineer-runways-nsr-associates/	11/05/20 4:35:24 AM	11/04/20 8:02:21 AM	11/05/20 5:53:40 AM	Quality Engineer – Runways | NSR Associates	...on the job link for more details.  Posted 1 hour ago  Calling All IT Communications Specialists! Deployed!  Company: CACI  Our employees value the flexibility at CACI that allows them to balance quality work and their personal lives. What You’ll Get...	Quality Engineer – Runways | NSR Associates	Quality Engineer – Runways | NSR Associates  Are you a Quality Engineer / Inspector that has runway pavements experience on an Airport in the GCC? Are you a good strong communicator with civil experience our client is seeking ? If you are based in Qa...	http://qatar.jobzed.com/	http://jobzed.com/	http://qatar.jobzed.com/	http://qatar.jobzed.com/quality-engineer-runways-nsr-associates/	en	0	40	34	0	BLOG,BLOG_OTHER	TEXT			isEdited,isQuestion			"[{""url"":""http://www.jobzed.com/job.jpg?i=quality-engineer-8211-runways--nsr-associates""},{""url"":""https://qa.indeed.com/viewjob?jk=4ba93db00d451815&amp;qd=SYISDae7fqEwo4yHefnTPsmv09bV0OKB1P457A1DivOXIw1l7-zEIkZCslQIv71fZ_ov4_fbdTLLzcJ22zXyFwp9EFqnkiAs554yu8kiZ0TcAkZIIRwpdz62aqrtHdLN&amp;indpubnum=7864015140853595&amp;chnl=JOBZED&amp;atk=1ehd2fk97ss9a8""},{""url"":""https://qa.indeed.com/viewjob?jk=d1db4172c38cb632&amp;qd=SYISDae7fqEwo4yHefnTPsmv09bV0OKB1P457A1DivOXIw1l7-zEIkZCslQIv71fZ_ov4_fbdTLLzcJ22zXyFwp9EFqnkiAs554yu8kiZ0TcAkZIIRwpdz62aqrtHdLN&amp;indpubnum=7864015140853595&amp;chnl=JOBZED&amp;atk=1ehd2fk97ss9a8""},{""url"":""https://qa.indeed.com/viewjob?jk=7d0df4649ecba878&amp;qd=SYISDae7fqEwo4yHefnTPsmv09bV0OKB1P457A1DivOXIw1l7-zEIkZCslQIv71fZ_ov4_fbdTLLzcJ22zXyFwp9EFqnkiAs554yu8kiZ0TcAkZIIRwpdz62aqrtHdLN&amp;indpubnum=7864015140853595&amp;chnl=JOBZED&amp;atk=1ehd2fk97ss9a8""},{""url"":""https://qa.indeed.com/viewjob?jk=40b63a3bbb3983c7&amp;qd=SYISDae7fqEwo4yHefnTPsmv09bV0OKB1P457A1DivOXIw1l7-zEIkZCslQIv71fZ_ov4_fbdTLLzcJ22zXyFwp9EFqnkiAs554yu8kiZ0TcAkZIIRwpdz62aqrtHdLN&amp;indpubnum=7864015140853595&amp;chnl=JOBZED&amp;atk=1ehd2fk97ss9a8""},{""url"":""https://qa.indeed.com/viewjob?jk=d7e056176447bd61&amp;qd=SYISDae7fqEwo4yHefnTPsmv09bV0OKB1P457A1DivOXIw1l7-zEIkZCslQIv71fZ_ov4_fbdTLLzcJ22zXyFwp9EFqnkiAs554yu8kiZ0TcAkZIIRwpdz62aqrtHdLN&amp;indpubnum=7864015140853595&amp;chnl=JOBZED&amp;atk=1ehd2fk97ss9a8""}]"		0	0			0	0			SEARCH / Competitors / CACI	0	0	0	0	0	0	0	0	0	0	0	0	0	17000	0	0	0	0						0.0	0.0	ex:qatar.jobzed.com-3267670		jobs	0	DAY	UNKNOWN									0.0	0.0	Africa	South Africa	za	Gauteng	Centurion, Gauteng	28.30078125	-25.927734375	0	17000			17000	0		0	qatar.jobzed.com	369	
http://svdaily.com/caci-awarded-450-million-blanket-purchase-agreement-to-provide-desktop-support-services-to-the-u-s-department-of-homeland-security/	11/15/20 12:11:21 PM	11/15/20 8:30:00 AM	11/15/20 12:13:31 PM	CACI Awarded $450 Million Blanket Purchase Agreement to Provide Desktop Support Services to the U.S...	...Va.--(BUSINESS WIRE)--CACI International Inc ( NYSE: CACI) announced today that it has been awarded a five-year, $450 ... business, CACI will provide enterprise technology to sustain and administer IT systems. Support provided by CACI will...	CACI Awarded $450 Million Blanket Purchase Agreement to Provide Desktop Support Services to the U.S. Department of Homeland Security – Silicon Valley Daily	ARLINGTON, Va.--(BUSINESS WIRE)--CACI International Inc ( NYSE: CACI) announced today that it has been awarded a five-year, $450 million single-award Blanket Purchase Agreement (BPA) to provide Desktop Support Services to the Department of Homeland S...	http://svdaily.com/	http://svdaily.com/	http://svdaily.com/	http://svdaily.com/caci-awarded-450-million-blanket-purchase-agreement-to-provide-desktop-support-services-to-the-u-s-department-of-homeland-security/	en	0	55	45	0	BLOG,BLOG_OTHER	TEXT			containsImage,hasImage,isEdited			"[{""url"":""https://mms.businesswire.com/media/20200915005260/en/209376/5/CACI_New_Logo.jpg""},{""url"":""https://cts.businesswire.com/ct/CT?id=smartlink&amp;url=http%3A%2F%2Fwww.caci.com&amp;esheet=52286305&amp;newsitemid=20200915005260&amp;lan=en-US&amp;anchor=www.caci.com&amp;index=3&amp;md5=7143dff8734c164b710fcaf888ee083f""},{""url"":""https://cts.businesswire.com/ct/CT?id=smartlink&amp;url=https%3A%2F%2Fwww.nyse.com%2Fquote%2FXNYS%3ACACI&amp;esheet=52286305&amp;newsitemid=20200915005260&amp;lan=en-US&amp;anchor=NYSE%3A+CACI&amp;index=1&amp;md5=d285bdf8cdc5f99239ace3c25f31b9b9""},{""url"":""https://cts.businesswire.com/ct/CT?id=smartlink&amp;url=http%3A%2F%2Fwww.caci.com%2Fabout%2Fbios%2Fmengucci.shtml&amp;esheet=52286305&amp;newsitemid=20200915005260&amp;lan=en-US&amp;anchor=John+Mengucci&amp;index=2&amp;md5=18cfc509f9e465885b5141c9930b5c48""},{""url"":""www.caci.com""}]"	https://mms.businesswire.com/media/20200915005260/en/209376/21/CACI_New_Logo.jpg	150	150			0	0			SEARCH / Competitors / CACI	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0						0.0	0.0	ex:svdaily.com-571980005		business wire	0	DAY	UNKNOWN									0.0	0.0	North America	United States	us	Washington, D.C.	Washington, D.C.	-77.0086669921875	38.89984130859375	0	10000			10000	0		0	svdaily.com	377	
https://seekingalpha.com/article/4374729-palantir-technologies-closes-in-on-nyse-direct-listing	11/16/20 2:45:00 PM	11/16/20 2:34:42 PM	11/16/20 2:46:59 PM	Palantir Technologies Closes In On Nyse Direct Listing (private:pltr)	...MSFT)  Amazon ( AMZN)  CACI International ( CACI)  Atkins  Management says it is 'fundamentally competing with the internal ... Snowflake ( SNOW) also targets the enterprise IT market through integrating various data silos, so Palantir appears to be in...	Palantir Technologies Closes In On Nyse Direct Listing (private:pltr)	Palantir Technologies has filed an updated S-1 for its upcoming direct listing transaction.  The firm provides integrated database software solutions to governments and enterprises globally.  Morgan Stanley is among the advisors to the direct listing...	https://seekingalpha.com/	http://seekingalpha.com/	http://seekingalpha.com/	https://seekingalpha.com/article/4374729-palantir-technologies-closes-in-on-nyse-direct-listing	en	0	45	30	0	BLOG,BLOG_OTHER	TEXT			containsImage,hasImage,isEdited			"[{""url"":""https://seekingalpha.com/symbol/MSFT""},{""url"":""https://seekingalpha.com/symbol/BAESF""},{""url"":""https://palantir.events/PalantirInvestorDay""},{""url"":""https://seekingalpha.com/symbol/PLTR""},{""url"":""https://seekingalpha.com/embed/10904""},{""url"":""https://seekingalpha.com/symbol/LDOS""},{""url"":""https://seekingalpha.com/symbol/IBM""},{""url"":""https://seekingalpha.com/symbol/GD""},{""url"":""https://seekingalpha.com/symbol/CACI""},{""url"":""https://seekingalpha.com/symbol/AMZN""},{""url"":""https://seekingalpha.com/symbol/ACN""},{""url"":""https://www.marketwatch.com/press-release/defense-it-spending-market-size-2020-global-growth-trends-impact-of-covid-19-on-industryindustry-analysis-key-players-and-forecast-2020-2026-2020-06-12""},{""url"":""https://seekingalpha.com/symbol/SNOW""},{""url"":""Amazon.com""},{""url"":""https://docs.google.com/document/d/e/2PACX-1vSZznfAWEmORX1DsbGGfhGvl0EO9_3MNEjUpENkqqkiBqgzK8_Ts3GezxarHYXR6MilPbjCughf542K/pub""},{""url"":""https://seekingalpha.com/symbol/ORCL""},{""url"":""https://seekingalpha.com/symbol/SAP""},{""url"":""https://www.sec.gov/Archives/edgar/data/1321655/000119312520244936/d904406ds1a.htm""}]"	https://static2.seekingalpha.com/images/marketing_images/tech_science_space/information_security.jpeg	1000	750			0	0			SEARCH / Competitors / CACI,PANEL / {1909056|{0}}	0	0	0	0	0	0	0	0	0	0	0	2	0	52400000	0	0	0	0						0.0	0.0	ex:seekingalpha.com-314681582		donovan jones	0	DAY	MALE									0.0	0.0	North America	United States	us	Washington, D.C.	Washington, D.C.	-77.0086669921875	38.89984130859375	2	13825858			13825858	0		0	seekingalpha.com	1269	
https://techtaffy.tumblr.com/post/628226600956280832/caci-awarded-152m-department-of-veteran-affairs	11/03/20 10:33:44 AM	11/03/20 8:59:34 AM	11/03/20 10:35:16 AM	CACI awarded $152M Department of Veteran Affairs enterprise IT modernization contract	CACI awarded $152M Department of Veteran Affairs enterprise IT modernization contract “CACI has been awarded a six-year single-award contract, with a ceiling value of more than $152 million, by the...	CACI awarded $152M Department of Veteran Affairs enterprise IT modernization contract	CACI awarded $152M Department of Veteran Affairs enterprise IT modernization contract “CACI has been awarded a six-year single-award contract, with a ceiling value of more than $152 million, by the Department of Veteran Affairs, to provide enterprise...	https://techtaffy.tumblr.com/	http://tumblr.com/	http://techtaffy.tumblr.com/	https://techtaffy.tumblr.com/post/628226600956280832/caci-awarded-152m-department-of-veteran-affairs	en	0	100	7	0	BLOG,BLOG_OTHER	TEXT			isEdited			[]		0	0			0	0			SEARCH / Competitors / CACI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0.0	0.0	ex:techtaffy.tumblr.com-1474966870		techtaffy	0	DAY	UNKNOWN									0.0	0.0	North America	United States	us	Washington, D.C.	Washington, D.C.	-77.0086669921875	38.89984130859375	0	0			0	0		0	techtaffy.tumblr.com	45	
https://medium.com/@CIOReview/top-homeland-security-companies-1c223bca3cbb	11/09/20 3:46:03 AM	11/09/20 12:54:00 AM	11/09/20 3:48:29 AM	Top Homeland Security Solution Companies	...CyberArk Software General Dynamics Information Technology Southwest Antennas Stealth Power ACCELLION AlertSense ARMADA ... privileged accounts  General Dynamics Information Technology  HeadquartersHalifax, VA  ManagementAmy Gilliland...	Top Homeland Security Solution Companies	Top Homeland Security Companies  List of Top Homeland Security Companies  With the rise of cyberthreats and other dynamic security challenges, the The department of homeland security (DHS) is overhaul outdated systems and accelerate its own digital t...	https://medium.com/	http://medium.com/	http://medium.com/	https://medium.com/@CIOReview/top-homeland-security-companies-1c223bca3cbb	en	0	85	9	0	BLOG,BLOG_OTHER	TEXT			containsImage,hasImage,isEdited			"[{""url"":""https://homeland-security.cioreview.com/vendor/2019/cyberark_software""},{""url"":""https://homeland-security.cioreview.com/vendor/2019/general_dynamics_information_technology""},{""url"":""https://miro.medium.com/max/60/0""},{""url"":""https://homeland-security.cioreview.com/vendors/top-homeland-security-solution-companies.html""},{""url"":""https://miro.medium.com/max/814/0""},{""url"":""https://miro.medium.com/max/444/0""},{""url"":""https://homeland-security.cioreview.com/vendor/2019/southwest_antennas""},{""url"":""https://homeland-security.cioreview.com/vendor/2019/cpi""},{""url"":""https://homeland-security.cioreview.com/vendor/2019/stealth_power""}]"	https://miro.medium.com/max/444/0*L490yQF2qLuQSt6e.jpg	222	72			0	0			SEARCH / Competitors / CACI	0	0	0	0	0	0	0	0	0	0	0	0	0	439000000	0	0	0	0						0.0	0.0	ex:medium.com-1443562143		CIOReview	0	DAY	UNKNOWN									0.0	0.0	North America	United States	us	Washington, D.C.	Washington, D.C.	-77.0086669921875	38.89984130859375	0	195982144			195982144	0		0	medium.com	2389	
https://fool.whotrades.com/blog/43665777974	11/17/20 7:25:21 AM	11/17/20 6:46:00 AM	11/17/20 7:26:41 AM	3 Reasons I Bought ManTech International Stock	The Motley Fool has no position in any of the stocks mentioned. The Motley Fool has a .  CACI International (CACI) Down 0.7% Since Last Earnings Report: Can It Rebound?  It has been about a month since the last earnings report for CACI...	3 Reasons I Bought ManTech International Stock	Defense stocks have underperformed in 2020 as investors fret  about the upcoming U.S. election and the pandemic, and their potential ramifications for defense contractors .  I think those fears are overblown, which has created some buying opportuniti...	https://fool.whotrades.com/blog/	http://whotrades.com/	http://fool.whotrades.com/	https://fool.whotrades.com/blog/43665777974	en	0	100	20	0	BLOG,BLOG_OTHER	TEXT			containsImage,hasImage,isEdited,isNewsHost,isQuestion			"[{""url"":""https://www.fool.com/investing/general/2015/02/18/mantech-international-sees-sales-plunge-hopes-for.aspx?utm_source=whotrades&amp;utm_medium=feed&amp;utm_campaign=article&amp;referring_guid=7cd57bda-60fd-4277-81e3-be10e4e51f73""},{""url"":""https://www.fool.com/knowledge-center/what-is-enterprise-value-and-why-is-it-important.aspx?utm_source=whotrades&amp;utm_medium=feed&amp;utm_campaign=article&amp;referring_guid=7cd57bda-60fd-4277-81e3-be10e4e51f73""},{""url"":""https://www.fool.com/investing/2020/02/11/this-defense-company-just-announced-its-second-1-b.aspx?utm_source=whotrades&amp;utm_medium=feed&amp;utm_campaign=article&amp;referring_guid=7cd57bda-60fd-4277-81e3-be10e4e51f73""},{""url"":""https://www.fool.com/investing/2020/02/13/saic-bets-on-the-cloud-with-12b-unisys-deal.aspx?utm_source=whotrades&amp;utm_medium=feed&amp;utm_campaign=article&amp;referring_guid=7cd57bda-60fd-4277-81e3-be10e4e51f73""},{""url"":""https://www.fool.com/investing/2020/11/11/biden-says-he-isnt-planning-major-defense-cuts/?utm_source=whotrades&amp;utm_medium=feed&amp;utm_campaign=article&amp;referring_guid=7cd57bda-60fd-4277-81e3-be10e4e51f73""},{""url"":""https://www.fool.com/investing/stock-market/market-sectors/industrials/defense-stocks/?utm_source=whotrades&amp;utm_medium=feed&amp;utm_campaign=article&amp;referring_guid=7cd57bda-60fd-4277-81e3-be10e4e51f73""},{""url"":""http://boards.fool.com/profile/TMFeldoubleu/info.aspx""},{""url"":""https://www.fool.com/investing/2020/05/11/how-coronavirus-spending-cuts-could-impact-defense.aspx?utm_source=whotrades&amp;utm_medium=feed&amp;utm_campaign=article&amp;referring_guid=7cd57bda-60fd-4277-81e3-be10e4e51f73""}]"	https://fool.whotrades.com/blog/43665777974/snapshot/default	1200	630			0	0			SEARCH / Competitors / CACI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0.0	0.0	ex:fool.whotrades.com-1486712493		zero hedge	0	DAY	UNKNOWN									0.0	0.0	North America	United States	us	Washington, D.C.	Washington, D.C.	-77.0086669921875	38.89984130859375	0	0			0	0		0	fool.whotrades.com	1214	
https://momentmag.com/michael-ginsburg-va-the-democratic-agenda-is-unpopular/	11/09/20 6:20:48 PM	11/09/20 6:16:56 PM	11/09/20 6:22:06 PM	Michael Ginsburg (VA): 'The Democratic Agenda is Unpopular'	...aerospace engineer. He is vice president and deputy general counsel for CACI International, an information technology company that contracts with federal defense and intelligence agencies. He is a leader of the Suburban Virginia Coalition, which...	Michael Ginsburg (VA): 'The Democratic Agenda is Unpopular'	Michael Ginsburg (VA): ‘The Democratic Agenda is Unpopular’  Michael Ginsberg (45), a Republican from Centerville,  VA is an attorney and aerospace engineer. He is vice president and deputy general counsel for CACI International, an information techn...	https://momentmag.com/	http://momentmag.com/	http://momentmag.com/	https://momentmag.com/michael-ginsburg-va-the-democratic-agenda-is-unpopular/	en	0	100	1	0	BLOG,BLOG_OTHER	TEXT			isEdited,isQuestion			"[{""url"":""https://momentmag.com/jpvp/#virginia""}]"		0	0			0	0			SEARCH / Competitors / CACI	0	0	0	0	0	0	0	0	0	0	0	0	0	20000	0	0	0	0						0.0	0.0	ex:momentmag.com-1068531200		moment	0	DAY	UNKNOWN									0.0	0.0	North America	United States	us	Washington, D.C.	Washington, D.C.	-77.0086669921875	38.89984130859375	0	20000			20000	0		0	momentmag.com	514	
https://multilingual.com/vendors-and-organizations/comprehensive-language-center-inc/	11/04/20 5:46:37 PM	11/04/20 5:46:37 PM	11/04/20 5:48:32 PM	Comprehensive Language Center, Inc.	The Language Center was originally founded in 1980 as a division of CACI International Inc., an information technology products and services company, and provided translation, graphic design and consulting services in Middle Eastern languages. In...	Comprehensive Language Center, Inc.	The Language Center was originally founded in 1980 as a division of CACI International Inc., an information technology products and services company, and provided translation, graphic design and consulting services in Middle Eastern languages. In 198...	https://multilingual.com/	http://multilingual.com/	http://multilingual.com/	https://multilingual.com/vendors-and-organizations/comprehensive-language-center-inc/	en	0	100	9	0	BLOG,BLOG_OTHER	TEXT			isEdited			[]		0	0			0	0			SEARCH / Competitors / CACI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0.0	0.0	ex:multilingual.com-669965707		pkonstas@comprehensivelc.com	0	DAY	UNKNOWN									0.0	0.0	North America	United States	us	Washington, D.C.	Washington, D.C.	-77.0086669921875	38.89984130859375	0	0			0	0		0	multilingual.com	81	
https://intelligencecommunitynews.com/caci-wins-450m-dhs-bpa/	11/16/20 7:43:58 AM	11/16/20 7:41:53 AM	11/16/20 7:46:10 AM	CACI wins $450M DHS BPA	  Under the contract, which represents an expansion of previous business, CACI will provide enterprise technology to sustain and administer IT systems. Support provided by CACI will increase productivity of end users, engineers, mission support...	CACI wins $450M DHS BPA	On September 15, Arlington, VA-based CACI International Inc announced that it has been awarded a five-year, $450 million single-award Blanket Purchase Agreement (BPA) to provide Desktop Support Services to the Department of Homeland Security (DHS) He...	https://intelligencecommunitynews.com/	http://intelligencecommunitynews.com/	http://intelligencecommunitynews.com/	https://intelligencecommunitynews.com/caci-wins-450m-dhs-bpa/	en	0	80	8	5	BLOG,BLOG_OTHER	TEXT			containsImage,hasImage,isEdited			"[{""url"":""http://caci.com""}]"	https://intelligencecommunitynews.com/wp-content/uploads/2020/04/computer-2.jpg	800	530			0	0			SEARCH / Competitors / CACI	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0						0.0	0.0	ex:intelligencecommunitynews.com-45505688		loren blinde	0	DAY	FEMALE									0.0	0.0	Europe	United Kingdom	uk	Cambridgeshire	March, Cambridgeshire	0.0933837890625	52.55035400390625	0	5000			5000	0		0	intelligencecommunitynews.com	145	
http://www.shoah.org.uk/2020/11/05/war-on-terror-zionist-profiteers/	11/05/20 7:45:55 PM	11/05/20 7:40:57 PM	11/05/20 7:47:11 PM	War on Terror: Zionist Profiteers	...Arlington, Virginia based CACI International has reincarnated itself under various names since it was founded in 1962 by ... Europe. According to its website, it provides ‘IT and network solutions’ in an era of ‘defense, intelligence and...	War on Terror: Zionist Profiteers	War on Terror: Israeli Profiteers  The Arlington, Virginia based CACI International has reincarnated itself under various names since it was founded in 1962 by Harry Markowitz, the 1990 Nobel laureate for Economics. [1]  Presently, it employs 9500 in...	http://www.shoah.org.uk/	http://shoah.org.uk/	http://www.shoah.org.uk/	http://www.shoah.org.uk/2020/11/05/war-on-terror-zionist-profiteers/	en	0	100	13	0	BLOG,BLOG_OTHER	TEXT			containsImage,containsVideo,hasImage,isEdited			"[{""url"":""http://www.facebook.com/plugins/like.php?href=http%3A%2F%2Fwww.shoah.org.uk%2F2020%2F09%2F05%2Fwar-on-terror-zionist-profiteers%2F&amp;layout=button_count&amp;show_faces=true&amp;width=280&amp;action=recommend&amp;colorscheme=light&amp;height=30""},{""url"":""https://powerbase.info/index.php?title=J.P._London&amp;action=edit&amp;redlink=1""},{""url"":""https://www.youtube.com/embed/PKuhVhNOhqg?feature=oembed""},{""url"":""http://vivociti.com/component/option""},{""url"":""https://powerbase.info/index.php/CACI_International#cite_note-6""},{""url"":""https://powerbase.info/index.php/Shaul_Mofaz""},{""url"":""https://thegharqadtree.com/war-on-terror-israeli-profiteers/#respond""},{""url"":""https://secureservercdn.net/198.71.233.204/y39.656.myftpupload.com/wp-content/uploads/imageedit_24_5878452965.jpg""},{""url"":""https://powerbase.info/index.php?title=Harry_Markowitz&amp;action=edit&amp;redlink=1""},{""url"":""https://powerbase.info/index.php/CACI_International#cite_note-4""},{""url"":""https://powerbase.info/index.php/CACI_International#cite_note-2""},{""url"":""https://powerbase.info/index.php/CACI_International#cite_note-3""},{""url"":""https://powerbase.info/index.php/CACI_International#cite_note-1""}]"	https://secureservercdn.net/198.71.233.204/y39.656.myftpupload.com/wp-content/uploads/imageedit_24_5878452965.jpg	256	172		http://www.youtube.com/watch?v=XYex0omXpPU	0	0			SEARCH / Competitors / CACI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0.0	0.0	ex:www.shoah.org.uk-0			0	DAY	UNKNOWN									0.0	0.0	Europe	United Kingdom	uk	Greater London	London	-0.1153564453125	51.50115966796875	0	0			0	0		0	www.shoah.org.uk	158	
