Platform	Author	Publish Time	URL	Content	Thumbnail	Metrics
Twitter	USGIF	published on 11/05/20 at 4:23 PM	http://twitter.com/USGIF/status/1324462292222779397	Don’t miss the chance to join percipient.ai, @EarthcubeEC3 @Esri @Maxar @Guidehouse @presagis @RiversideRsch @amentum_corp @CACIIntl @GlobeBuilding, and @UrsaSpace by sponsoring the USGIF GEOINT Community Forum Nov 16-18. Learn more now. usgif.org/events/GEOINTC… #GCFAIML pic.twitter.com/fk7TP7jMlb	http://twitter.com/USGIF/status/1324462292222779397	"4Retweets
6Twitter Likes
8KTwitter Followers"
Twitter	Capital Factory Vets	published on 11/05/20 at 4:52 PM	http://twitter.com/CFVeterans/status/1324469768246669318	"Tune in on Tuesday for the ""Partnering with Big Corps for Government Contracts"" session with @CACIIntl to learn how startups can win government funding! RSVP here: hubs.ly/H0zpPYy0"		"7Retweets
2Twitter Likes
229Twitter Followers"
Twitter	The Difference	published on 11/13/20 at 7:23 AM	http://twitter.com/TheDifferenceEd/status/1327225511622402048	The Difference's Shaun Brown is joining @CACIIntl's panel on identifying, assessing &mitigating the impact of childhood trauma. You can sign up for the free online event, happening on Weds 2nd Dec here: bit.ly/SBCACIpaneldis… pic.twitter.com/yUjtakLkSn	http://twitter.com/TheDifferenceEd/status/1327225511622402048	"4Retweets
4Twitter Likes
4.9KTwitter Followers"
Twitter	AFCEA International	published on 12/02/20 at 8:14 PM	http://twitter.com/AFCEA/status/1334305069970432002	The new issue of SIGNAL Kids has arrived! Written for kids age 8-12, this magazine makes #STEM exciting with games and puzzles, articles by kid reporters, trivia and more. FREE to read and download. Thank you to our sponsor @CACIIntl! ow.ly/pOdZ50CBaGX @signalmag pic.twitter.com/D7JUwXy8Dv	http://twitter.com/AFCEA/status/1334305069970432002	"1Retweets
5Twitter Likes
9.2KTwitter Followers"
Twitter	Texas Startup Manifesto	published on 11/17/20 at 12:32 PM	http://twitter.com/TexasManifesto/status/1328752788667576320	Get in on the conversation at the #Cybersecurity Breakout Session with @CACIIntl texasstartups.com @GEWTexas @GEWUSA #GEW2020 pic.twitter.com/PyvdT7CDtx	http://twitter.com/TexasManifesto/status/1328752788667576320	"2Retweets
4Twitter Likes
1KTwitter Followers"
Twitter	The Difference	published on 11/20/20 at 5:32 AM	http://twitter.com/TheDifferenceEd/status/1329734362544435203	The Difference's latest 4 Bullet Friday has just been sent to our network. Featuring @TheDifferenceEd's info evening, @CACIIntl's upcoming panel discussion, @CPAGUK, @howtoacademy & @NAHTnews School Improvement Commission... Read here now: bit.ly/4BF20thNov pic.twitter.com/m19JP7PNT3	http://twitter.com/TheDifferenceEd/status/1329734362544435203	"2Retweets
3Twitter Likes
4.9KTwitter Followers"
Twitter	Texas Startup Manifesto	published on 11/17/20 at 3:03 PM	http://twitter.com/TexasManifesto/status/1328790932746096640	LIVE: #Austin Startup Showcase is happening now! youtube.com/watch?v=773Qwc… @VarunaIoT @Aerapps @RenuRobotics @Apptronik @goTaxTaker @GEWTexas @GEWUSA @Webex @CACIIntl #GEW2020		"3Retweets
2Twitter Likes
1KTwitter Followers"
Twitter	Joe Kunkle	published on 11/11/20 at 8:46 AM	http://twitter.com/OptionsHawk/status/1326521775082115085	Any good resources, primer etc. on Defense IT group out there $CACI $LDOS $SAIC ?		"1Retweets
4Twitter Likes
74.8KTwitter Followers"
Twitter	Texas Startup Manifesto	published on 11/17/20 at 10:32 AM	http://twitter.com/TexasManifesto/status/1328722711837806593	Find out why #Austin and #SanAntonio are ready for your investment $$$ with @CACIIntl at 10:00 AM hubs.ly/H0B2Y100 #GEW2020 @GEWUSA @GEWTexas		"2Retweets
2Twitter Likes
1KTwitter Followers"
Twitter	FBC	published on 11/17/20 at 8:52 AM	http://twitter.com/FBCinc/status/1328697526166417410	Welcome to everyone participating in the @AFCEABelvoir Industry Days 2020! Thanks to our sponsors and exhibitors including @IWLLC , @VAEinc , @USDISA , @NTTDATAServices , @NetApp , @QOMPLXOS , @Accenture , @CACIIntl , @servicenow and more! Details: fbcinc.com/e/AFCEABelvoir/ pic.twitter.com/ZysVMrleFE	http://twitter.com/FBCinc/status/1328697526166417410	"3Twitter Likes
1.4KTwitter Followers"
Twitter	Alamo AFCEA	published on 11/09/20 at 1:00 PM	http://twitter.com/AlamoAFCEA/status/1325860798506348556	Thank you to our Title Diamond Sponsors for #ACE2020! Click here to register for the virtual event of the year: aace.alamoafcea.org/attendee-regis… @ForcepointSec @ATT @CACIIntl @McAfee @Perspecta pic.twitter.com/0a7MjVqvV4	http://twitter.com/AlamoAFCEA/status/1325860798506348556	"1Retweets
2Twitter Likes
444Twitter Followers"
Twitter	Capital Factory Meetups	published on 12/01/20 at 12:06 PM	http://twitter.com/CFMeetups/status/1333819716406751232	Burning questions about Government Contracting and working with large corporations? Vinnie Watson of @CACIIntl answers your questions during our last #Defense #AMA of 2020 TOMORROW at 2pm CT. hubs.ly/H0BM_TY0		"1Retweets
1Twitter Likes
7.8KTwitter Followers"
Twitter	Capital Factory Meetups	published on 11/30/20 at 2:04 PM	http://twitter.com/CFMeetups/status/1333487129989672962	Looking to plug into the Defense Innovation ecosystem? Join us for Intro to Defense Innovation & Ask Me Anything presented by @CACIIntl and featuring Vincent Watson on 12/2 at 2pm CST. hubs.ly/H0BJD-b0		"1Retweets
1Twitter Likes
7.8KTwitter Followers"
Twitter	TBR	published on 11/18/20 at 3:44 PM	http://twitter.com/TBRinc/status/1329163468893683712	@CACIIntl's #investments in M&A and organic R&D have led to strong revenue and margin expansion and position the company for sustained success, says Research Analyst @BrianBakerTBR #COVID19 #defense		"1Retweets
1Twitter Likes
1.3KTwitter Followers"
Twitter	Texas Startup Manifesto	published on 11/17/20 at 11:22 AM	http://twitter.com/TexasManifesto/status/1328735394523963399	Dr. Kevin McNeill, Senior Vice President of Cyberspace Solutions @CACIIntl kicks off today's #Austin and #SanAntonio track texasstartups.com #GEW2020 @GEWTexas @GEWUSA pic.twitter.com/cxdLtpNADr	http://twitter.com/TexasManifesto/status/1328735394523963399	"2Retweets
1KTwitter Followers"
Twitter	PotomacOfficersClub	published on 11/05/20 at 11:03 AM	http://twitter.com/PotomacOfficers/status/1324381754564685824	.@BoozAllen, @CACIIntl, @SAICinc, #Capstone and @Serco_Inc have secured a potential four-year, $92.8M IDIQ #contract from the #NAVSUP to provide technical support services for the @USNavy. Read more: ow.ly/k9nU50Cbpc1 pic.twitter.com/tQHoqgA2qF	http://twitter.com/PotomacOfficers/status/1324381754564685824	"1Retweets
1Twitter Likes
490Twitter Followers"
Twitter	��	published on 11/12/20 at 11:10 AM	http://twitter.com/xoxosisi_/status/1326920350265913346	@Kells_KG Thats a long shot. Jobs in IT or computer science maybe. Try CACI.		"1Retweets
459Twitter Followers"
Twitter	聖主 一炁施重光 Lord YitKiSiDionggong aka LSD	published 5 hours ago	http://twitter.com/LsdLord/status/1334818892963704832	@FBI @SecPompeo @BarackObama @LLinWood @eAsiaMediaHub @USA_China_Talk @USAsiaPacific @CACIIntl @realDonaldTrump @StateIVLP WHY NOT USE SOME  IF AMERICANS DO AS WELL HAVE		2Twitter Followers
Twitter	聖主 一炁施重光 Lord YitKiSiDionggong aka LSD	published 11 hours ago	http://twitter.com/LsdLord/status/1334733853454344193	@YatesDCIA @SolomonYue @Nostradamus @bikhim @HooverInst @SecPompeo @AlexanderSoros @liquidlunchtv @CACIIntl @JennaEllisEsq @FBI @CAS2328 @realDonaldTrump @BorisJohnson @USA_China_Talk @USAsiaPacific @LLinWood @iingwen @ChingteLai @georgesoros @JoeBiden @BillClinton @HillaryClinton @BarackObama @SidneyPowell1		2Twitter Followers
Twitter	聖主 一炁施重光 Lord YitKiSiDionggong aka LSD	published on 12/03/20 at 10:11 PM	http://twitter.com/LsdLord/status/1334696776314441728	@bikhim @liquidlunchtv @HooverInst @SecPompeo @AlexanderSoros @CACIIntl @JennaEllisEsq @FBI @CAS2328 @realDonaldTrump @ChingteLai @iingwen		2Twitter Followers
Twitter	聖主 一炁施重光 Lord YitKiSiDionggong aka LSD	published on 12/03/20 at 12:36 AM	http://twitter.com/LsdLord/status/1334370924049494017	....to the FreeWorld ? This is the REALITY TRUTH about Prearranged Holy Plan of LordMine yes? @realDonaldTrump @SecPompeo @YJ943636 @USA_China_Talk @USAsiaPacific @liquidlunchtv @CAS2328 @HooverInst @CACIIntl @AlexanderSoros @JennaEllisEsq @georgesoros @USAsiaPacific @bikhim		2Twitter Followers
Twitter	Capital Factory Meetups	published on 12/02/20 at 12:05 PM	http://twitter.com/CFMeetups/status/1334182033065717765	TODAY at 2pm CST: Join us for Intro to Defense Innovation & Ask Me Anything presented by @CACIIntl and featuring Vincent Watson! hubs.ly/H0BJVgQ0		7.8KTwitter Followers
Twitter	Tim Myers	published on 11/30/20 at 11:29 PM	http://twitter.com/TiMyers06/status/1333629197579923456	@CACIIntl Please help us! From MN planned to marry and had a child on the way when she was kidnapped. I found her online and she’s a victim of human sex trafficking. They are giving her plastic surgery in the UK and she needs help! GoddessXSapphire, CloeRubberDoll mobile.twitter.com/lola_noir_		
Twitter	ClearedJobsNet	published on 11/30/20 at 3:30 PM	http://twitter.com/ClearedJobsNet/status/1333508601852293121	Join @CACIIntl for a virtual hiring fair to meet w/recruiting & program mgmt teams. Learn about opportunities for Data Engineers, Imagery Analysts & Intelligence Planners working on innovative programs in multiple locations! Reserve your space: bit.ly/35XTByv #GEOINT pic.twitter.com/e9K6T2j0Wo	http://twitter.com/ClearedJobsNet/status/1333508601852293121	5.9KTwitter Followers
Twitter	Unknown Element	published on 11/26/20 at 8:57 PM	http://twitter.com/FTC10635/status/1332141353820676102	On Thanksgiving day, Unknown Element team would like to send a big THANK YOU to our major sponsors! Their generosity helps keep the team running especially during this pandemic! @DunhamFund, @MolexConnectors, @MSIFoundation, @CACIIntl pic.twitter.com/5sG6fup8us	http://twitter.com/FTC10635/status/1332141353820676102	268Twitter Followers
Twitter	xTechSearch	published on 11/20/20 at 4:01 PM	http://twitter.com/xTechSearch/status/1329892670051921920	#ICYMI, watch five Austin/San Antonio #startups pitch their #innovative and disruptive #tech during #GEW2020: youtu.be/773QwcBviwU Watch Houston's here: youtu.be/A85FdylM3WU @CACIIntl @GEWUSA @VarunaloT @Aerapps @Apptronik @RenuRobotics @goTaxTaker		619Twitter Followers
Twitter	Patrick M. Heffernan	published on 11/18/20 at 3:20 PM	http://twitter.com/TBR_PatrickH/status/1329157661808611335	"...and economic conditions improve."" See @BrianBakerTBR and @jcaucistbr and @TBRinc for more on @CACIIntl and peers in the federal IT services space 5/5"		671Twitter Followers
Twitter	Patrick M. Heffernan	published on 11/18/20 at 3:20 PM	http://twitter.com/TBR_PatrickH/status/1329157656754450437	"talking about @CACIIntl: ""CACI continues to execute on its two-pronged strategy centering on making organic investments in R&D and solutions selling as well as acquiring niche companies that add immediate value to CACI’s existing capabilities and portfolio. 1/5"		671Twitter Followers
Twitter	Gregory Hellman	published on 11/18/20 at 3:04 PM	http://twitter.com/Greg_Hellman/status/1329153500736090112	Pentagon shakeup means more civilian oversight for special operations. @CACIIntl Strategic Advisor Lt. Gen. (Ret.) Mike Nagata weighs in: bit.ly/3feiJ72 pic.twitter.com/14oqHrmHM1	http://twitter.com/Greg_Hellman/status/1329153500736090112	873Twitter Followers
Twitter	lindsay michele	published on 11/17/20 at 11:39 AM	http://twitter.com/lindsayezy/status/1328739438533468163	“Together is better” - @SieteFoods @databrett @datadotworld @TexasManifesto @CACIIntl @Cisco pic.twitter.com/vM2hlEID8Y	http://twitter.com/lindsayezy/status/1328739438533468163	308Twitter Followers
Twitter	Simon Hudson	published on 11/15/20 at 8:16 PM	http://twitter.com/nosduHnomiS/status/1328144998970257408	My modified Relative Strength screener is showing $OSK $SRE $RDUS $LPLA $BKNG $DHIL $IT $HEI and my value based screen is showing $TNAV $CACI $NTWK $VST...we will see what the week brings		9Twitter Followers
Twitter	Jim Garrettson	published on 11/13/20 at 8:02 AM	http://twitter.com/jimgarrettson/status/1327235327598194688	Ken Asbury and Sid Ashworth, respectively former #executives at @CACIIntl and @northropgrumman, have been #appointed to serve on @GeospaceT’s #board of directors starting Dec. 1. Read more on @GovConWire: ow.ly/4kox50CjC0n pic.twitter.com/4L5B3mNCvs	http://twitter.com/jimgarrettson/status/1327235327598194688	1.3KTwitter Followers
Twitter	ABBTECH	published on 11/12/20 at 6:15 PM	http://twitter.com/ABBTECH/status/1327027327658840069	Thank you @CACIIntl We celebrate Veterans on Veterans Day and EVERYDAY by putting our VETS back to work. ABBTECH.com		4KTwitter Followers
