Platform	Author	Publish Time	URL	Content	Thumbnail	Metrics
Facebook	Harvard grad blames Trump supporters after ‘stab’ video costs her Deloitte job	published on 07/06/20 at 6:19 AM	http://www.facebook.com/permalink.php?id=131201286936061&story_fbid=3441289092593914	...to say “all lives matter” to her. Then she lost her job at the accounting firm Deloitte because of the video and blamed Trump supporters for “compromising her future.” Well, I want Claira to know that even though she might feel that her life is...	https://external-frt3-2.xx.fbcdn.net/safe_image.php?d=AQDkLN6DKk_FgpEO&url=https%3A%2F%2Fstatic.foxnews.com%2Ffoxnews.com%2Fcontent%2Fuploads%2F2019%2F08%2FHarvard-Gate.jpg&_nc_hash=AQArguvtwQ5KgtGf	"7.1KFacebook Shares
34.2KFacebook Likes
7.5KComments
8.8MFacebook Followers"
Twitter	New York Post	published on 07/01/20 at 7:56 PM	http://twitter.com/nypost/status/1278477545860718592	Harvard grad Claira Janover says she's lost Deloitte job over TikTok 'stab threat' trib.al/oXOAMDl pic.twitter.com/2X8gw6M0bt	http://pbs.twimg.com/media/Eb4QjXmXgAcXKG5.jpg	"4.4KRetweets
21.6KTwitter Likes
1.7MTwitter Followers"
Facebook	Harvard grad blames Trump supporters after ‘stab’ video costs her Deloitte job	published on 07/03/20 at 4:39 AM	http://www.facebook.com/permalink.php?id=15704546335&story_fbid=10159603775056336	She’s a Harvard graduate, but a Connecticut woman apparently learned this week that words and actions can have consequences.	https://external-frt3-2.xx.fbcdn.net/safe_image.php?d=AQDkLN6DKk_FgpEO&url=https%3A%2F%2Fstatic.foxnews.com%2Ffoxnews.com%2Fcontent%2Fuploads%2F2019%2F08%2FHarvard-Gate.jpg&_nc_hash=AQArguvtwQ5KgtGf	"2.1KFacebook Shares
7.3KFacebook Likes
6.3KComments
18.5MFacebook Followers"
Twitter	Philippe Lemoine	published on 07/03/20 at 4:26 PM	http://twitter.com/phl43/status/1279149562461065216	So it turns out that the stabbing video girl didn't actually have a job at Deloitte but was only scheduled for a 2-week internship over there at the end of summer. Now she set up a GoFundMe and has already made $8,645  dailymail.co.uk/news/article-8…		"3.1KRetweets
7.7KTwitter Likes
20.1KTwitter Followers"
Twitter	Mr. Skilling (Parody)	published on 07/01/20 at 10:08 PM	http://twitter.com/mr_skilling/status/1278510831949557761	I don’t know what I would be more pissed about: Losing a job because I posted a TikTok threatening to stab people Or going to Harvard just to end up working at Deloitte		"729Retweets
6.2KTwitter Likes
13KTwitter Followers"
Twitter	Anthony Costello	published on 07/18/20 at 7:42 PM	http://twitter.com/globalhlthtwit/status/1284634632181424128	The local public health teams identify 99% of the contacts of those they test. But they don’t get data from those tested by Deloitte. And Serco have managed only 59000 contacts in 6 weeks ie <1 contact per tracer per fortnight. A £10 billion shambles.		"2.7KRetweets
3.7KTwitter Likes
51.3KTwitter Followers"
Twitter	John Harris	published on 07/01/20 at 5:30 AM	http://twitter.com/johnharris1969/status/1278259630628618241	"""The contract with Deloitte [who run testing centres] does not require the company to report positive cases to Public Health England and local authorities."" This is such a shambles, with huge consequences."		"2.6KRetweets
3.6KTwitter Likes
62.6KTwitter Followers"
Twitter	Anthony Costello	published on 07/15/20 at 3:12 PM	http://twitter.com/globalhlthtwit/status/1283479556318539779	Why do we have to put up with this Serco, Deloitte, Lighthouse Lab, McKinsey nonsense which has messed up the creation of a Find Test Trace Isolate Support public health shield? Just move resources to regional Health Protection Teams, local authority public health + GPs. Period.		"1.7KRetweets
4.3KTwitter Likes
51.3KTwitter Followers"
Twitter	Jon Miller	published on 07/02/20 at 12:19 AM	http://twitter.com/MillerStream/status/1278543742949978112	It’s funny how she thinks Trump supporters did this to her as if they called up Deloitte and told them to fire her. You did this to yourself, sweetheart. You want be a strong woman and all that, take responsibility for your words. pic.twitter.com/5TvsGGOgKF	http://pbs.twimg.com/ext_tw_video_thumb/1278490814524481538/pu/img/-nR9ffl8XUzNysUV.jpg	"733Retweets
3.4KTwitter Likes
87.3KTwitter Followers"
Twitter	Matt Hancock	published on 07/02/20 at 7:31 AM	http://twitter.com/MattHancock/status/1278652560036020226	Really proud of my amazing testing team who’ve delivered 24-hr turnaround times of: - 98% for drive through testing - 97% for mobile testing units Much more to do of course, but credit to my amazing team - including Boots & Deloitte. Massive team effort 		"381Retweets
3.8KTwitter Likes
329.6KTwitter Followers"
Twitter	Buck Sexton	published on 07/02/20 at 8:24 AM	http://twitter.com/BuckSexton/status/1278665768729804800	"First, Claira Janover, a @Harvard grad ""joked"" that she would “stab” anyone who told her “#AllLivesMatter” Now, she claims that she lost her dream job @Deloitte over the perceived threats, and blames @realDonaldTrump supporters for going after her job. bucksexton.com/content/2020-0…"		"941Retweets
2.9KTwitter Likes
411.5KTwitter Followers"
Twitter	TimNaples	published on 06/30/20 at 6:37 PM	http://twitter.com/TimNaples/status/1278095243175440394	@Bubblebathgirl She says she’s going to be working at Deloitte. @Deloitte @DeloitteUS should rethink hiring a violent person. Be a shame if this got retweeted pic.twitter.com/c2xzkJ4zaF	http://pbs.twimg.com/media/Eby02HpWsAADUCA.jpg	"1.5KRetweets
2.3KTwitter Likes
855Twitter Followers"
Twitter	Ian Miles Cheong	published on 07/01/20 at 8:54 PM	http://twitter.com/stillgray/status/1278492119112417281	Harvard grad Claira Janover lost Deloitte job over TikTok 'stab threat'. You hate to see it. nypost.com/2020/07/01/har…		"576Retweets
3.1KTwitter Likes
178.1KTwitter Followers"
