Platform	Author	Publish Time	URL	Content	Thumbnail	Metrics
Twitter	Lambda School	published on 06/26/20 at 9:56 AM	http://twitter.com/LambdaSchool/status/1276514555993165826	Last week Lambda grads got hired at @PublicisSapient, @NM_News, @PayPal, @GDIT, @SanminaCorp, @C4ADS, @NeptuneFlood, @SigConsult, and many others. We're so proud of them and their hustle!  #Hire a Lambda grad today: bit.ly/2Z3OkB2 pic.twitter.com/THYGY2esvK	http://pbs.twimg.com/media/EbcXOSjXkAAPqyj.png	"3Retweets
18Twitter Likes
54.9KTwitter Followers"
Twitter	Rick Bateman, Jr.	published on 06/23/20 at 11:52 AM	http://twitter.com/RickBatemanJr/status/1275456591823695873	We are #BPCCproud of the role the College is playing in meeting the IT workforce needs in NWLA; GDIT Exceeds Job Targets In Louisiana; Mounts New Tech Talent Search; @BPCCCavs @LouisianaGov @golctcs @ecodevomartinez bizmagsb.com/2020/06/22/gdi…		"7Retweets
14Twitter Likes
1.3KTwitter Followers"
Twitter	General Dynamics Corporation	published on 07/15/20 at 4:01 PM	http://twitter.com/generaldynamics/status/1283491779082358790	"@GDMS and @GDIT earn ""2020 Best Place to Work for Disability Inclusion"" by @DisabilityIN and @AAPD pic.twitter.com/lyA7TjX95s"	http://pbs.twimg.com/media/Ec_gS6IWoAUYxu-.jpg	"3Retweets
8Twitter Likes
2KTwitter Followers"
Twitter	5General☭Strike	published on 06/30/20 at 4:46 PM	http://twitter.com/MadDemSocialist/status/1278067475649683456	AHHHHHHH I'M FUCKING PISSED ABOUT BOOKER. FUCK AMY MCCORRUPT HACK. FUCK MCCONNELL. GDIT!		"3Retweets
7Twitter Likes
2.1KTwitter Followers"
Twitter	MD Tech Council	published on 07/17/20 at 12:00 PM	http://twitter.com/MDTechCouncil/status/1284155965655273473	Explore employer information and career opportunities from companies like @GDIT, @Elaunchers, @ICF, @Qlarant, @SecuLore, @Smoothstack, and more on July 23rd at the IT + Cybersecurity Virtual Career Expo. Complimentary for all students and job seekers: buff.ly/2CsquHj pic.twitter.com/tmGakvfhfT	http://pbs.twimg.com/media/EdI9C6HWsAAkbJH.png	"2Retweets
4Twitter Likes
5.1KTwitter Followers"
Twitter	Likhain #OustDuterte #JunkTerrorBill	published on 06/29/20 at 9:08 PM	http://twitter.com/likhain/status/1277771073803571200	White people, OWN YOUR SHIT. We don't get to walk away from the harm you cause us, the damage you deal us. Own up to your bad behaviour, gdit.		"1Retweets
5Twitter Likes
2.6KTwitter Followers"
Twitter	Government Matters	published on 07/07/20 at 1:00 PM	http://twitter.com/GovMattersTV/status/1280547154487099393	Here are highlights from The Importance of Cybersecurity during COVID-19. Watch the full show on demand at: bit.ly/2z4GEpa Presented by @GDIT pic.twitter.com/WHWiCkBd2X	http://pbs.twimg.com/ext_tw_video_thumb/1280545903179333633/pu/img/C-VNLJyzpn3aWtK4.jpg	"2Retweets
3Twitter Likes
5.6KTwitter Followers"
Twitter	Utterly Disposable Unit of Human Capital Stock	published on 07/06/20 at 5:24 PM	http://twitter.com/claysalt1/status/1280251380826083335	@ArkansasCovid Curious to know how many other states are using private contractors to help with contact tracing. Is public access available to the GDIT contract? What privacy measures are in place? Does HIPAA apply?		"1Retweets
4Twitter Likes
154Twitter Followers"
Twitter	Show Up! America	published on 06/23/20 at 1:26 PM	http://twitter.com/ShowUpAmerica/status/1275480476703166466	@Fishbones2017 @kitsune_ichigo Sure. If it’s good for armament industry corporation General Dynamics it’s good for government. gd.com/Articles/2019/…		"1Retweets
4Twitter Likes
1.3KTwitter Followers"
Twitter	The JDF	published on 07/13/20 at 1:04 PM	http://twitter.com/jdffeet/status/1282722603514449922	Register for our #socialdistance interactive #Health #Fair on9/12 . #school supplies, #Halloween costumes, bikes, #prizes & more! #Free tickets required. buff.ly/3e2pqHf #Quantico #Stafford #Virginia #Diabetes #COVID19 #Mantech #GDIT #NOVEC #CyberBytes #MondayMotivation pic.twitter.com/bIyRwHwBbb	http://pbs.twimg.com/media/Ec0laP4WAAUCD0f.jpg	"4Retweets
2.6KTwitter Followers"
