Platform	Author	Publish Time	URL	Content	Thumbnail	Metrics
Twitter	Raytheon Intelligence & Space	published on 11/05/20 at 12:00 PM	http://twitter.com/RaytheonIntel/status/1324396078842728453	Which mission-critical system supports over 90% of @DeptofDefense and commercial space launches but can’t be seen? See how @RGNext, our joint venture with @GDIT, offers safe, effective testing, launching and tracking of space vehicles.  rtxintel.co/3l47Qa4 #intelligentspace pic.twitter.com/NGxAZcMJQJ	http://twitter.com/RaytheonIntel/status/1324396078842728453	"4Retweets
6Twitter Likes
35.8KTwitter Followers"
Twitter	Steph  138 	published on 11/25/20 at 1:14 AM	http://twitter.com/unsilent_stephy/status/1331481484570603521	This is the kind of content I'm signed up for gdit pic.twitter.com/aWC4qa1q99	http://twitter.com/unsilent_stephy/status/1331481484570603521	"1Retweets
7Twitter Likes
439Twitter Followers"
Twitter	D'Plorbl DREGs	published on 11/20/20 at 9:28 PM	http://twitter.com/DontDregMeBro/status/1329974886819717122	Initial ad Tweet : 5:48 pm EST · Nov 8, 2020 from General Dynamic IT, dropped into my Search results, despite having never engaged that acct twitter.com/GDIT/status/13… Re: milCloud® 2.0 [cloud technology] designed specifically for the warfighter data centers pic.twitter.com/6Sxr4TjwSC	http://twitter.com/DontDregMeBro/status/1329974886819717122	"2Retweets
4Twitter Likes
11.4KTwitter Followers"
Twitter	Jessica Graham	published on 11/11/20 at 2:18 PM	http://twitter.com/JessGrahamFL/status/1326605199314718723	A career in Data & Analytics at GDIT means owning the opportunity to deliver the insights clients need to make real change. Apply now and own your opportunity. gdit.com/careers/featur… #datascience #GDITCareers, #OpportunityOwned #Technology #womenintech pic.twitter.com/Opx9GDS4qw	http://twitter.com/JessGrahamFL/status/1326605199314718723	"4Retweets
1Twitter Likes
132Twitter Followers"
Twitter	Alamo AFCEA	published on 11/09/20 at 6:00 PM	http://twitter.com/AlamoAFCEA/status/1325936340777709568	Join us & learn more about our programs! Check your inbox for the e-invite. @Accenture @Cyber_CENTS @FrontierTechnol @GDIT @LMI_org @LockheedMartin @M2_Technology @NHCLC_Training @SemperValens @SystemsSts @wwt_inc @ATT @Deloitte @LeidosInc @COLSA_Corp @IPSecureinc pic.twitter.com/Tols8T9m4c	http://twitter.com/AlamoAFCEA/status/1325936340777709568	"5Twitter Likes
444Twitter Followers"
Twitter	'There was this movie I seen one time...'	published on 12/01/20 at 1:09 PM	http://twitter.com/TimothyS/status/1333835590886940674	LOL. How many know that GDIT is one of the largest intelligence contractors in the USA?		"2Retweets
2Twitter Likes
23.4KTwitter Followers"
Twitter	rvatech	published on 11/16/20 at 7:01 PM	http://twitter.com/rvatechcouncil/status/1328488331768967168	Congratulations to the Woman of the Year award recipient: LaLisha Hurt from @GDIT! Special thanks to the MLM awards sponsor @VacoRichmond. To learn more about the MLM Awards, visit ow.ly/CrrE50Cmi6L! #womenintech pic.twitter.com/AdNIAtYEou	http://twitter.com/rvatechcouncil/status/1328488331768967168	"2Retweets
2Twitter Likes
2.3KTwitter Followers"
Twitter	FedHealthIT	published on 11/16/20 at 4:26 PM	http://twitter.com/FedHealthIT/status/1328449483403882497	Thanks to our #FedHealthIT100 Sponsors! @Philips, @LeidosInc, @B3GroupInc, @GDIT, @IndexAnalytics, SoftDev, @Guidehouse, @natgovservices, @NTTDATAServices, @Plan_Sys, @VMware, All in VETS, @AptiveResources, EM Key Solutions, Sentar & @Unissant! Join Us- ow.ly/Sd3Y50Cmcrm. pic.twitter.com/8RdQPFprKf	http://twitter.com/FedHealthIT/status/1328449483403882497	"2Retweets
2Twitter Likes
856Twitter Followers"
Twitter	GovEvents	published on 11/12/20 at 9:43 AM	http://twitter.com/GovEventsGroup/status/1326898301766152204	New compliancy solutions for #DoD Mission Partners seeking to migrate to VMware on milCloud 2.0 are being rolled out Nov 18 at milCloud 2.0 Digital Bootcamp. Leaders from @GDIT, @vmwaregov, @Dell & @MeriTalk will share these new technologies: bit.ly/2Hy6mGT #Defense #Mil pic.twitter.com/cZXoGBgoTM	http://twitter.com/GovEventsGroup/status/1326898301766152204	"2Retweets
2Twitter Likes
4.6KTwitter Followers"
Twitter	x/iIT\\ {Devin} //TIi\x	published on 11/28/20 at 8:21 PM	http://twitter.com/HappyDreams101/status/1332857201149566981	@WSJbusiness @guardianscience @techreview @MIT @msuresearch @michiganstateu @GeoengineerOrg @Tesla @GDIT @STONEHOUSE_SO Please read thread please and thank you #please #share #thread #trend The top one to please & thank you #promote #twitter #news #WritingCommunity #books		"3Twitter Likes
693Twitter Followers"
Twitter	The JDF	published on 11/18/20 at 10:00 AM	http://twitter.com/jdffeet/status/1329076934840446984	Last week was a great week! We did all this wearing masks & socially distancing #GoodNews #Walmart #Wawa #GDIT #TSI #GoodNews #GivingBack #payitforward #love #GivingTuesday #nonprofit #charity #WednesdayMotivation #WednesdayThoughts #WednesdayVibes #wednesdaymorning pic.twitter.com/9sn4YAhvRY	http://twitter.com/jdffeet/status/1329076934840446984	"3Retweets
2.6KTwitter Followers"
Twitter	Keven Preiss DeYoung	published on 11/17/20 at 1:11 PM	http://twitter.com/kevendeyoung/status/1328762583625605120	#NEW #Award! General Dynamics Information Technology has a 7+ year contract supporting #USSOUTHCOM and based in greater Miami (Doral), Florida. COME APPLY #RQ71009 lnkd.in/gFhM8zN Due to new award, GDIT is looking to hire experienced #CISCO #Netw…lnkd.in/gBRweZF		"1Retweets
2Twitter Likes
121Twitter Followers"
Twitter	The JDF	published on 11/14/20 at 9:30 AM	http://twitter.com/jdffeet/status/1327619811355070467	We Rise By Lifting Others! Please view our quick #Youtube #video & #subscribe. Thx! buff.ly/2X0HDzs We make it happen. #free #Giveaways #love #inspirational #GivingBack #GoodNews #SaturdayThoughts #SaturdayMotivation #SaturdayVibes #Mantech #GDIT #GoodSaturday pic.twitter.com/vdUQEzcUMW	http://twitter.com/jdffeet/status/1327619811355070467	"3Retweets
2.6KTwitter Followers"
