Platform	Author	Publish Time	URL	Content	Thumbnail	Metrics
Twitter	sligococo	published on 11/12/20 at 1:45 PM	http://twitter.com/sligococo/status/1326959194273091595	The N4-N15 Urban Improvement Scheme will bring major benefits, view our explainer video on youtube.com/watch?v=vei45O… - @TIINews @FoxContracts97 @Dept_Transport @JacobsConnects @EngineerIreland		"33Retweets
46Twitter Likes
8.3KTwitter Followers"
Twitter	Henderson Engineers	published on 11/13/20 at 5:03 PM	http://twitter.com/hendersonengs/status/1327371536592932864	The final beam has been placed!  Congrats to all on the topping out of @AdventHealthKC's new South Overland Park expansion.  We couldn't be more excited to be a part of this #healthcare project in #KC with partners @HKSArchitects, @olsson_tweets, @JacobsConnects, & @gejcc. pic.twitter.com/P28thwWkhD	http://twitter.com/hendersonengs/status/1327371536592932864	"3Retweets
18Twitter Likes
3.2KTwitter Followers"
Twitter	Clive Roberts	published on 11/20/20 at 3:12 AM	http://twitter.com/CliveRobertsUoB/status/1329699230991192064	Delighted that @AsaadFaram won the Research and Studies Award @ICEWestMids Awards last night for work with @stwater @JacobsConnects @BritGeoSurvey This is the 3rd year in a row @SchoolofEng_UoB @eps_unibham @unibirmingham won this particular award (last 2 years was @NicoleUoB) pic.twitter.com/rWak7I340d	http://twitter.com/CliveRobertsUoB/status/1329699230991192064	"3Retweets
11Twitter Likes
1.6KTwitter Followers"
Twitter	Coalition for Deep Space Exploration	published on 12/01/20 at 10:34 AM	http://twitter.com/XploreDeepSpace/status/1333796630760284160	Episode 2 of the Deep Space Podcast’s Workforce of the Future series is out! Join @JacobsConnects’s Beverly Case & @northropgrumman's David Vaughn as they speak about their careers & explain aspects of the @NASA_SLS rocket booster production & stacking: ow.ly/U7aw50Cxcff pic.twitter.com/Uh3fnRNQL3	http://twitter.com/XploreDeepSpace/status/1333796630760284160	"2Retweets
10Twitter Likes
15.8KTwitter Followers"
Twitter	ICE West Midlands	published on 11/19/20 at 2:25 PM	http://twitter.com/ICEWestMids/status/1329505991273172993	The winner of the #StudiesAndResearchAward is #GUIDE for their use of #AI to enable the assessment of complex modelling scenarios. Congratulations to @birminghamuni @SchoolofEng_UoB @stwater @JacobsConnects @BritGeoSurvey #WMAwards2020 pic.twitter.com/6Bre5EXvYY	http://twitter.com/ICEWestMids/status/1329505991273172993	"12Twitter Likes
2.5KTwitter Followers"
Twitter	Dr Donya Hajializadeh	published on 11/17/20 at 2:50 PM	http://twitter.com/DrDonyaA/status/1328787644382408707	"#FullyFunded #PhD opportunity @UniofSurrey for Autumn 2021 entry under @SCENARIO_DTP ""A Resilience-based, mobility-driven #DecisionSupportSystem for #MultiModal #TransportNetworks"" in partnership with @JacobsConnects Link: research.reading.ac.uk/scenario/a-res… Application Deadline: 21/1/2021"		"5Retweets
7Twitter Likes
189Twitter Followers"
Twitter	ICE West Midlands	published on 11/16/20 at 9:58 AM	http://twitter.com/ICEWestMids/status/1328351828120137729	Asaad Faramarzi from @unibirmingham explains why he is proud to be a civil engineer. Book your virtual seat for the #WMAwards2020 this Thursday and find out more about the project he was involved in. bit.ly/ICE2020WMAwards @stwater @JacobsConnects @BritGeoSurvey pic.twitter.com/4iEoZtoQWx	http://twitter.com/ICEWestMids/status/1328351828120137729	"5Retweets
7Twitter Likes
2.5KTwitter Followers"
Twitter	SWAN Forum	published on 11/11/20 at 12:12 PM	http://twitter.com/SWAN_forum/status/1326573421514399744	SWAN Ambassador @GigiOnSmartGrid will lead the next panel on #digitaltwin lifecycles, from defining the architecture to utility implementation. Tune in to hear from Members of SWAN’s Digital Twin Work Group @goaigua @JacobsConnects @brwncald @portlandwater @OptiRTC. @awwa pic.twitter.com/haXWPUJBKq	http://twitter.com/SWAN_forum/status/1326573421514399744	"4Retweets
8Twitter Likes
1.6KTwitter Followers"
Twitter	Latino Directors	published on 11/09/20 at 12:15 PM	http://twitter.com/LatinoDirectors/status/1325849413823115270	#MemberMondays: Congratulations to #LCDAMember, Manny Fernandez, who was appointed to HollyFrontier Corporation (NYSE:HFC) Board of Directors. He also sits on the board of @JacobsConnects. #LCDAOnTheRise #LCDAMemberNews #LCDALeaders #CorpBoards #boardofdirectors pic.twitter.com/UlhYq8wq2K	http://twitter.com/LatinoDirectors/status/1325849413823115270	"3Retweets
8Twitter Likes
425Twitter Followers"
Twitter	Dalton Maag	published on 12/01/20 at 4:59 AM	http://twitter.com/DaltonMaag/status/1333712361069424640	Good design is always a result of different people collaborating. We worked with the teams @SiegelGale and @JacobsConnects to create a new custom typeface. Read more at daltonmaag.com/work/jacobs pic.twitter.com/FARl1iawWy	http://twitter.com/DaltonMaag/status/1333712361069424640	"2Retweets
8Twitter Likes
10.8KTwitter Followers"
Twitter	causewayXchange 	published on 11/13/20 at 10:23 AM	http://twitter.com/CausewayXchange/status/1327270850354163713	REGISTER NOW! On 24 Nov, as part of our #GrowingourCelticCities in #ClimateEmergency event series, @EdCentreCC & @JacobsConnects will discuss activities taking place ahead of @COP26 & what leaders can do now towards achieving carbon neutral targets! causewayexchange.net/events/90/grow… pic.twitter.com/whtJexXvqk	http://twitter.com/CausewayXchange/status/1327270850354163713	"6Retweets
4Twitter Likes
750Twitter Followers"
Twitter	Disability:IN	published on 12/02/20 at 11:31 AM	http://twitter.com/DisabilityIN/status/1334173307860606993	Chair & CEO of @jacobsconnects Steve Demetriou has joined IN, committing to advance disability inclusion, advocate other Fortune 500 CEOs to join IN, leverage the Disability Equality Index & more: disabilityin.org/are-you-in/. #AreYouIN pic.twitter.com/wghI2STvNw	http://twitter.com/DisabilityIN/status/1334173307860606993	"4Retweets
5Twitter Likes
10.1KTwitter Followers"
Twitter	Alex Mahrou	published on 11/19/20 at 12:29 PM	http://twitter.com/projectedxyz/status/1329476965963755521	We're expanding our Environmental Data Science Team @JacobsConnects ! Looking for BI/Data Engineering: SQL, Python, R, Power BI, Shiny, Cloud, Data Warehousing. If these things excite you please DM! We're also working with cool projects focusing on emerging contaminants (PFAS)		"3Retweets
6Twitter Likes
486Twitter Followers"
Twitter	Esri AEC	published on 11/17/20 at 5:39 PM	http://twitter.com/EsriAEC/status/1328830261656580096	AU2020 - Don't miss this panel on #BIM and #GIS integration on Nov.18 with @Esri Anthony Renteria and Stephen Brockwell, @SwecoSweden Adam Sjödin, @JacobsConnects Alistair Fox, @HNTBCorp Jeff Siegel, @HeathrowAirport Nigel Stroud bit.ly/3pnV2Ol #AU2020 #AEC pic.twitter.com/zk49XLesQ9	http://twitter.com/EsriAEC/status/1328830261656580096	"2Retweets
7Twitter Likes
479Twitter Followers"
Twitter	Ronier C Deumeni	published on 11/15/20 at 9:55 AM	http://twitter.com/RonierDeumeni/status/1327988691516715009	Diversity and Inclusion - Working from the Top Down. @GlasgowCC @NicolaSturgeon @CC_Livingstone @ScotPoliceSupts @ScotParl @ng_homes @JacobsConnects @johndscott @AstonLiz @ScotGovernment @annbell47599958 @acscotland @DCCWillKerr #ConsciousInclusion #Justice #Equality		"1Retweets
8Twitter Likes
237Twitter Followers"
Twitter	Martin Pietrucha	published on 11/12/20 at 10:45 PM	http://twitter.com/mtp5/status/1327095209625313280	Making me look good are (L to R) @PSUEngineering alums: Bryan Hanover (@mccormicktaylor), Marlon Smoker (@JacobsConnects), Beverly (Thompson) Kuhn (@BeverlyKuhn; @TTITAMU; Soon to be @ITEhq International President; my 1st PhD advisee), & John McFadden, @USDOTFHWA		"1Retweets
8Twitter Likes
586Twitter Followers"
Twitter	Coalition for Deep Space Exploration	published on 11/10/20 at 10:20 AM	http://twitter.com/XploreDeepSpace/status/1326182878674362368	"""I'm interested in space in part because it's about creating an optimistic future for humanity."" In the latest episode of the @JacobsConnects If/When Podcast, CDSE CEO @DittmarML describes the criticality of deep space exploration & speaks about her career in aerospace. twitter.com/JacobsConnects…"		"1Retweets
8Twitter Likes
15.7KTwitter Followers"
Twitter	Cambridge Econometrics	published on 11/26/20 at 5:52 AM	http://twitter.com/CambridgeEcon/status/1331913589935005697	Looking forward to partnering with @JacobsConnects to further develop @transporteast's #transport planning programme!		"3Retweets
5Twitter Likes
2.2KTwitter Followers"
Twitter	Tom Grey	published on 11/17/20 at 4:13 PM	http://twitter.com/TomEGrey/status/1328808402022240257	Thanks @JacobsConnects for the chance to discuss nursing home design with @Age_Matters & @dochitect...with listening to!! @Trinity_Haus @SPKennelly		"3Retweets
5Twitter Likes
623Twitter Followers"
Twitter	causewayXchange 	published on 11/25/20 at 7:21 AM	http://twitter.com/CausewayXchange/status/1331573787867930625	WATCH HERE! Our #GrowingourCelticCities in the #ClimateEmergency: Countdown to @COP26 Causeway event is now online! Hosted by Causeway Board Member @StuartDTurnbul1, with guest speakers from @EdCentreCC & @JacobsConnects  #ClimateAction #ClimateCrisis youtube.com/watch?v=X-VsY2… pic.twitter.com/HtfFVOuTaE	http://twitter.com/CausewayXchange/status/1331573787867930625	"3Retweets
4Twitter Likes
766Twitter Followers"
Twitter	The Daily Line Springfield	published on 11/24/20 at 10:20 AM	http://twitter.com/thedailylineIL/status/1331256273719996418	‘Truly iconic’ design chosen for @DiscoverDPI building set to anchor ‘78’ development Read more (No Paywall): bit.ly/33ens41 Via @joelebert29  @GovPritzker @JacobsConnects @ideo		"3Retweets
4Twitter Likes
2.5KTwitter Followers"
Twitter	New Civil Engineer	published on 11/24/20 at 6:30 AM	http://twitter.com/ncedigital/status/1331198445789585408	Bridges | More than 200 bridge bearing have been replaced on the #Ouse Bridge on the #M62 in #Yorkshire by the A-one+ joint venture between @JacobsConnects, @ColasLtd and @CostainGroup buff.ly/35VFhGS #Construction #Engineering #CivilEngineering #Bridges #BridgeRepairs pic.twitter.com/9xmywFHcpT	http://twitter.com/ncedigital/status/1331198445789585408	"3Retweets
4Twitter Likes
43.9KTwitter Followers"
Twitter	nucleargraduates	published on 11/23/20 at 5:22 AM	http://twitter.com/nucleargrads/status/1330818929111994369	Good luck to Cohort 2020 as they start their first secondments with their sponsors today. This year we have graduates joining @JacobsConnects @magnoxsites @NDAgovuk @rwm_gdf_uk @RollsRoyceUK and @SellafieldLtd pic.twitter.com/v7nNC4lkOV	http://twitter.com/nucleargrads/status/1330818929111994369	"1Retweets
6Twitter Likes
1.7KTwitter Followers"
Twitter	ACEC New York	published on 11/18/20 at 1:03 PM	http://twitter.com/ACECNewYork/status/1329123091675570178	Congratulations again to all our #EEANY20 award winners and a special congratulations to @JacobsConnects! Thank you all for joining us for our first-ever virtual gala, and we look forward to seeing everyone in person soon! pic.twitter.com/3B77RrttDI	http://twitter.com/ACECNewYork/status/1329123091675570178	"2Retweets
5Twitter Likes
1.6KTwitter Followers"
Twitter	Suited For Success	published on 11/17/20 at 10:04 AM	http://twitter.com/SuitedForBham/status/1328715680393342978	Really grateful to @JacobsConnects #birminghamUK for a charity grant of £3777 to support our Covid response work supporting people to regain employment. We're looking forward to continuing working with Jacobs in the new year to support the ex-forces into employment. #Employment pic.twitter.com/KqgMCHdq3H	http://twitter.com/SuitedForBham/status/1328715680393342978	"2Retweets
5Twitter Likes
1.6KTwitter Followers"
Twitter	Neil O'Leary	published on 11/14/20 at 7:59 AM	http://twitter.com/lycraolaoghaire/status/1327596895498285056	"@SligoCycling @yascaoimhin @sligococo @donegalcouncil @TIINews @FoxContracts97 @Dept_Transport @JacobsConnects @EngineerIreland @cosaingalway Look at how the crossings create unsafe desire lines for pedestrians. This type of pavement is then required to ""direct"" pedestrians away from these. The designers of this €14m project are effectively acknowledging they have poorly provided for pedestrians by using this rubbish pic.twitter.com/1eKg92naXG"	http://twitter.com/lycraolaoghaire/status/1327596895498285056	"2Retweets
5Twitter Likes
307Twitter Followers"
Twitter	High Line	published on 11/06/20 at 11:57 AM	http://twitter.com/highlinenyc/status/1324757820189798400	We love to learn about the expansion of urban green space. #HighLineNetwork member @KlydeWarrenPark received an $8M donation from @JacobsConnects for the the 37,000 sf Jacobs Lawn that will provide space for festivals and markets. bit.ly/3ex5Kx6		"1Retweets
6Twitter Likes
91.2KTwitter Followers"
Twitter	3D Repo	published on 12/01/20 at 3:30 AM	http://twitter.com/3DRepo/status/1333689859601477633	Join us for Peloton’s free event! Speakers from @MaceGroup, @JacobsConnects, @EviFile, @3DRepo and @MissionRoomLtd exploring how real-time dashboards from site engineers data can be used to make informed decisions to improve project efficiency. Register: ow.ly/nGNN50Ctuqy pic.twitter.com/RNMiTUfeGu	http://twitter.com/3DRepo/status/1333689859601477633	"4Retweets
2Twitter Likes
2.6KTwitter Followers"
Twitter	Military Makeover	published on 11/27/20 at 9:13 AM	http://twitter.com/MilitaryMkover/status/1332326652756586499	With a culture of caring and inclusion, @JacobsConnects is always looking for dedicated #veterans and military spouses to add to their team.  Learn more about the team's mission and diversity: jacobs.com/about/inclusio… pic.twitter.com/lEgmagKE5j	http://twitter.com/MilitaryMkover/status/1332326652756586499	"1Retweets
5Twitter Likes
1.2KTwitter Followers"
Twitter	John Webster 	published on 11/24/20 at 12:26 PM	http://twitter.com/johnauldwebster/status/1331288109393334284	Really pleased to join @CausewayXchange @JacobsConnects & @EdCentreCC for the #growingourcelticcities in #ClimateEmergency event today. Vital that businesses & cities across the world take #ClimateAction into their planning now. #COP26Ambition #climatecrisis #climatechange pic.twitter.com/bwTJuoV8rh	http://twitter.com/johnauldwebster/status/1331288109393334284	"3Retweets
3Twitter Likes
2.7KTwitter Followers"
Twitter	causewayXchange 	published on 11/24/20 at 11:45 AM	http://twitter.com/CausewayXchange/status/1331277662942351361	Powerful talks from Adam Liddle @JacobsConnects & Jamie Brogan @EdCentreCC at our #growingourcelticcities in #ClimateEmergency event today. Businesses & cities across the world need to take #ClimateAction into their planning now. #climatecrisis #climatechange pic.twitter.com/iTIcLNv6z8	http://twitter.com/CausewayXchange/status/1331277662942351361	"3Retweets
3Twitter Likes
763Twitter Followers"
Twitter	WORK180	published on 11/17/20 at 12:29 AM	http://twitter.com/WORK180_ANZ/status/1328571063161196544	A new (and frankly unmissable) #Podcast episode is out now  Tune into this week’s #EqualityTalks episode with guest Somoud Al Masri, Women’s Network Global Co-chair at @JacobsConnects: hubs.ly/H0B0Bk-0 #GenderEquality #WomenSupportingWomen #DiversityAndInclusion		"3Retweets
3Twitter Likes
3KTwitter Followers"
Twitter	NewCities	published on 11/13/20 at 9:00 AM	http://twitter.com/NewCities/status/1327249977895243777	 Upcoming Event In partnership with the @citybeautiful, @JacobsConnects & @McKinsey_MGI, we are proud to launch our inaugural #climatemigration event: #HigherGround. Join the experts on Dec 1-3 to shape the conversation around #cities and climate change. events.bizzabo.com/higherground pic.twitter.com/AI7qA4pp2P	http://twitter.com/NewCities/status/1327249977895243777	"1Retweets
5Twitter Likes
34.9KTwitter Followers"
Twitter	Neil O'Leary	published on 11/13/20 at 5:15 AM	http://twitter.com/lycraolaoghaire/status/1327193381613744136	"@yascaoimhin @sligococo @donegalcouncil @TIINews @FoxContracts97 @Dept_Transport @JacobsConnects @EngineerIreland Also, who doesn't love a bit of ""Pedestrian Deterrent Pavement"" - in the middle of an urban area? pic.twitter.com/zEt2aCuugF"	http://twitter.com/lycraolaoghaire/status/1327193381613744136	"1Retweets
5Twitter Likes
307Twitter Followers"
Twitter	VolkerRail	published on 11/06/20 at 7:39 AM	http://twitter.com/VolkerRailUK/status/1324692936672595968	The REAL alliance of @VolkerRailUK @networkrail @SiemensMobility @jmurphyandsons @JacobsConnects and @SYSTRA_LTD has signed a £10m research agreement with the @UniversityLeeds. The research collaboration is focused on the electrical power upgrade bit.ly/3p4AsCI #cando pic.twitter.com/XDNGZuytm1	http://twitter.com/VolkerRailUK/status/1324692936672595968	"3Retweets
3Twitter Likes
344Twitter Followers"
Twitter	NewCities	published on 12/01/20 at 2:09 PM	http://twitter.com/NewCities/status/1333850820975190018	"#NewCitiesLIVE ""Cities on the Hill: Building the Communities We Need"" is now broadcasting with @AShendruk, @schurchilld, Susanne Torriente from @JacobsConnects, Sylvain Chapon from @ENGIEgroup, and @ethaddeus. Join us: events.bizzabo.com/higherground/a… #HigherGround pic.twitter.com/vziJEvC4mE"	http://twitter.com/NewCities/status/1333850820975190018	"2Retweets
3Twitter Likes
34.9KTwitter Followers"
Twitter	Geo-Institute of ASCE	published on 12/01/20 at 9:57 AM	http://twitter.com/GeoInstitute/status/1333787248190316545	Be sure to join us at Noon Eastern for GEOSTRATA Extra! GEOSTRATA Editor Chris Woods of @Densification interviews @mnzdr of @JacobsConnects about her article in the Nov/Dec GEOSTRATA on diversity and inclusion! eventbrite.com/e/geostrata-ex…		"2Retweets
3Twitter Likes
8.7KTwitter Followers"
