Platform	Author	Publish Time	URL	Content	Thumbnail	Metrics
Twitter	Washington Capitals	published on 11/23/20 at 5:59 PM	http://twitter.com/Capitals/status/1331009381849325573	Greg Cohen fought hard in his four-year battle with cancer, passing July 2020. An avid Caps fan and hockey player, his spirit lives on through his wife Jennie and twin girls, now 3 months old. #CapsFightCancer I @LeidosInc pic.twitter.com/zF5ntUVR1H	http://twitter.com/Capitals/status/1331009381849325573	"34Retweets
297Twitter Likes
777.4KTwitter Followers"
Twitter	Indian Bronson	published on 11/17/20 at 9:08 PM	http://twitter.com/Indian_Bronson/status/1328882778688122883	What makes @DanCrenshawTX particularly despicable is he knows people who have died in the GWOT, and he knows they died for nothing, and he knows the permanent grief of their families, but he has chosen to make a career of serving Raytheon, BAE, Leidos, and Lockheed Martin ANYWAY. pic.twitter.com/IWi7fYUtSJ	http://twitter.com/Indian_Bronson/status/1328882778688122883	"40Retweets
204Twitter Likes
7.8KTwitter Followers"
Twitter	Washington Capitals	published on 11/25/20 at 2:00 PM	http://twitter.com/Capitals/status/1331674257181585409	Show your #CapsFightCancer support with a fresh look for your phone.  #WallpaperWednesday | @LeidosInc pic.twitter.com/ATcmubxVwZ	http://twitter.com/Capitals/status/1331674257181585409	"26Retweets
216Twitter Likes
777.3KTwitter Followers"
Twitter	Caps Gaming	published on 11/18/20 at 1:00 PM	http://twitter.com/capsgaming/status/1329122284938915845	The #CapsGamingShowcase presented by @LeidosInc is NOW OPEN FOR SIGNUPS!  6v6  $20,000  December - March  #Xbox Register for Season 2 at: leaguegaming.com/capsgaming/ @leaguegaming #ALLCAPS pic.twitter.com/TnFekywfUp	http://twitter.com/capsgaming/status/1329122284938915845	"27Retweets
96Twitter Likes
7.1KTwitter Followers"
Twitter	Washington Capitals	published on 11/30/20 at 2:00 PM	http://twitter.com/Capitals/status/1333485951235010562	As we close out #HockeyFightsCancer month, the strength and inspiration of the Cohen Family continues to remind us just how important this fight is. #CapsFightCancer | @LeidosInc nhl.com/capitals/news/…		"6Retweets
77Twitter Likes
777.4KTwitter Followers"
Twitter	dcunited	published on 11/08/20 at 9:00 AM	http://twitter.com/dcunited/status/1325437925719482370	DECISION DAY! It all comes down to this.  @impactmontreal  @AudiField  3:30PM ET  WJLA or dcunited.com @LeidosInc | #DCvMTL pic.twitter.com/uO7GhIf8B3	http://twitter.com/dcunited/status/1325437925719482370	"11Retweets
50Twitter Likes
164.2KTwitter Followers"
Twitter	Stephen Verbit	published on 12/01/20 at 8:33 AM	http://twitter.com/SVerbit/status/1333766234341511170	A relentless,  that valued teamwork, discipline & preparation! Joe Kovba '07 is currently a Principal Solutions Architect @LeidosInc, and a lecturer of Computer Science @JohnsHopkins. #TheStable l #NA22AUBound pic.twitter.com/y776B7ZTjl	http://twitter.com/SVerbit/status/1333766234341511170	"5Retweets
30Twitter Likes
10.5KTwitter Followers"
Twitter	Code Of Conduct	published 2 hours ago	http://twitter.com/OfConduct/status/1334864328160387072	DECEMBER 6TH 2020 , THE CODE WILL ENTER THE #CapsGamingShowCase CYA ON THE ICE !!! @leaguegaming @LeidosInc @capsgaming @Capitals @F5Penguin pic.twitter.com/86KlRooVj5	http://twitter.com/OfConduct/status/1334864328160387072	"5Retweets
23Twitter Likes
551Twitter Followers"
Twitter	Belfast Trust	published on 11/27/20 at 7:11 AM	http://twitter.com/BelfastTrust/status/1332296058920185857	20 year old Ailin Attarzadeh arrived in Belfast from Iran as a refugee 4 years ago. She has now landed her dream job with Grant Thornton after being named UK Leidos Career Ready Student of the Year 2020. youtube.com/watch?v=Dc8y7l… 1/5		"2Retweets
20Twitter Likes
15.5KTwitter Followers"
Twitter	Caps Gaming	published on 11/19/20 at 12:17 PM	http://twitter.com/capsgaming/status/1329473977002160129	ICYMI: Registration for the $20,000 #CapsGamingShowcase presented by @LeidosInc opened yesterday! Sign up for Season 2 at: leaguegaming.com/capsgaming/ @leaguegaming #ALLCAPS pic.twitter.com/TnFekywfUp	http://twitter.com/capsgaming/status/1329473977002160129	"5Retweets
17Twitter Likes
7KTwitter Followers"
Twitter	Nate	published on 11/18/20 at 7:27 PM	http://twitter.com/TradersUntied19/status/1329219708831158272	@Peter54943078 #AR9 don’t forget - they’ve tendered as joint bids with four of the largest defense companies in the world. Leidos is one of them. Leidos are on the closing list for this: tendersonline.nt.gov.au/Tender/ClosedD… Even if just one of the joint bids is successful... it would be huge. pic.twitter.com/pcTBTUgg3Y	http://twitter.com/TradersUntied19/status/1329219708831158272	"2Retweets
19Twitter Likes
2.2KTwitter Followers"
Twitter	dcunited	published on 11/24/20 at 3:03 PM	http://twitter.com/dcunited/status/1331327481631166466	Liz Coffey served 20 years as a United States Army Reserves Military Intelligence Officer. Thank you for your service! @LeidosInc | #VamosUnited pic.twitter.com/yy0OLzfO74	http://twitter.com/dcunited/status/1331327481631166466	"2Retweets
13Twitter Likes
164.2KTwitter Followers"
Twitter	Military Women’s Memorial	published on 11/12/20 at 10:02 AM	http://twitter.com/MWMHerMemorial/status/1326903098250571780	#MWM is the only major national #memorial honoring all women who have defended America throughout history. We want to thank @LeidosInc for being one of our premier partners and for their continued support in our mission to serve and honor #womenveterans. pic.twitter.com/DKfeIeg5MJ	http://twitter.com/MWMHerMemorial/status/1326903098250571780	"1Retweets
14Twitter Likes
3.8KTwitter Followers"
Twitter	Olympia	published on 11/25/20 at 6:06 PM	http://twitter.com/OlympiaNHL/status/1331736044367212544	We are registered and ready for the @capsgaming 20 000$ event presented by @LeidosInc  LW: @Gabseh1 C: @McFleuryNHL RW: @RocketNHL LD: @GrimNHL RD: @RuxGT G: @Rainz1eshl Util: Wavy Nana Util: @Goouuux27  pic.twitter.com/Q5hS12XIgk	http://twitter.com/OlympiaNHL/status/1331736044367212544	"3Retweets
10Twitter Likes
577Twitter Followers"
Twitter	Hendry	published on 11/18/20 at 1:00 PM	http://twitter.com/Hxndryy/status/1329122340765118470	Super excited to be competing in the #CapsGamingShowcase presented by @LeidosInc hosted by @leaguegaming with my @EntourageNHL boys once again! Go get your team signed up over at leaguegaming.com ASAP! pic.twitter.com/QYPkOfSPYb	http://twitter.com/Hxndryy/status/1329122340765118470	"2Retweets
10Twitter Likes
1.7KTwitter Followers"
Twitter	Dynetics	published on 12/03/20 at 8:00 AM	http://twitter.com/Dynetics/status/1334482524739866626	Our parent company, @LeidosInc, has been in the space industry for quite some time, too! Take a look at their Cargo Mission contract that helps supply goods to the @Space_Station. pic.twitter.com/G1jOEGCmZC	http://twitter.com/Dynetics/status/1334482524739866626	"1Retweets
10Twitter Likes
6.5KTwitter Followers"
Twitter	Quebec Nordiques	published on 11/18/20 at 4:25 PM	http://twitter.com/nordiqueseashl/status/1329173916066193412	We're pumped and READY for the $20k @capsgaming Showcase presented by @LeidosInc pic.twitter.com/nNbb0f4RYI	http://twitter.com/nordiqueseashl/status/1329173916066193412	"1Retweets
8Twitter Likes
145Twitter Followers"
Twitter	PSC	published on 11/23/20 at 8:00 AM	http://twitter.com/PSCSpeaks/status/1330858657467289602	Thank you 2020 Founder Level Partners @ACT_I_llc @amentum_corp @LeidosInc @PAE_Company and @ParsonsCorp for your support of PSC and being Founder Partners! pic.twitter.com/KDlMJ81722	http://twitter.com/PSCSpeaks/status/1330858657467289602	"2Retweets
3Twitter Likes
3.6KTwitter Followers"
Twitter	Jason Paladino	published on 11/16/20 at 3:02 PM	http://twitter.com/jason_paladino/status/1328428277002866691	Interesting surveillance flight operations over DC at the moment. This aircraft, #N828CJ, is registered to Lasai Aviation. FCC documents show it's operated by a fellow named Temple Brown, who is a Leidos employee and former US military surveillance pilot. #planespotting twitter.com/GDarkconrad/st… pic.twitter.com/yznmzr4Rdh	http://twitter.com/jason_paladino/status/1328428277002866691	"2Retweets
3Twitter Likes
3.8KTwitter Followers"
Twitter	MikeRGraneyWV	published on 12/01/20 at 12:15 PM	http://twitter.com/MikeGraneyWV/status/1333822019033587713	To understand #WestVirginia’s emerging #tech industry, you have to understand the Mountain State itself ... Country roads and high-tech careers. #Innovation #Tech #Security and #Biometrics in #WV - #YesWV @LeidosInc bit.ly/2J9ntQ7 pic.twitter.com/yq7i16Nezz	http://twitter.com/MikeGraneyWV/status/1333822019033587713	"2Retweets
2Twitter Likes
322Twitter Followers"
Twitter	techUK	published on 11/30/20 at 6:28 AM	http://twitter.com/techUK/status/1333372213358174208	Where next for policing and technology? As we approach the end of a challenging year, take a moment to read the below white paper provided by @LeidosInc exploring those technological changes needed to support police. ow.ly/h85850CxW7w		"2Retweets
2Twitter Likes
35.3KTwitter Followers"
Twitter	datamanagepro	published on 11/20/20 at 11:57 AM	http://twitter.com/datamanagepro/status/1329831211036930048	Leidos, TasNetworks, Katana1 scoop NetApp ANZ partner awards ntap.com/3kTsnND		"2Retweets
2Twitter Likes
10Twitter Followers"
Twitter	FIRST Chesapeake	published on 11/30/20 at 8:10 AM	http://twitter.com/FIRSTChesapeake/status/1333397913549090818	Thursday 11/5/2020 6pm - Cool Jobs: Discussion with @LeidosInc Employees ~ Inspiring stories from women in STEM fields. twitch.tv/firstchesapeak… #steminist #shecanstem #womeninstem #womenintech pic.twitter.com/N6QsElDPYK	http://twitter.com/FIRSTChesapeake/status/1333397913549090818	"2Retweets
1Twitter Likes
634Twitter Followers"
Twitter	Tim Keeter	published on 11/24/20 at 2:09 PM	http://twitter.com/timkeeter/status/1331314084571123714	So proud of this incredible team and what we have accomplished thus far in this exciting DARPA Gremlins program! See below, a montage of our July flight test - we are on our way to Airborne recovery! @Dynetics @LeidosInc @DARPA youtube.com/watch?v=akBrzr…		"1Retweets
2Twitter Likes
153Twitter Followers"
Twitter	FedScoop	published on 11/17/20 at 10:30 AM	http://twitter.com/fedscoop/status/1328722059451576323	Welcome to the #FedTalks digital experience. Before we begin today's agenda, take some time to visit the Tech Expo: hubs.ly/H0B2n7W0 ft: @awscloud, @DellTech/@wwt_inc, @GoogleCloud, @IBM, @intelAI, @Leidosinc, @microsoft, @Nvidia, @Qualtrics, @Salesforce, @SUSE, & @VMware pic.twitter.com/zpcUKU06iV	http://twitter.com/fedscoop/status/1328722059451576323	"2Retweets
1Twitter Likes
13.8KTwitter Followers"
Twitter	pva1946	published on 11/16/20 at 11:29 AM	http://twitter.com/PVA1946/status/1328374658245201922	Special guest Alex Verhulst will be sharing inside details on @LeidosInc's commitment to the military community, company culture, & how you can get hired! pva.zoom.us/meeting/regist… #MondayMotivation #employment #hiring #openjobs #Jobs #jobopening pic.twitter.com/inaiBx2C8Y	http://twitter.com/PVA1946/status/1328374658245201922	"1Retweets
2Twitter Likes
22.9KTwitter Followers"
Twitter	FedScoop	published on 11/11/20 at 10:15 AM	http://twitter.com/fedscoop/status/1326543958932008960	Thank you @Leidosinc for your sponsorship of #FedTalks! We are excited to hear from Robert Franceschini, Deputy CTO at #Leidos on How Data and AI Work Together. #AI #cybersecurity Find out more  hubs.ly/H0zDXvX0 pic.twitter.com/w2FPYOmm98	http://twitter.com/fedscoop/status/1326543958932008960	"3Retweets
13.7KTwitter Followers"
Twitter	Defense News	published on 11/10/20 at 5:10 PM	http://twitter.com/defense_news/status/1326286037379854344	"Download ""Securing Data in the Unmanned Era"" to learn more on the rising popularity of ISR, computational challenges, and emerging solutions: trib.al/nPZeUHm || Sponsored by @LeidosInc pic.twitter.com/z6IueyXk8Q"	http://twitter.com/defense_news/status/1326286037379854344	"1Retweets
2Twitter Likes
157.1KTwitter Followers"
Twitter	Lawlor Media Group	published on 11/29/20 at 12:00 PM	http://twitter.com/LawlorMedia/status/1333093509688152065	. @WaxmanCancer honored Roger A. Krone from @LeidosInc for his leadership in biomedical research at their virtual Collaborating for a Cure Gala. #Leidos joined longtime #SWCRF supporters to raise $2 million for their cancer research programs @Medium buff.ly/363Nysc pic.twitter.com/xSgnL16cBU	http://twitter.com/LawlorMedia/status/1333093509688152065	"1Retweets
1Twitter Likes
2KTwitter Followers"
Twitter	Aisha Bowe	published on 11/23/20 at 8:51 PM	http://twitter.com/arbowe/status/1331052853381697536	@KhaliaBraswell Thank you @KhaliaBraswell and @joyjohnson for believing in us !! You were our FIRST customer and now @Microsoft @generalelectric and now @LeidosInc use @STEMLingoCo  Team LINGO loves ya’ll  #BuyBlack #supportsmallbusiness		"1Retweets
1Twitter Likes
3KTwitter Followers"
Twitter	FedScoop	published on 11/17/20 at 2:21 PM	http://twitter.com/fedscoop/status/1328780431177768963	Thank you once again to our #FedTalks diamond sponsors @awscloud, @DellTech/@wwt_inc, @googlecloud, @ibm, @IntelAI, @leidosinc, @Microsoft, @nvidia, @qualtrics, @salesforce, @SUSE, @VMware #AI #cybersecurity pic.twitter.com/eHssWjg1QW	http://twitter.com/fedscoop/status/1328780431177768963	"1Retweets
1Twitter Likes
13.8KTwitter Followers"
Twitter	MergingVets&Players	published on 11/12/20 at 1:41 PM	http://twitter.com/VetsandPlayers/status/1326958300663934977	In partnership with the @Ravens and @LeidosInc - MVP invites all #combatveterans and #formerprofessionalathletes for a #SalutetoService session via Zoom in honor of #VeteransDay! Register at link: vetsandplayers.org/ravenssaluteto… #mergingvetsandplayers #fitness #nflalumni #team pic.twitter.com/0uWecJEooo	http://twitter.com/VetsandPlayers/status/1326958300663934977	"1Retweets
1Twitter Likes
3.3KTwitter Followers"
Twitter	ClearedJobsNet	published on 11/12/20 at 9:45 AM	http://twitter.com/ClearedJobsNet/status/1326898796215873541	Join us today for our virtual All Clearances or Cyber Job Fair | TX. Chat 1-on-1 with recruiters from Abacus Technology Corp, @AccentureFed @DeloitteUS @leidosinc @LosAlamosNatLab @SilotechGroup @AerospaceCorp & Tyonek Native Corp. Reserve your space: app.brazenconnect.com/events/rb9lL?u… pic.twitter.com/AWM3vNk0gl	http://twitter.com/ClearedJobsNet/status/1326898796215873541	"1Retweets
1Twitter Likes
5.9KTwitter Followers"
