Platform	Author	Publish Time	URL	Content	Thumbnail	Metrics
Facebook	NASA - National Aeronautics and Space Administration	published on 06/23/20 at 5:41 PM	http://www.facebook.com/permalink.php?id=54971236771&story_fbid=10158364000026772	Tests done at NASA’s Jet Propulsion Laboratory and Lockheed Martin Space show the sequence of events that will bring the ... opter/ Credit: NASA/JPL-Caltech and Lockheed Martin...	https://scontent-frx5-1.xx.fbcdn.net/v/t15.5256-10/106118641_258676962223564_2092839107421100160_n.jpg?_nc_cat=1&_nc_sid=ad6a45&_nc_ohc=MjFWnFyg5tgAX8p5g9-&_nc_ht=scontent-frx5-1.xx&oh=be519946951a937b5c3fb4bb465e4a48&oe=5F187F1E	"2.2KFacebook Shares
11.9KFacebook Likes
376Comments
23.2MFacebook Followers"
Twitter	The Spectator Index	published on 07/14/20 at 3:56 AM	http://twitter.com/spectatorindex/status/1282947165405327362	BREAKING: China says it will impose sanctions on Lockheed Martin if it sells arms to Taiwan		"955Retweets
4.4KTwitter Likes
1.7MTwitter Followers"
Twitter	Lijian Zhao 赵立坚	published on 07/14/20 at 11:03 AM	http://twitter.com/zlj517/status/1283054558747308032	China decides to sanction Lockheed Martin, the main contractor of the recent US arms sales to Taiwan, as an essential measure to safeguard national interests. pic.twitter.com/kCLogSFqjh	http://pbs.twimg.com/ext_tw_video_thumb/1283041166263554049/pu/img/jZtwSGbVqFkBL8M4.jpg	"721Retweets
3.9KTwitter Likes
738KTwitter Followers"
Twitter	Rep. Katie Porter	published one hour ago	http://twitter.com/RepKatiePorter/status/1286030599615119360	This week from @LockheedMartin... Monday: Tell the White House you need a bailout because of COVID-19 Tuesday: Announce profits are up and that you've made $3.5 billion so far this year Wednesday: Fail to answer Congress' questions about why you should get taxpayer dollars  pic.twitter.com/HMowwAEHRm	http://pbs.twimg.com/amplify_video_thumb/1286025431968354304/img/ht0o0-6VgYVkr6mX.jpg	"984Retweets
2.7KTwitter Likes
491.9KTwitter Followers"
Facebook	Pratt & Whitney	published on 07/04/20 at 9:00 AM	http://www.facebook.com/permalink.php?id=321748334736&story_fbid=10157707718839737	Happy Fourth of July, America!  We salute those who defend our nation at home and abroad.  Lockheed Martin #4thofJuly	https://scontent-frt3-1.xx.fbcdn.net/v/t1.0-9/s720x720/107100973_10157707718844737_4431484447796131880_o.jpg?_nc_cat=102&_nc_sid=2d5d41&_nc_ohc=OTG9JBkn5JQAX_p5PMN&_nc_ht=scontent-frt3-1.xx&_nc_tp=7&oh=f8b13af9b4e62656efb8b6da5bb4e622&oe=5F24BAB3	"345Facebook Shares
2.4KFacebook Likes
33Comments
129KFacebook Followers"
Facebook	China to sanction U.S. aerospace and defense contractor Lockheed Martin	published on 07/14/20 at 4:16 AM	http://www.facebook.com/permalink.php?id=565225540184937&story_fbid=4661851273855656	China's Foreign Ministry on Tuesday announced it will impose sanctions on U.S. aerospace and defense contractor Lockheed Martin for involvement in the latest U.S. arms sale to Taiwan region.	https://external-frt3-2.xx.fbcdn.net/safe_image.php?d=AQBhtdRx__Rn47Dx&url=https%3A%2F%2Fnews.cgtn.com%2Fnews%2F2020-07-14%2FChina-to-sanction-U-S-aerospace-and-defense-manufacturer--S7rGKp4Rjy%2Fimg%2F2c3e9a74aff74d67b93851f6d4b5116b%2F2c3e9a74aff74d67b93851f6d4b5116b-750.jpeg&_nc_hash=AQAbgDgGqkf8vNUn	"83Facebook Shares
2.1KFacebook Likes
383Comments
106.8MFacebook Followers"
Twitter	NASA Armstrong	published on 06/30/20 at 6:18 PM	http://twitter.com/NASAArmstrong/status/1278090513380446213	The X-59 is quickly taking shape at @LockheedMartin When complete, it will go through a series of test flights to ensure air worthiness & ability to create a sonic boom barely heard on the ground while it flies supersonic at cruise altitude overhead. go.nasa.gov/2YKMSEs pic.twitter.com/9xsBV7jyB2		"246Retweets
1.5KTwitter Likes
289.1KTwitter Followers"
Twitter	Bloomberg	published on 07/14/20 at 4:09 AM	http://twitter.com/business/status/1282950362929016834	BREAKING: China will impose sanctions on Lockheed Martin in response to U.S. approval of a possible Taiwan deal trib.al/rldjQn1 pic.twitter.com/dNQK68VHpa	http://pbs.twimg.com/media/Ec30jnRWsAAQNR2.png	"429Retweets
743Twitter Likes
6.5MTwitter Followers"
Twitter	Global Times	published on 07/14/20 at 3:52 AM	http://twitter.com/globaltimesnews/status/1282945973400948736	#BREAKING: #China will impose sanctions on Lockheed Martin for involvement in the latest US arms sale to #Taiwan: Chinese FM pic.twitter.com/1XvQa4Y6yt	http://pbs.twimg.com/media/Ec3wTZvUcAEgqlh.jpg	"254Retweets
891Twitter Likes
1.9MTwitter Followers"
Facebook	U.S. State Department OKs possible $23 billion sale of F-35s to Japan	published on 07/09/20 at 8:50 PM	http://www.facebook.com/permalink.php?id=114050161948682&story_fbid=3401388539881478	The U.S. State Department said on Thursday it had approved the possible sale of 105 Lockheed Martin F-35 fighter jets to Japan at an estimated cost of $23 billion.	https://external-frt3-2.xx.fbcdn.net/safe_image.php?d=AQD0KjXZhlddU9iz&url=https%3A%2F%2Fs4.reutersmedia.net%2Fresources%2Fr%2F%3Fm%3D02%26d%3D20200709%26t%3D2%26i%3D1525230151%26w%3D1200%26r%3DLYNXMPEG681VV&_nc_hash=AQDP8hF58hdtHc-z	"121Facebook Shares
608Facebook Likes
199Comments
4.4MFacebook Followers"
Facebook	China will sanction Lockheed Martin over arms sales to Taiwan	published on 07/14/20 at 10:00 AM	http://www.facebook.com/permalink.php?id=18793419640&story_fbid=10158570457119641	"""China firmly opposes US arms sales to Taiwan,"" Foreign Ministry spokesman Zhao Lijian said"	https://external-frt3-2.xx.fbcdn.net/safe_image.php?d=AQAgkWdkwjTBSOCU&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F200714063956-restricted-zhao-lijian-china-0513-super-tease.jpg&_nc_hash=AQD9naETCXbVAEOw	"59Facebook Shares
578Facebook Likes
250Comments
18.4MFacebook Followers"
Twitter	Nikki Haley	published on 07/14/20 at 11:04 AM	http://twitter.com/NikkiHaley/status/1283054740029542412	China will impose unspecified sanctions on @LockheedMartin after the US approved a possible $620 million deal to supply missile parts to Taiwan. bloomberg.com/news/articles/…		"146Retweets
617Twitter Likes
654.4KTwitter Followers"
Twitter	Spokesperson发言人办公室	published on 07/14/20 at 10:12 AM	http://twitter.com/MFA_China/status/1283041634624700420	China decides to sanction Lockheed Martin, the main contractor of the recent US arms sales to Taiwan, as an essential measure to safeguard national interests. pic.twitter.com/XvHNiNdCKp	http://pbs.twimg.com/ext_tw_video_thumb/1283041552387002375/pu/img/xPkw1RIltB_wGWSm.jpg	"126Retweets
606Twitter Likes
180.7KTwitter Followers"
Facebook	Beijing to sanction Lockheed Martin over Taiwan missile deal	published on 07/14/20 at 9:19 AM	http://www.facebook.com/permalink.php?id=355665009819&story_fbid=10158573051379820	China said the deal, which would allow Taiwan to upgrade its missile defences, supports the island's efforts to maintain a credible defensive capability. Get our app: https://sc.mp/app	https://external-frt3-2.xx.fbcdn.net/safe_image.php?d=AQAmIE22gfdN89B0&url=https%3A%2F%2Fcdn.i-scmp.com%2Fsites%2Fdefault%2Ffiles%2Fstyles%2Fog_image_scmp_generic%2Fpublic%2Fd8%2Fimages%2Fmethode%2F2020%2F07%2F14%2F1b513baa-c5b5-11ea-86df-6d561651b5f4_image_hires_193454.jpg%3Fitok%3DTbcI2Ct_%26v%3D1594726500&_nc_hash=AQA7vwXgYbYN4lrB	"45Facebook Shares
369Facebook Likes
282Comments
2.3MFacebook Followers"
Twitter	Emma Vigeland	published on 06/29/20 at 11:21 AM	http://twitter.com/EmmaVigeland/status/1277623193281474561	This is small potatoes compared to other CNN contributors. David Urban regularly warmongers on the network and it's never disclosed that he runs a lobbying firm that represents Lockheed Martin and Raytheon.		"127Retweets
537Twitter Likes
128.1KTwitter Followers"
Twitter	CGTN	published on 07/14/20 at 4:13 AM	http://twitter.com/CGTNOfficial/status/1282951454265729025	#China will impose sanctions on U.S. manufacturer Lockheed Martin over #US arms sale to #Taiwan region, announced Chinese Foreign Ministry spokesperson Zhao Lijian at a press conference on Tuesday. (file photo) pic.twitter.com/nj9SOPZVLq	http://pbs.twimg.com/media/Ec31ZLxUMAAzd6t.jpg	"111Retweets
415Twitter Likes
13.9MTwitter Followers"
Twitter	NASA Marshall	published on 06/30/20 at 9:25 AM	http://twitter.com/NASA_Marshall/status/1277956306201194503	At @LockheedMartin, engineers have completed structural testing on the 'twin' of the @NASA_Orion spacecraft that will carry @NASA's #Artemis program to the Moon >> go.nasa.gov/2BExSiD pic.twitter.com/7Pjtu0yZWn	http://pbs.twimg.com/media/Ebw2fPBWAAAdZn4.jpg	"65Retweets
417Twitter Likes
357.6KTwitter Followers"
Twitter	People's Daily, China	published on 07/14/20 at 5:13 AM	http://twitter.com/PDChina/status/1282966468527747073	#China will impose sanctions on US manufacturer Lockheed Martin over #US arms sale to #Taiwan region, announced Chinese Foreign Ministry spokesperson Zhao Lijian at a press conference on Tuesday. pic.twitter.com/St7tQq5f3B	http://pbs.twimg.com/media/Ec4DKG0UMAANhfr.jpg	"95Retweets
353Twitter Likes
7.1MTwitter Followers"
