Platform	Author	Publish Time	URL	Content	Thumbnail	Metrics
Twitter	Corporate Gray	published on 11/20/20 at 5:12 PM	http://twitter.com/CorporateGray/status/1329910434577731585	The West Point Society of DC is hosting a virtual #job fair for ALL #military officers (not just WP alum) in #career transition on Dec 4. Great opp to have text or video chats with many employers - @ManTech @SecretService @BallAerospace @IDA_org & more. corporategray.com/jobfairs/426		"6Retweets
5Twitter Likes
1KTwitter Followers"
Twitter	PhoWheels DC	published on 11/11/20 at 10:01 AM	http://twitter.com/PhoWheels/status/1326540579342221324	Herndon!! We are coming your way on this rainy day to brighten it up with these special Bo-Khirria Tacos! Come join us @Mantech from 11-2pm: 2251 Corporate Park Drive • VA Wed - Fairfax @Briarwood NBHD 5–7 PM: 5022 Dequincey Dr • VA pic.twitter.com/5BaUsnrBhC	http://twitter.com/PhoWheels/status/1326540579342221324	"5Twitter Likes
6.8KTwitter Followers"
Twitter	INSA	published on 12/01/20 at 4:08 PM	http://twitter.com/INSAlliance/status/1333880638202662914	A big THANK YOU to the speakers, virtual attendees, and sponsors, @LeidosInc and @ManTech, who made today's discussion about the future of the #NatSecCyber workforce so great! To learn more about additional upcoming INSA events, visit our website: insaonline.org/events/ pic.twitter.com/vvF3A1TtxC	http://twitter.com/INSAlliance/status/1333880638202662914	"4Twitter Likes
6.3KTwitter Followers"
Twitter	INSA	published on 11/21/20 at 10:21 AM	http://twitter.com/INSAlliance/status/1330169379573690371	Gain insights into the @CyberSolarium's recommendations to grow and strengthen the national security cyber workforce at this Dec 1 program. Get to know the speakers and register on our website: bit.ly/331Xdxt #NatSecCyber Thank you to our Host Sponsor, @ManTech! pic.twitter.com/LZsdcRMBUv	http://twitter.com/INSAlliance/status/1330169379573690371	"2Retweets
2Twitter Likes
6.3KTwitter Followers"
Twitter	NVTC	published on 12/02/20 at 5:50 PM	http://twitter.com/NoVaTechCouncil/status/1334268681715585026	Thank you @ManTech for being a GOLD sponsor for the NVTC Tech 100 Celebration.  We appreciate all of our sponsors! Verite Group @awscloud @ABBTECH @DovelTech @AttainLLC @MerrittGroup @TriVision1 @ScoopNewsGroup Get your tickets here: bit.ly/36gZlTa pic.twitter.com/v4Rr8vW6Tr	http://twitter.com/NoVaTechCouncil/status/1334268681715585026	"1Retweets
2Twitter Likes
6.4KTwitter Followers"
Twitter	INSA	published on 12/01/20 at 2:04 PM	http://twitter.com/INSAlliance/status/1333849358228480000	"The ""Future of the #NatSecCyber Workforce"" keynote and panel event has officially begun! We are looking forward to this afternoon's discussions—Stay tuned for program highlights. Thank you to our sponsors, @LeidosInc and @ManTech! pic.twitter.com/OJ2ft9FIdN"	http://twitter.com/INSAlliance/status/1333849358228480000	"2Retweets
1Twitter Likes
6.3KTwitter Followers"
Twitter	Appgate	published on 11/18/20 at 12:09 PM	http://twitter.com/AppgateSecurity/status/1329109369359896578	Join the Discussion Tomorrow: ww3.appgate.com/sdp/webinar_ma… Appgate and @ManTech will breakdown how to: – Secure your mission with granular #remoteaccess – Reduce #risk from internal and external #threats – Protect multi-cloud & #hybridIT #ZeroTrust #Cybersecurity #CISO #SDP pic.twitter.com/PtkDgIFnkq	http://twitter.com/AppgateSecurity/status/1329109369359896578	"2Retweets
1Twitter Likes
310Twitter Followers"
Twitter	The JDF	published on 11/18/20 at 10:00 AM	http://twitter.com/jdffeet/status/1329076939349364738	Just another day at the office for #TheJDF team! Please watch our #youtube #video & #subscribe. Thx!  buff.ly/2P3LWoZ Improving foot #health & lifestyles, giving smiles. #Bombas #WednesdayMorning #WednesdayThoughts #Mantech #WednesdayMotivation #WednesdayVibes pic.twitter.com/tUiJpGwwm4	http://twitter.com/jdffeet/status/1329076939349364738	"2Retweets
1Twitter Likes
2.6KTwitter Followers"
Twitter	The JDF	published on 11/14/20 at 9:30 AM	http://twitter.com/jdffeet/status/1327619811355070467	We Rise By Lifting Others! Please view our quick #Youtube #video & #subscribe. Thx! buff.ly/2X0HDzs We make it happen. #free #Giveaways #love #inspirational #GivingBack #GoodNews #SaturdayThoughts #SaturdayMotivation #SaturdayVibes #Mantech #GDIT #GoodSaturday pic.twitter.com/vdUQEzcUMW	http://twitter.com/jdffeet/status/1327619811355070467	"3Retweets
2.6KTwitter Followers"
Twitter	GovBrew	published on 11/12/20 at 12:04 PM	http://twitter.com/GovBrew/status/1326933805882626048	ManTech Acquires Minerva, Bolstering Cyber Work For Intelligence Community #govcon #federalcontracting #governmentcontracting LINK:defensedaily.com/mantech-acquir…		"1Retweets
2Twitter Likes
25Twitter Followers"
Twitter	The Female Quotient	published on 11/11/20 at 1:09 PM	http://twitter.com/femalequotient/status/1326587841644695552	It’s important for women to see other women as role models. Mentoring, showing and telling our stories more - the stories are very courageous. To have role models and people to help you see what you can become when you’re young is paramount. Matice Wright-Springer @ManTech pic.twitter.com/laeo9YwhZz	http://twitter.com/femalequotient/status/1326587841644695552	"1Retweets
2Twitter Likes
21.3KTwitter Followers"
Twitter	The JDF	published on 11/21/20 at 7:30 PM	http://twitter.com/jdffeet/status/1330307534687772678	#Pandemic necessities for the low-income. Please watch our giving story #videos & #subscribe to our #Youtube channel. buff.ly/3f6nCNY Thx! #GoodNews #PayItForward #Bombas #SaturdayNight #SaturdayMotivation #SaturdayMood #SaturdayThoughts #GoodSaturday #Mantech pic.twitter.com/LDFVvU03hI	http://twitter.com/jdffeet/status/1330307534687772678	"2Retweets
2.6KTwitter Followers"
Twitter	The JDF	published on 11/21/20 at 2:00 PM	http://twitter.com/jdffeet/status/1330224509039878145	We Rise By Lifting Others! Please view our quick #Youtube #video & #subscribe. Thx! buff.ly/2X0HDzs We make it happen. #free #Giveaways #love #inspirational #GivingBack #GoodNews #SaturdayThoughts #SaturdayMotivation #SaturdayVibes #Mantech #GDIT #GoodSaturday pic.twitter.com/8qeSsn65il	http://twitter.com/jdffeet/status/1330224509039878145	"2Retweets
2.6KTwitter Followers"
Twitter	The JDF	published on 11/20/20 at 1:45 PM	http://twitter.com/jdffeet/status/1329858305808797699	What’s #GivingTuesday &How You Can Help. See our #youtube #video & #subscribe to our channel! Make us your fav #charity.Thx! buff.ly/3n5HEg8 #FridayThoughts #FridayMotivation #FridayFeeling #FridayVibes #nonprofit #donate #GivingTuesday2020 #fundraising #Mantech pic.twitter.com/QKhCn80MpF	http://twitter.com/jdffeet/status/1329858305808797699	"2Retweets
2.6KTwitter Followers"
Twitter	The JDF	published on 11/20/20 at 8:30 AM	http://twitter.com/jdffeet/status/1329779031672229888	Our JDF volunteers rock!! See our giving stories at jdffeet.org & our #YouTube & subscribe. Thx! buff.ly/3i6OTT9 #givingback #payitforward #volunteer #pandemic #videos #FridayMorning #FridayMotivation #FridayThoughts #FridayFeeling #FridayVibes #Mantech pic.twitter.com/OuHUm7dNpN	http://twitter.com/jdffeet/status/1329779031672229888	"2Retweets
2.6KTwitter Followers"
