Platform	Author	Publish Time	URL	Content	Thumbnail	Metrics
Twitter	DFIR Diva	published on 11/28/20 at 10:26 PM	http://twitter.com/DfirDiva/status/1332888686460096512	Peraton is hiring in Madison, SD: Entry-Level Malware Analyst: careers.peraton.com/job-details/11… Entry-Level Cyber Threat Analyst: careers.peraton.com/job-details/11… Entry-Level Network Analyst: careers.peraton.com/job-details/11… I can't answer any questions about these, I'm just sharing job postings.		"16Retweets
47Twitter Likes
7.6KTwitter Followers"
Twitter	GovCon_Wire	published on 11/05/20 at 1:02 PM	http://twitter.com/GovConWire/status/1324411775866077187	New post: @usairforce Adds @ExploreAltamira, @AMERGINT, @Carahsoft, @DAtAnchor, @dmi @GeositeInc, @HPE, @MarkLogic, @Microsoft, @PeratonCorp, @RebellionDef, @SierraNevCorp, @soartech, @Vidrovr, 11 More Vendors to $950M #JADC2 Support IDIQ govconwire.com/2020/11/air-fo…		"2Retweets
7Twitter Likes
6.1KTwitter Followers"
Twitter	Unmanned Canada	published on 11/05/20 at 9:01 AM	http://twitter.com/UnmannedCanada/status/1324351023234908160	It’s Day 3 of #UC20Remote and we are kicking off the day with our Keynote speaker, Kevin Hagan, from @PeratonCorp who will be discussing the Next 5 Years in RPAS beginning at 8:30am CT/ 9:30 EST. pic.twitter.com/fSvjttPx5h	http://twitter.com/UnmannedCanada/status/1324351023234908160	"3Retweets
4Twitter Likes
1.2KTwitter Followers"
Twitter	Northern VA Chamber	published on 11/25/20 at 1:05 PM	http://twitter.com/NOVAChamber/status/1331660312433614848	Don't miss the 2020 Capital Region Workforce Summit on Dec 9th! Our panel will include Ethan Gill @HeliosHR, Laurie Foglesong @PeratonCorp, DeLinda Washington @KPMidAtlantic, Michael Batt @FairfaxEDA Register here: ow.ly/oj3S50CuSCm #novachamber pic.twitter.com/EeQcJawTot	http://twitter.com/NOVAChamber/status/1331660312433614848	"3Retweets
1Twitter Likes
10.5KTwitter Followers"
Twitter	Deborah Lovegrove	published on 11/06/20 at 12:14 AM	http://twitter.com/Ddlovegrove/status/1324580942711848960	Recap of Day 3 at #UC20Remote with Peraton's Keynote kicking things off! Link below 		"1Retweets
3Twitter Likes
1.1KTwitter Followers"
Twitter	ASCEND	published on 11/10/20 at 8:19 AM	http://twitter.com/ascendspace/status/1326152552870793218	Welcome new ASCEND registrants from @AusSpaceAgency @NASA @esa @PeratonCorp @CNES @BoeingSpace @NmAfrl @nasaames and more. See you next week at ascend.events. pic.twitter.com/GFt6g1BAi3	http://twitter.com/ascendspace/status/1326152552870793218	"1Retweets
2Twitter Likes
805Twitter Followers"
Twitter	Unmanned Canada	published on 11/06/20 at 5:30 PM	http://twitter.com/UnmannedCanada/status/1324841526468448256	That’s a wrap on #UC20Remote! Thanks to our speakers & sponsors, including Platinum Sponsor @PeratonCorp. Thanks to our participants who joined us from all over the globe. We look forward to seeing you at UC21Calgary! Read our day 4 recap: buff.ly/38qJfsu pic.twitter.com/32qNylSFvK	http://twitter.com/UnmannedCanada/status/1324841526468448256	"1Retweets
2Twitter Likes
1.2KTwitter Followers"
Twitter	Military Embedded	published on 11/09/20 at 11:05 AM	http://twitter.com/military_cots/status/1325831765647241216	#Algorithm and #software maturation among goals of @PeratonCorp #JADC2 contract with @usairforce militaryembedded.com/radar-ew/senso…		"1Retweets
1Twitter Likes
8KTwitter Followers"
Twitter	Aliza Goldberg 	published on 12/03/20 at 2:15 PM	http://twitter.com/aliza_goldberg/status/1334577029413527560	Still waiting for #Peraton to manufacture me my own RCVRS This one was quite fun to write. Take a look: #autonomousvehicle #innovation #unmanned 		976Twitter Followers
Twitter	Brian Wagner	published on 12/02/20 at 8:40 AM	http://twitter.com/BrianBWagner/status/1334130404727664640	Despite @PeratonCorp having a 30-year track record supporting the CF-18 fleet in Canada, I never knew until now that their pilots were giant military cats. peraton.com/30-years-suppo…		3.2KTwitter Followers
Twitter	Aliza Goldberg 	published on 12/01/20 at 3:03 PM	http://twitter.com/aliza_goldberg/status/1333864212507090945	“When you watch a weather reporter gesture to a white swirl coming up a coastline and predict the trajectory of a snowstorm, #Peraton helped make those predictions happen.” Here’s an article I wrote on #wx intelligence:		977Twitter Followers
Twitter	PTC	published on 12/01/20 at 11:45 AM	http://twitter.com/PTCouncil/status/1333814394476752903	A big Mahalo to the PTC’21 Opening Reception sponsor: @PeratonCorp. Thanks for supporting PTC! ptc.org/ptc21/sponsors… #PTC #OpeningReception #PTC21 pic.twitter.com/bD6tyXxZ9r	http://twitter.com/PTCouncil/status/1333814394476752903	5KTwitter Followers
Twitter	Melody Pleasure	published on 11/30/20 at 1:28 PM	http://twitter.com/MelyBunni/status/1333478006099234819	Hero! My newest (and cutest) recruit. #WorkFromHome #WFH #CorgiLife #Peraton #DoTheCantBeDone  pic.twitter.com/r2F38a8mom	http://twitter.com/MelyBunni/status/1333478006099234819	88Twitter Followers
Twitter	Melody Pleasure	published on 11/25/20 at 6:20 PM	http://twitter.com/MelyBunni/status/1331739516042964993	@PeratonCorp   		85Twitter Followers
Twitter	Melody Pleasure	published on 11/24/20 at 6:46 PM	http://twitter.com/MelyBunni/status/1331383668535857152	#BestBossEver #Peraton #DoTheCantBeDone 		86Twitter Followers
Twitter	Deborah Lovegrove	published on 11/24/20 at 6:02 PM	http://twitter.com/Ddlovegrove/status/1331372645569470465	Excited to see the new ad by @Saab in the @TheHillTimes Peraton Canada is proud to partner with Saab on the Future Fighter Capability Project! Offering Gripen E for Canada’s requirement of 88 aircraft to replace the @RCAF_ARC CF-18 Hornet fighter fleet. #Canada #fighterjets pic.twitter.com/NJPZQamftq	http://twitter.com/Ddlovegrove/status/1331372645569470465	1.1KTwitter Followers
Twitter	ArchIntel	published on 11/24/20 at 11:02 AM	http://twitter.com/Arch_Intel/status/1331267026137051147	"“We provide support across the board, from #competitiveintelligence to customer insight inquiries and #marketresearch requests"" @PeratonCorp's Leslie Mauger told us here: ow.ly/NqzO50Ctixj #KnowWhatYouNeedToKnow"		86Twitter Followers
Twitter	GovCon_Wire	published on 11/24/20 at 8:30 AM	http://twitter.com/GovConWire/status/1331228718480695299	New post: #CompetitiveIntelligence Spotlight #36: @PeratonCorp's Leslie Mauger on #Proactive Research, Data-Insight Connection govconwire.com/2020/11/compet…		6.2KTwitter Followers
Twitter	Bruce Atkinson	published on 11/22/20 at 4:56 PM	http://twitter.com/BruceAtkinson19/status/1330631291461570560	@PeratonCorp Another democratic criminal front		78Twitter Followers
Twitter	Roy Roger	published on 11/22/20 at 4:10 PM	http://twitter.com/Royrogerme/status/1330619805204934657	Peraton Awarded $950M Advanced Battle Management System IDIQ Contract Peraton upflow.co/l/SVVK pic.twitter.com/aSJUeHPoSc	http://twitter.com/Royrogerme/status/1330619805204934657	153Twitter Followers
