Platform	Author	Publish Time	URL	Content	Thumbnail	Metrics
Twitter	Bloomberg	published on 11/09/20 at 5:47 PM	http://twitter.com/business/status/1325932949972414465	Perspecta, a provider of information technology services to public sector agencies, is considering strategic options, including a possible sale trib.al/yQE4iSJ		"8Retweets
23Twitter Likes
6.8MTwitter Followers"
Twitter	Stock Market News	published on 11/09/20 at 10:57 PM	http://twitter.com/StockMKTNewz/status/1326011066917203969	Here are some of the largest stocks that report earnings tomorrow afternoon Rocket $RKT Datadog $DDOG $LYFT Alcon $ALC Tencent Music $TME 10x $TXG Fair Issac $FICO Amdocs $DOX Adaptive Biotech $ADPT Ashland $ASH 1life $ONEM Grocery Outlet $GO Perspecta $PRSP Kodak $KODK		"2Retweets
18Twitter Likes
14.7KTwitter Followers"
Twitter	militarybowl	published on 12/01/20 at 4:06 PM	http://twitter.com/MilitaryBowl/status/1333880118461280260	This #GivingTuesday, the #MilitaryBowl presented by @Perspecta, today announced that it will host a new fundraising drive, the Season of Support to drive awareness and raise funds for @USOMetroDC : militarybowl.link/SeasonofSupport pic.twitter.com/EidKd4t1Bm	http://twitter.com/MilitaryBowl/status/1333880118461280260	"2Retweets
5Twitter Likes
10.9KTwitter Followers"
Twitter	Red Hat Government	published on 11/10/20 at 3:12 PM	http://twitter.com/RedHatGov/status/1326256541889073154	Thank you to those who tuned in for #RHGov20 and a special thanks to all of our speakers! @Raytheon @DeptofDefense @HPE @NVIDIA @MTA @DeptVetAffairs @Microsoft_Gov @Perspecta @IBM @Intel @NorthropGrumman @SercoGroup @CMSGov @SEC_News @AttainLLC @NYCgov @USNavy @USArmy pic.twitter.com/GBJeGTXxgO	http://twitter.com/RedHatGov/status/1326256541889073154	"1Retweets
3Twitter Likes
13.6KTwitter Followers"
Twitter	GovLoop	published on 11/18/20 at 4:53 PM	http://twitter.com/GovLoop/status/1329180907983548417	and a huge thank you to our sponsors, @RedHatGov, @SnowflakeDB, @okta, @Hyland, @Perspecta and @Zettaset for making it all possible! #gltrain pic.twitter.com/P4sKclAmMu	http://twitter.com/GovLoop/status/1329180907983548417	"1Twitter Likes
27KTwitter Followers"
Twitter	U.S. GAO (Legal)	published on 11/12/20 at 1:40 PM	http://twitter.com/usgaolegal/status/1326958062767386625	Perspecta Enterprise Solutions, LLC, B-418870.6,B-418870.7 gao.gov/products/B-418…		"1Twitter Likes
10.1KTwitter Followers"
Twitter	Inside Defense	published on 11/12/20 at 8:35 AM	http://twitter.com/insidedefense/status/1326881400482623488	Perspecta CEO says company won't protest re-awarded DEOS contract. ow.ly/8i5S30rjHG1		"1Retweets
26.8KTwitter Followers"
Twitter	George Mentz JD MBA	published on 11/11/20 at 12:59 AM	http://twitter.com/GeorgeMentz/status/1326404188658675719	Perspecta's (PRSP) CEO Mac Curtis on Q2 2021 Results - Earnings Call Transcript dlvr.it/RlR7JH		"1Retweets
188.4KTwitter Followers"
Twitter	FedScoop	published on 11/10/20 at 1:21 PM	http://twitter.com/fedscoop/status/1326228486147727361	Intelligent Data as a Service for Government Healthcare w/ Ryan Vega, MD, MSHA, Exec Dir, VHA Innovation Ecosystem, VHA Office of Discovery, @DeptVetAffairs; Susie Adams, CTO, @Microsoft_Gov; Shane McNamee MD, CMIO BPM+ Health, @Perspecta; Ben Cushing, Dir, Emerging Tech, @RedHat pic.twitter.com/iRtGt4VzxV	http://twitter.com/fedscoop/status/1326228486147727361	"1Retweets
13.7KTwitter Followers"
Twitter	Breaking Defense	published on 12/03/20 at 8:15 AM	http://twitter.com/BreakingDefense/status/1334486384946655233	Technology has become a commodity, it is no longer a barrier to getting work done securely: breakingdefense.com/2020/12/perspe… [#Sponsored by @Perspecta]		49.1KTwitter Followers
Twitter	Constitutional Nobody	published on 12/02/20 at 5:44 PM	http://twitter.com/USSANews/status/1334267171199885313	Perspecta’s View: The Fourth Estate’s Opportunity For Customer Service Excellence [Sponsored] ussanews.com/News1/2020/12/… pic.twitter.com/0twKt20qg6	http://twitter.com/USSANews/status/1334267171199885313	40KTwitter Followers
