Platform	Author	Publish Time	URL	Content	Thumbnail	Metrics
Twitter	Arup UKIMEA	published on 09/14/20 at 5:53 AM	http://twitter.com/ArupUKIMEA/status/1305444539591688193	Amazing news from @RAEngNews! Our Region Chair Dervilla Mitchell wins the President’s Medal Our Fellows Mike Glover & Richard Hornby win the Major Project Award for Queensferry Crossing w/ @ramboll_uk, @jacobsconnects & @transcotland Learn more: bit.ly/3miNHOH pic.twitter.com/rYNk65nRHY	http://twitter.com/ArupUKIMEA/status/1305444539591688193	"6Retweets
48Twitter Likes
5.3KTwitter Followers"
Twitter	The Careers & Enterprise Company	published on 09/09/20 at 4:59 AM	http://twitter.com/CareerEnt/status/1303619039550410753	Next week is #NationalCodingWeek - we wanted to share Rebecca and Katie's story with @JacobsConnects and how they’re paving the way for #WomenInSTEM. youtube.com/watch?v=CWvI0F…		"22Retweets
27Twitter Likes
12.9KTwitter Followers"
Twitter	DIO	published on 09/17/20 at 1:45 PM	http://twitter.com/mod_dio/status/1306650415044464640	Here’s one of the new support facilities for @usairforce’s new F-35 aircraft, under construction at RAF Lakenheath. #DIOdelivers @48FighterWing @kiergroup @MottMacDonald @JacobsConnects pic.twitter.com/9vmmJqEvTX	http://twitter.com/mod_dio/status/1306650415044464640	"4Retweets
26Twitter Likes
7.9KTwitter Followers"
Twitter	DIO	published on 09/10/20 at 7:08 AM	http://twitter.com/mod_dio/status/1304013784697245697	A little over a year since ground breaking at RAF Lakenheath and there are new buildings springing up around the site! Here is one of the F-35 support facilities on a recent sunny day. #DIOdelivers @48FighterWing, @kiergroup @MottMacDonald @JacobsConnects pic.twitter.com/C7ktirSd3Q	http://twitter.com/mod_dio/status/1304013784697245697	"5Retweets
24Twitter Likes
7.8KTwitter Followers"
Twitter	Arup	published on 09/15/20 at 4:32 AM	http://twitter.com/ArupGroup/status/1305786551713046529	The #QueensferryCrossing has won the Major Project Award at the prestigious @RAEngNews #RAEngAwards this week, in recognition of the substantial positive impact of the @JacobsConnects Arup Joint Venture. Read more here: ow.ly/kdui50BqX85 #Bridges pic.twitter.com/yLbVcal3pZ	http://twitter.com/ArupGroup/status/1305786551713046529	"4Retweets
18Twitter Likes
98.8KTwitter Followers"
Twitter	Barton Willmore	published on 09/21/20 at 12:30 PM	http://twitter.com/bartonwillmore/status/1308081264239484930	 Yay well done us - what a team eh!!? @wsp @MottMacDonald @ArcadisUK @atkinsglobal @ArupEnviro @AECOM @RHDHV_UK @Quodplanning @Stantec @JacobsConnects @watermangroup @CapitaProperty #teamworkmakesthedreamwork #sustainability #digitalworking #letsfindaway		"5Retweets
9Twitter Likes
6.2KTwitter Followers"
Twitter	Mark_Kistler	published on 09/12/20 at 9:40 AM	http://twitter.com/Mark_Kistler/status/1304776938603642881	Today is the day!! Join me at 12:00 CT for my YouTube Live @NASA #drawArtemis LIVE Hour of Pencil Power w/ Guest artist @WorldofEdHeck, @NASAKennedy @JacobsConnects’s Dan Zapata & NASA Communicators @JackatNasa & @PatriciaMoore. #NASA #Artemis #Crawler youtu.be/e0IaaKxlhzM pic.twitter.com/w16sbd29CG	http://twitter.com/Mark_Kistler/status/1304776938603642881	"2Retweets
11Twitter Likes
1.1KTwitter Followers"
Twitter	North Dallas Chamber	published on 09/01/20 at 1:50 PM	http://twitter.com/NDCC/status/1300853596293083136	66th Annual Meeting (presented virtually) with @TheBushCenter’s Ken Hersh and @dallasnews’ @moiseden. Thanks to our sponsors @BCBSTX @JacobsConnects @DallasBizNews @TXInstruments @BurnsMcDonnell @texashealth @LockeLord @HiltonAnatole @oncor pic.twitter.com/gXuM8d0Woz	http://twitter.com/NDCC/status/1300853596293083136	"2Retweets
11Twitter Likes
6KTwitter Followers"
Twitter	City of Tampa	published on 09/18/20 at 1:54 PM	http://twitter.com/CityofTampa/status/1307015184230342659	.@BrowardElem is all about book smarts AND street smarts! Mayor @JaneCastor & @JacobsConnects visited Broward Elemendary School today to donate books to kids in celebration of the City’s 5th #CrosswalkstoClassrooms project.  Learn more: bit.ly/3cbI8wJ pic.twitter.com/euDPPFvPyx	http://twitter.com/CityofTampa/status/1307015184230342659	"4Retweets
8Twitter Likes
192.1KTwitter Followers"
Twitter	Long Beach Airport	published on 08/26/20 at 3:09 PM	http://twitter.com/LGBAirport/status/1298699224796631040	Proud to work with @JacobsConnects to restructure our construction phasing so that the project was completed four months early and $1M under budget!		"4Retweets
8Twitter Likes
13.6KTwitter Followers"
Twitter	Building Equality	published on 09/21/20 at 4:36 AM	http://twitter.com/BuildingEqLGBT/status/1307961804434309121	Great to see @MaceGroup & @JacobsConnects have signed the #TransRightsAreHumanRights pledge, alongside #BuildingEquality - we hope to see more members sign. Sitting on the fence is no longer an option. Trans people, your employees, deserve better. ‍⚧️ stonewall.org.uk/about-us/news/… pic.twitter.com/cvMSPvR34F	http://twitter.com/BuildingEqLGBT/status/1307961804434309121	"3Retweets
8Twitter Likes
1.3KTwitter Followers"
Twitter	NewCities	published on 09/17/20 at 8:13 AM	http://twitter.com/NewCities/status/1306566993131307008	"#WellbeingCitiesForum ""See levels will continue to rise. How do we prevent floods? We need to use the science to manage those risks, engage with the communities, and determine what the long term decisions are."" @JacobsConnects pic.twitter.com/RUfFJUIhAj"	http://twitter.com/NewCities/status/1306566993131307008	"3Retweets
8Twitter Likes
34.9KTwitter Followers"
Twitter	Ronier C Deumeni	published on 09/04/20 at 3:56 AM	http://twitter.com/RonierDeumeni/status/1301791342696296448	Delighted and proud to be part of @JacobsConnects #challengingtoday #reinventingtomorrow #harambee pic.twitter.com/OezcXZ5Bqb	http://twitter.com/RonierDeumeni/status/1301791342696296448	"4Retweets
6Twitter Likes
213Twitter Followers"
Twitter	Mike Bowen	published on 09/10/20 at 3:49 PM	http://twitter.com/sploits5/status/1304144886766227456	Great to see this video again. Katie and Rebecca are great ambassadors for #WomenInSTEM very pertinent in the week @JacobsConnects have held their first ever virtual apprentice and graduate conference @JonPCollett		"2Retweets
7Twitter Likes
124Twitter Followers"
Twitter	LDNMayor Economy	published on 09/19/20 at 6:51 AM	http://twitter.com/LDN_economy/status/1307271149169115136	Do you want to reinvent your local high street for the world of 2050 & present your idea to senior professionals? This is your chance! Enter the LIS X Jacobs Challenge by 30 September & you could win mentoring from professionals at @JacobsConnects & more!londoninterdisciplinaryschool.org/online-learnin… pic.twitter.com/LvwIMHblA3	http://twitter.com/LDN_economy/status/1307271149169115136	"5Retweets
3Twitter Likes
2.6KTwitter Followers"
Twitter	Christopher Tipping	published on 09/15/20 at 9:27 AM	http://twitter.com/tippinggoldy/status/1305860835319971840	The Autumn @margatemercury is out featuring Margate Steps the coastal sea defence project I worked on as project artist, part of a multi-disciplinary team, pages 44 & 45 bit.ly/2RtWRKc @ThanetCouncil @JacobsConnects @simonherrington @BrehenyCivils #margatesteps #History pic.twitter.com/0pMf1tuRtp	http://twitter.com/tippinggoldy/status/1305860835319971840	"3Retweets
5Twitter Likes
1.3KTwitter Followers"
Twitter	Dale Lyon	published on 09/08/20 at 6:18 PM	http://twitter.com/Concrete_Scot/status/1303457727855898625	Day 2 for Asteria Construct building the Jacobs Clyde Footbridge at ConStructEd supported @BAMNuttall @JacobsConnects @KilohLtd @Concrete_Dale @Sweco_UK Masters students @StrathEng aided by students @LHSTechnologies @fifecollege @UniWestScotland Amazing experience like no other! pic.twitter.com/eWkxl7Ejfo	http://twitter.com/Concrete_Scot/status/1303457727855898625	"3Retweets
5Twitter Likes
372Twitter Followers"
Twitter	Lucy Bradbury	published on 08/28/20 at 8:02 AM	http://twitter.com/LucyBradbury8/status/1299316421353181185	12 inspirational EDI champions interviewed live in one week, phew! Thank you @HaysWorldwide @ManchesterICE @GeorgeHouseTrst @JacobsConnects @HomesEngland & @Ameyplc for talking to @BuildingEqLGBT about your EDI journeys and for making our industries more inclusive and safe		"2Retweets
6Twitter Likes
107Twitter Followers"
Twitter	Eleanor Allen	published on 08/27/20 at 6:42 PM	http://twitter.com/EleanorH2O/status/1299115012397522946	Thank you @JacobsConnects! 		"2Retweets
6Twitter Likes
4.1KTwitter Followers"
Twitter	Knight Architects	published on 09/22/20 at 11:55 AM	http://twitter.com/KA_Bridges/status/1308434876316758017	Hooray! Our St Philips Footbridge in Bristol has won the #OffsiteAwards Infrastructure Project of the Year! A huge congratulations also go to our partners on the project @JacobsConnects and @TimBurton16! #bridge #design #engineering #buildbridges @ExploreOffsite		"2Retweets
5Twitter Likes
1.2KTwitter Followers"
Twitter	CIWEM	published on 09/03/20 at 5:00 AM	http://twitter.com/CIWEM/status/1301445041454493696	Young Environmentalist of the Year Award is now open ! If you are at the start of your career, contributing to environmental awareness and understanding, CIWEM and @JacobsConnects are looking to #award you. Find out more and apply: ow.ly/qTZ550Bdn8X Entry closes 30.10.20		"3Retweets
4Twitter Likes
11.1KTwitter Followers"
Twitter	Let's Talk Science	published on 09/19/20 at 11:00 AM	http://twitter.com/LetsTalkScience/status/1307333696740118528	Thank you to our donors who support professional development for educators across Canada. @Boeing, @Chevron, @Dow_Canada, @finningcanada, Government of Canada, @nsgov, @hiberniaproject, @JacobsConnects, @NOVAChemicals @oranocanada & @Shell_Canada #SuporterSaturday		"1Retweets
5Twitter Likes
13.5KTwitter Followers"
Twitter	ICE South West	published on 09/17/20 at 12:00 PM	http://twitter.com/ICESouthWest/status/1306624180150992897	Agata Szacilowska, Landscape Architect with @JacobsConnects shares her thoughts on St Philips Footbridge, Bristol, one of the #ICESWAwards finalists. To find out more, join us online on 24 Sep for the awards ceremony. bit.ly/ICESWAwards @BristolCouncil @AndrewScottLtd pic.twitter.com/qZmVMUBb54	http://twitter.com/ICESouthWest/status/1306624180150992897	"2Retweets
4Twitter Likes
2.2KTwitter Followers"
Twitter	Tom Greatrex	published on 09/16/20 at 4:53 PM	http://twitter.com/tomjgreatrex/status/1306335397010698245	Today I’ve been talking about good news on progress of @NIAUK & @beisgovuk sector deal - chairing panel with @edfenergy @NuclearAMRC @NSSGNuclear @JacobsConnects @UKNNL @beisgovuk @nadhimzahawi #cavendish.... pic.twitter.com/nHROlS7gW4	http://twitter.com/tomjgreatrex/status/1306335397010698245	"2Retweets
4Twitter Likes
10.1KTwitter Followers"
Twitter	Brodies LLP	published on 09/10/20 at 11:10 AM	http://twitter.com/BrodiesLLP/status/1304074673299361792	Sign up to our #webinar to hear from our #planning lawyers and guest Graeme Dodds, Director of Strategic Foresight at @JacobsConnects, who will discuss the challenges ahead for #transport and #infrastructure. brodi.es/2FeHzWF pic.twitter.com/Cc8flVyvaZ	http://twitter.com/BrodiesLLP/status/1304074673299361792	"3Retweets
3Twitter Likes
7.3KTwitter Followers"
Twitter	Dale Lyon	published on 09/09/20 at 4:13 PM	http://twitter.com/Concrete_Scot/status/1303788604129452041	Day 3 at ConStructEd with the Masters students @StrathCivEng:big lifts, prefabrication + temporary protection were the big activities of the day for the 14 building the pilot of Jacobs Clyde Footbridge @SibbaldTraining supported by @BAMNuttall @KilohLtd @JacobsConnects @Sweco_UK pic.twitter.com/SyGRhjibbZ	http://twitter.com/Concrete_Scot/status/1303788604129452041	"6Twitter Likes
373Twitter Followers"
Twitter	PersonnelToday	published on 09/08/20 at 7:50 AM	http://twitter.com/personneltoday/status/1303299555929321476	Congratulations to @CSHRgovuk, @HorwichFarrelly, @JacobsConnects, TfL, @SurreyCouncil, and @WMPolice Sign up to see who will be this year’s winner on 26 Nov - register here: bit.ly/3i7yltN #PTawards pic.twitter.com/hJJxK5oeNv	http://twitter.com/personneltoday/status/1303299555929321476	"3Retweets
3Twitter Likes
55.7KTwitter Followers"
Twitter	YTexas	published on 09/04/20 at 3:51 PM	http://twitter.com/YTexascom/status/1301971260872818688	What is the #economicimpact of #AeroSpace in #Texas? Are autonomous flight systems the #futureofaerospace? How does collaboration drive #innovation for new space initiatives? Hear @NASA, @Firefly_Space, @JacobsConnects, @hypergiant at #YTXSummit here: ytexas.com/summit/ pic.twitter.com/4eaCKq0y6h	http://twitter.com/YTexascom/status/1301971260872818688	"2Retweets
4Twitter Likes
1.8KTwitter Followers"
Twitter	Aqua Enviro	published 4 hours ago	http://twitter.com/aquaenviro/status/1309160841225404419	Looking forward to our Tuesday panel discussion, Challenges on the Road to #NetZero #carbon. Join Amanda Lake & Arianne Brotto @JacobsConnects, Mikkel Holmen Andersen @UnisenseDenmark & Bruce Jefferson @CranfieldUni. Get your questions ready... join here: conferences.aquaenviro.co.uk/events/confere…		"2Retweets
3Twitter Likes
2.9KTwitter Followers"
Twitter	Dale Lyon	published on 09/14/20 at 5:19 AM	http://twitter.com/Concrete_Scot/status/1305436108289966085	Jacobs Clyde Footbridge handed over:Completed Safely/On Time/On Budget- Great effort by all involved @StrathEng @StrathCivil_Soc supported @BAMNuttall @JacobsConnects @KilohLtd @Sweco_UK @sunbeltrentaluk @SibbaldTraining @exp_learn @Concrete_Dale @BAMConstructUK @BAMGroup_EU pic.twitter.com/UNvNKCNN87	http://twitter.com/Concrete_Scot/status/1305436108289966085	"5Twitter Likes
375Twitter Followers"
Twitter	Ioannis Touras  #wearamask	published on 09/14/20 at 4:04 AM	http://twitter.com/itouras/status/1305417153378684930	Over 100 major companies join together to say trans rights are human rights stonewall.org.uk/about-us/news/… I'm so happy that our @JacobsConnects has signed this pledge #TransRightsAreHumanRights		"1Retweets
4Twitter Likes
144Twitter Followers"
Twitter	ClearedJobsNet	published on 09/10/20 at 11:14 AM	http://twitter.com/ClearedJobsNet/status/1304075908408639496	Last chance! Register for today's Polygraph hiring event & chat w/reps from @perspectajobs @JacobsConnects @realApogee @Boeing_Intel @AerospaceCorp @SAICjobs @MissionEP @point3sec @iomaxis @BallAerospace @LeidosInc & @SilotechGroup - Join us 2pm-5pm EDT. app.brazenconnect.com/events/4w3Dj?u… pic.twitter.com/H9FSCN5GQ1	http://twitter.com/ClearedJobsNet/status/1304075908408639496	"4Retweets
1Twitter Likes
5.8KTwitter Followers"
Twitter	ASF	published on 09/04/20 at 7:24 PM	http://twitter.com/AstroScholarFdn/status/1302024824617873409	Meet Astronaut Scholar Nathaneal Adkins! Nathaneal is a 2020 Astronaut Scholarship recipient from @AuburnU. His scholarship is graciously sponsored by @JacobsConnects. #STEM #ASFScholarSpotlight pic.twitter.com/adIMqXyOh8	http://twitter.com/AstroScholarFdn/status/1302024824617873409	"2Retweets
3Twitter Likes
2.2KTwitter Followers"
Twitter	Community Schools in Hillsborough Schools	published on 09/23/20 at 6:18 PM	http://twitter.com/Community_Sch/status/1308893631877730306	Thank you @CityofTampa and @JacobsConnects for your support of @BrowardElem and the gift of reading!    @TransformHCPS @HCPS_FACE @HillsboroughSch		"1Retweets
3Twitter Likes
156Twitter Followers"
