Platform	Author	Publish Time	URL	Content	Thumbnail	Metrics
Twitter	MLS Now	published on 08/29/20 at 9:35 PM	http://twitter.com/MLSNowPodcast/status/1299883495007965189	@dcunited @LeidosInc 30-34% winning percentage for Olsen in 9 years as a coach. No where else in the world would they keep a coach this long with numbers like that. As a player he’s a legend for the club, As a coach he should be nowhere near the team		"5Retweets
18Twitter Likes
374Twitter Followers"
Twitter	Washington Capitals	published on 08/28/20 at 11:42 PM	http://twitter.com/Capitals/status/1299552905104683008	@WizardsDG @NBA2KLeague @LeidosInc @AlarmDotCom Let’s go!!!!!!!!		"2Retweets
20Twitter Likes
776.3KTwitter Followers"
Twitter	Robert	published on 09/23/20 at 10:34 PM	http://twitter.com/Robert37Krause/status/1308957835502460929	@dcunited @LeidosInc pic.twitter.com/cPAGo78eDk	http://twitter.com/Robert37Krause/status/1308957835502460929	"2Retweets
13Twitter Likes
202Twitter Followers"
Twitter	T-REX	published on 09/22/20 at 4:56 PM	http://twitter.com/DowntownTREX/status/1308510506525786116	What an honor to tour VADM Sharp, Director @NGA_GEOINT around our new #Geospatial Innovation Center @GeosaurusTREX!! VADM Sharp got to meet some GeoRexers in action! @AirXeo@Esri@GeodataIT@gisincorporated@HITS_Scanning@LeidosInc@NSIN_us@planetlabs@RGICorp@umsl pic.twitter.com/jZlMSZG62T	http://twitter.com/DowntownTREX/status/1308510506525786116	"4Retweets
10Twitter Likes
9.9KTwitter Followers"
Twitter	Steve Trimble	published on 09/15/20 at 9:35 AM	http://twitter.com/TheDEWLine/status/1305862841606516742	Leidos has released a pretty thorough marketing video as the prime contractor for the Paramount Bronco II aircraft, which is a candidate for AFSOC's Armed Overwatch contract. vimeo.com/451501288/090f…		"2Retweets
11Twitter Likes
20.3KTwitter Followers"
Twitter	dcunited	published on 09/05/20 at 3:43 PM	http://twitter.com/dcunited/status/1302331569617752066	We have another Healthcare Hero Spotlight! Beth Baseler led 11 Clinical Trials in response to COVID including evaluating the antiviral medication, Remdesivir. Results showed decreased recovery time in patients with infection and a trend towards improved survival. @LeidosInc pic.twitter.com/ONUsecdzfH	http://twitter.com/dcunited/status/1302331569617752066	"1Retweets
11Twitter Likes
164.2KTwitter Followers"
Twitter	techUK	published on 08/27/20 at 5:01 AM	http://twitter.com/techUK/status/1298908575323107328	As part of #techUKtalks we are excited to host the panel: Technologies key to #publicsector transformation post-COVID Join us on 10 September to hear @crofts23tim of @LeidosInc, @l8onx of @ukcloudltd, @NAUREENK of @Accenture and @HenryRex1. Learn more: ow.ly/H2fk50B4kit pic.twitter.com/Wsp0QFMHcr	http://twitter.com/techUK/status/1298908575323107328	"5Retweets
6Twitter Likes
34.6KTwitter Followers"
Twitter	dcunited	published on 09/12/20 at 12:00 PM	http://twitter.com/dcunited/status/1304812018520776704	.@JulianGressel looking to build off the defensive shutouts and increase their offensive pressure. #VamosUnited | @LeidosInc pic.twitter.com/dQyxQRAJzg		"1Retweets
9Twitter Likes
164.2KTwitter Followers"
Twitter	Tom Neff	published on 09/15/20 at 10:21 AM	http://twitter.com/tmneff/status/1305874270048915456	@thesheetztweetz @Dynetics @LeidosInc @NASAMoon @blueorigin @SpaceX @elonmusk @JimBridenstine I like the Dynetics because It’s not Frankenlander from all the usual contractor suspects, and it doesn’t put the astronauts 30 feet in the nonexistent air. And if you land two and leave one, you have a base.		"8Twitter Likes
206Twitter Followers"
Twitter	Joe Szymanski	published on 09/12/20 at 9:08 PM	http://twitter.com/JosephSzymanski/status/1304950102855806976	@dcunited @LeidosInc pic.twitter.com/RdXaHDa9Vz	http://twitter.com/JosephSzymanski/status/1304950102855806976	"1Retweets
7Twitter Likes
1.1KTwitter Followers"
